date_obj,Amethyst%20arrow price
2017-06-21,336
2017-06-22,353
2017-06-23,365
2017-06-24,352
2017-06-25,335
2017-06-26,318
2017-06-27,308
2017-06-28,324
2017-06-29,341
2017-06-30,358
2017-07-01,364
2017-07-02,352
2017-07-03,337
2017-07-04,320
2017-07-05,304
2017-07-06,294
2017-07-07,284
2017-07-08,277
2017-07-09,265
2017-07-13,252
2017-07-14,249
2017-07-15,244
2017-07-16,235
2017-07-17,227
2017-07-18,229
2017-07-19,241
2017-07-20,247
2017-07-21,244
2017-07-22,238
2017-07-23,231
2017-07-24,237
2017-07-25,247
2017-07-26,259
2017-07-27,269
2017-07-28,268
2017-07-29,267
2017-07-30,266
2017-07-31,255
2017-08-01,248
2017-08-02,246
2017-08-03,253
2017-08-04,243
2017-08-05,245
2017-08-06,247
2017-08-07,249
2017-08-08,257
2017-08-09,254
2017-08-10,251
2017-08-11,241
2017-08-12,230
2017-08-13,221
2017-08-14,219
2017-08-15,215
2017-08-16,212
2017-08-17,203
2017-08-18,202
2017-08-19,206
2017-08-20,208
2017-08-21,218
2017-08-22,229
2017-08-23,240
2017-08-24,248
2017-08-25,242
2017-08-26,231
2017-08-27,223
2017-08-28,216
2017-08-29,214
2017-08-30,217
2017-08-31,220
2017-09-01,217
2017-09-02,210
2017-09-03,207
2017-09-04,210
2017-09-05,220
2017-09-06,229
2017-09-07,228
2017-09-08,223
2017-09-09,226
2017-09-10,235
2017-09-11,227
2017-09-12,234
2017-09-13,234
2017-09-14,238
2017-09-15,234
2017-09-16,230
2017-09-17,225
2017-09-18,224
2017-09-19,225
2017-09-20,224
2017-09-21,222
2017-09-22,220
2017-09-23,220
2017-09-24,221
2017-09-25,218
2017-09-26,216
2017-09-27,215
2017-09-28,213
2017-09-29,214
2017-09-30,218
2017-10-01,224
2017-10-02,227
2017-10-03,227
2017-10-04,230
2017-10-05,226
2017-10-06,218
2017-10-07,215
2017-10-08,211
2017-10-09,213
2017-10-10,214
2017-10-11,212
2017-10-12,208
2017-10-13,202
2017-10-14,197
2017-10-15,195
2017-10-16,193
2017-10-17,192
2017-10-18,194
2017-10-19,190
2017-10-20,188
2017-10-21,185
2017-10-22,176
2017-10-23,170
2017-10-24,172
2017-10-25,178
2017-10-26,172
2017-10-27,174
2017-10-28,181
2017-10-29,188
2017-10-30,196
2017-10-31,201
2017-11-01,208
2017-11-02,213
2017-11-03,220
2017-11-04,214
2017-11-05,204
2017-11-06,198
2017-11-07,196
2017-11-08,197
2017-11-09,194
2017-11-10,196
2017-11-11,204
2017-11-12,204
2017-11-13,197
2017-11-14,191
2017-11-15,188
2017-11-16,190
2017-11-17,192
2017-11-18,195
2017-11-19,201
2017-11-20,203
2017-11-21,205
2017-11-22,214
2017-11-23,221
2017-11-24,219
2017-11-25,217
2017-11-26,218
2017-11-27,228
2017-11-28,224
2017-11-29,229
2017-11-30,236
2017-12-01,231
2017-12-02,226
2017-12-03,226
2017-12-04,223
2017-12-05,220
2017-12-06,227
2017-12-07,238
2017-12-08,241
2017-12-09,232
2017-12-10,224
2017-12-11,217
2017-12-12,215
2017-12-13,217
2017-12-14,211
2017-12-15,210
2017-12-16,209
2017-12-17,206
2017-12-18,205
2017-12-19,203
2017-12-20,200
2017-12-21,198
2017-12-22,204
2017-12-23,203
2017-12-24,210
2017-12-25,211
2017-12-26,219
2017-12-27,218
2017-12-28,215
2017-12-29,216
2017-12-30,224
2017-12-31,225
2018-01-01,225
2018-01-02,222
2018-01-03,217
2018-01-04,216
2018-01-05,210
2018-01-06,200
2018-01-07,195
2018-01-08,189
2018-01-09,188
2018-01-10,183
2018-01-11,182
2018-01-12,191
2018-01-13,196
2018-01-14,195
2018-01-15,195
2018-01-16,192
2018-01-17,191
2018-01-18,189
2018-01-19,194
2018-01-20,199
2018-01-21,200
2018-01-22,197
2018-01-23,201
