date_obj,Half%20moon%20spectacles price
2016-07-06,10000000
2016-07-07,9525547
2016-07-08,9525547
2016-07-09,9049269
2016-07-10,9049269
2016-07-11,8596805
2016-07-12,8596805
2016-07-13,8596805
2016-07-14,8166964
2016-07-15,8166964
2016-07-16,8166964
2016-07-17,7761709
2016-07-18,7761709
2016-07-23,7014374
2016-07-24,7014374
2016-07-25,6676125
2016-07-26,6676125
2016-07-27,6676125
2016-07-28,6350096
2016-07-29,6035172
2016-07-30,6035172
2016-07-31,5740725
2016-08-01,5740725
2016-08-02,5456774
2016-08-03,5456774
2016-08-04,5456774
2016-08-05,5186247
2016-08-06,5186247
2016-08-07,4930672
2016-08-08,4930672
2016-08-09,4930672
2016-08-10,4684138
2016-08-11,4684138
2016-08-12,4684138
2016-08-13,4684138
2016-08-14,4454138
2016-08-15,4454138
2016-08-16,4454138
2016-08-17,4234129
2016-08-18,4234129
2016-08-19,4234129
2016-08-20,4234129
2016-08-21,4024154
2016-08-22,4024154
2016-08-23,4024154
2016-08-24,3827635
2016-08-25,3827635
2016-08-26,3827635
2016-08-28,3639993
2016-08-31,3462475
2016-09-01,3462475
2016-09-02,3462475
2016-09-03,3462475
2016-09-04,3291158
2016-09-05,3291158
2016-09-06,3291158
2016-09-07,3127866
2016-09-08,3127866
2016-09-09,3127866
2016-09-10,3127866
2016-09-11,3127866
2016-09-12,2976868
2016-09-13,2976868
2016-09-14,2976868
2016-09-15,2976868
2016-09-16,2976868
2016-09-17,2829029
2016-09-18,2829029
2016-09-19,2829029
2016-09-20,2829029
2016-09-21,2829029
2016-09-22,2691590
2016-09-23,2691590
2016-09-24,2691590
2016-09-25,2691590
2016-09-26,2691590
2016-09-27,2691590
2016-09-28,2559748
2016-09-29,2559748
2016-09-30,2559748
2016-10-01,2432265
2016-10-02,2432265
2016-10-03,2432265
2016-10-04,2432265
2016-10-05,2432265
2016-10-06,2313116
2016-10-07,2313116
2016-10-08,2313116
2016-10-09,2313116
2016-10-10,2313116
2016-10-11,2199391
2016-10-12,2199391
2016-10-13,2199391
2016-10-14,2199391
2016-10-15,2092088
2016-10-16,2092088
2016-10-17,2092088
2016-10-18,2092088
2016-10-19,1987701
2016-10-20,1987701
2016-10-21,1987701
2016-10-22,1987701
2016-10-23,1889042
2016-10-24,1889042
2016-10-25,1889042
2016-10-26,1796323
2016-10-27,1796323
2016-10-28,1796323
2016-10-29,1796323
2016-10-30,1708040
2016-10-31,1708040
2016-11-01,1708040
2016-11-02,1708040
2016-11-03,1624298
2016-11-04,1624298
2016-11-05,1624298
2016-11-06,1624298
2016-11-07,1546726
2016-11-08,1546726
2016-11-09,1546726
2016-11-10,1546726
2016-11-11,1471478
2016-11-12,1471478
2016-11-13,1471478
2016-11-14,1471478
2016-11-15,1399840
2016-12-07,1042154
2016-12-08,1042154
2016-12-09,992195
2016-12-10,992195
2016-12-11,992195
2016-12-12,992195
2016-12-13,943028
2016-12-14,943028
2016-12-15,943028
2016-12-16,896862
2016-12-17,896862
2016-12-18,896862
2016-12-19,852897
2016-12-20,852897
2016-12-21,852897
2016-12-22,852897
2016-12-23,810963
2016-12-24,810963
2016-12-25,810963
2016-12-26,810963
2016-12-27,771882
2016-12-28,771882
2016-12-29,771882
2016-12-30,771882
2016-12-31,733794
2017-01-01,733794
2017-01-02,697545
2017-01-03,697545
2017-01-04,697545
2017-01-05,664651
2017-01-06,664651
2017-01-07,664651
2017-01-08,631779
2017-01-09,631779
2017-01-10,631779
2017-01-11,631779
2017-01-12,601159
2017-01-13,601159
2017-01-14,601159
2017-01-15,601159
2017-01-16,573299
2017-01-17,573299
2017-01-18,573299
2017-01-19,573299
2017-01-20,544849
2017-01-21,544849
2017-01-22,544849
2017-01-23,544849
2017-01-27,518650
2017-01-28,492717
2017-01-29,492717
2017-01-30,492717
2017-01-31,492717
2017-02-01,468735
2017-02-02,468735
2017-02-03,468735
2017-02-04,468735
2017-02-05,446508
2017-02-06,446508
2017-02-07,446508
2017-02-08,424886
2017-02-09,424886
2017-02-10,424886
2017-02-11,424886
2017-02-12,403641
2017-02-13,403641
2017-02-14,403641
2017-02-15,403641
2017-02-16,384799
2017-02-18,384799
2017-02-19,384799
2017-02-20,366218
2017-02-21,366218
2017-02-22,366218
2017-02-23,366218
2017-02-24,366218
2017-02-25,347907
2017-02-26,347907
2017-02-27,347907
2017-02-28,331055
2017-03-01,331055
2017-03-02,331055
2017-03-03,315042
2017-03-04,315042
2017-03-05,315042
2017-03-06,299759
2017-03-07,299759
2017-03-08,299759
2017-03-09,299759
2017-03-10,284771
2017-03-11,284771
2017-03-12,284771
2017-03-13,270900
2017-03-14,270900
2017-03-15,270900
2017-03-16,258394
2017-03-17,258394
