date_obj,Amulet%20of%20power%20(t) price
2019-04-11,50000
2019-04-11,52255
2019-04-12,54757
2019-04-13,57246
2019-04-14,59902
2019-04-15,900000
2019-04-16,900000
2019-04-17,879166
2019-04-18,886084
2019-04-19,912281
2019-04-20,939722
2019-04-21,939722
2019-04-22,975529
2019-04-23,998909
2019-04-24,1017577
2019-04-25,1056743
2019-04-26,1096383
2019-04-27,1134438
2019-04-28,1182872
2019-04-29,1182872
2019-04-30,1239547
2019-05-01,1239547
2019-05-02,1298025
2019-05-03,1346089
2019-05-04,1409781
2019-05-05,1466095
2019-05-06,1527499
2019-05-07,1594665
2019-05-08,1667619
2019-05-09,1667619
2019-05-10,1751000
2019-05-11,1751000
2019-05-12,1838550
2019-05-13,1916669
2019-05-14,1992284
2019-05-15,1992284
2019-05-16,2038319
2019-05-17,2038319
2019-05-18,2039707
2019-05-19,2039707
2019-05-20,1961653
2019-05-21,1961653
2019-05-22,1869598
2019-05-23,1776557
2019-05-24,1701230
2019-05-25,1619404
2019-05-26,1544344
2019-05-27,1467306
2019-05-28,1467306
2019-05-29,1394446
2019-05-30,1394446
2019-05-31,1371300
2019-06-01,1371300
2019-06-02,1412678
2019-06-03,1412678
2019-06-04,1396000
2019-06-05,1396000
2019-06-06,1411584
2019-06-07,1411584
2019-06-08,1450956
2019-06-09,1479749
2019-06-10,1479749
2019-06-11,1506452
2019-06-12,1506452
2019-06-13,1499790
2019-06-14,1541048
2019-06-15,1541048
2019-06-16,1606833
2019-06-17,1655006
2019-06-18,1655006
2019-06-19,1704826
2019-06-20,1752883
2019-06-21,1752883
2019-06-22,1750319
2019-06-23,1778661
2019-06-24,1778661
2019-06-25,1788460
2019-06-26,1788460
2019-06-27,1830315
2019-06-28,1830315
2019-06-29,1863149
2019-06-30,1921166
2019-07-01,1921166
2019-07-02,1954951
2019-07-03,1954951
2019-07-04,1987663
2019-07-05,1987663
2019-07-06,2026307
2019-07-07,2026307
2019-07-08,2095042
2019-07-09,2095042
2019-07-10,2088932
2019-07-11,2088932
2019-07-12,2059855
2019-07-13,2059855
2019-07-14,2003366
2019-07-15,2003366
2019-07-16,1983440
2019-07-17,1975625
2019-07-18,1975625
2019-07-19,1968892
2019-07-20,1968892
2019-07-21,1936800
2019-07-22,1936800
2019-07-23,1929653
2019-07-24,1929653
2019-07-25,1905422
2019-07-26,1905422
2019-07-27,1856947
2019-07-28,1856947
2019-07-29,1818531
2019-07-30,1818531
2019-07-31,1770911
2019-08-01,1770911
2019-08-02,1767819
2019-08-03,1777804
2019-08-04,1777804
2019-08-05,1773229
2019-08-06,1773229
2019-08-07,1784117
2019-08-08,1784117
2019-08-09,1794541
2019-08-10,1840941
2019-08-11,1840941
2019-08-12,1826650
2019-08-13,1826650
2019-08-14,1823153
2019-08-15,1823153
2019-08-16,1820967
2019-08-17,1820967
2019-08-18,1836526
2019-08-19,1836526
2019-08-20,1841584
2019-08-21,1841584
2019-08-22,1854286
2019-08-23,1854286
2019-08-24,1857631
2019-08-24,1857631
2019-08-25,1857631
2019-08-25,1857631
2019-08-26,1863681
2019-08-26,1863681
2019-08-27,1863681
2019-08-27,1863681
2019-08-28,1869042
2019-08-29,1869042
2019-08-30,1888648
2019-08-31,1888648
2019-09-01,1899588
2019-09-02,1899588
2019-09-03,1916570
2019-09-04,1916570
2019-09-05,1920661
2019-09-06,1920661
2019-09-07,1926272
2019-09-08,1926272
2019-09-09,1933864
2019-09-10,1933864
2019-09-11,1932563
2019-09-12,1932563
2019-09-13,1914100
2019-09-14,1895054
2019-09-15,1895054
2019-09-16,1864816
2019-09-17,1864816
2019-09-18,1834500
2019-09-19,1834500
2019-09-20,1827982
2019-09-21,1827982
2019-09-22,1855490
2019-09-23,1855490
2019-09-24,1870414
2019-09-25,1870414
2019-09-26,1874250
2019-09-27,1874250
2019-09-28,1879602
2019-09-29,1879602
2019-09-30,1876824
2019-10-01,1868511
2019-10-02,1868511
2019-10-03,1854702
2019-10-04,1854702
2019-10-05,1849863
2019-10-06,1857775
2019-10-07,1857775
2019-10-08,1892558
2019-10-09,1892558
2019-10-10,1909851
2019-10-11,1909851
2019-10-12,1945111
2019-10-13,1960840
2019-10-14,1960840
2019-10-15,1942117
2019-10-16,1942117
2019-10-17,1946848
2019-10-18,1946848
2019-10-19,1942366
2019-10-20,1942366
2019-10-21,1958452
2019-10-22,1958452
2019-10-23,1962742
2019-10-24,1962742
2019-10-25,1965829
2019-10-26,1995327
2019-10-27,1995327
2019-10-28,2011667
2019-10-29,2011667
2019-10-30,2027038
2019-10-31,2027038
2019-11-01,2045691
2019-11-02,2045691
2019-11-03,2056613
2019-11-04,2056613
2019-11-05,2060084
2019-11-06,2060084
2019-11-07,2066352
2019-11-08,2066352
2019-11-09,2076159
2019-11-10,2077775
2019-11-11,2077775
2019-11-12,2061335
2019-11-13,2061335
2019-11-14,2059642
2019-11-15,2059642
2019-11-16,2042545
2019-11-17,2042545
2019-11-18,2032574
2019-11-19,2032574
2019-11-20,2032343
2019-11-21,2032343
2019-11-22,2018783
2019-11-23,2018783
2019-11-24,2011501
2019-11-25,2011501
2019-11-26,2004919
2019-11-27,2004919
2019-11-28,1990162
2019-11-29,1990162
2019-11-30,1996104
2019-12-01,1996104
2019-12-02,1987852
2019-12-03,1987852
2019-12-04,1980975
2019-12-05,1980975
2019-12-06,1980975
2019-12-07,1974560
2019-12-08,1974560
2019-12-09,1967614
2019-12-10,1967614
2019-12-11,1944052
2019-12-12,1944052
2019-12-13,1928715
2019-12-14,1928715
2019-12-15,1903200
2019-12-16,1903200
2019-12-17,1838095
2019-12-18,1838095
2019-12-19,1813561
2019-12-20,1847166
2019-12-21,1847166
2019-12-22,1829034
2019-12-23,1829034
2019-12-24,1825910
2019-12-25,1828534
2019-12-26,1828534
2019-12-27,1827813
2019-12-28,1834408
2019-12-29,1834408
2019-12-30,1835939
2019-12-31,1835939
2020-01-01,1821650
2020-01-02,1821650
2020-01-03,1818056
2020-01-04,1818056
2020-01-05,1812848
2020-01-06,1812848
2020-01-07,1806407
2020-01-08,1806407
2020-01-09,1814269
2020-01-10,1818496
2020-01-11,1821499
2020-01-12,1821499
2020-01-13,1827479
2020-01-14,1827479
2020-01-15,1806276
2020-01-16,1806276
2020-01-17,1792313
2020-01-18,1792313
2020-01-19,1800129
2020-01-20,1800129
2020-01-21,1803445
2020-01-22,1803445
2020-01-23,1813465
2020-01-24,1813465
2020-01-25,1820076
2020-01-26,1818781
2020-01-27,1818781
2020-01-28,1807358
2020-01-29,1807358
2020-01-30,1800461
2020-01-31,1800461
2020-02-01,1775981
2020-02-02,1755808
2020-02-03,1755808
2020-02-04,1731310
2020-02-05,1731310
2020-02-06,1698327
2020-02-07,1698327
2020-02-08,1658943
2020-02-09,1658943
2020-02-10,1620847
2020-02-11,1620847
2020-02-12,1614386
2020-02-13,1614386
2020-02-14,1579310
2020-02-15,1579310
2020-02-16,1547076
2020-02-17,1547076
2020-02-18,1512128
2020-02-19,1512128
2020-02-20,1516858
2020-02-21,1516858
2020-02-22,1516456
2020-02-23,1516456
2020-02-24,1530138
2020-02-25,1530138
2020-02-26,1533802
2020-02-27,1533802
2020-02-28,1548428
2020-02-29,1548428
2020-03-01,1555860
2020-03-02,1555860
2020-03-03,1558476
2020-03-04,1558476
2020-03-05,1561159
2020-03-06,1555881
2020-03-07,1555881
2020-03-08,1551579
2020-03-09,1551579
2020-03-10,1548082
2020-03-11,1548082
2020-03-12,1541162
2020-03-13,1541162
2020-03-14,1529223
2020-03-15,1529223
2020-03-16,1522963
2020-03-17,1522963
2020-03-18,1505138
