date_obj,Woven%20top%20(blue) price
2015-02-25,4000
2015-02-26,4000
2015-02-27,4000
2015-02-28,4000
2015-03-01,4000
2015-03-02,4000
2015-03-03,4000
2015-03-04,4000
2015-03-05,4000
2015-03-06,4000
2015-03-07,4000
2015-03-08,4000
2015-03-09,4000
2015-03-10,3941
2015-03-11,3941
2015-03-12,3941
2015-03-13,3941
2015-03-14,3941
2015-03-15,3941
2015-03-16,3941
2015-03-17,3941
2015-03-18,3941
2015-03-19,3941
2015-03-20,3941
2015-03-21,3941
2015-03-22,3941
2015-03-23,3941
2015-03-24,3941
2015-03-25,3941
2015-03-26,3941
2015-03-27,3941
2015-03-28,3969
2015-03-29,3969
2015-03-30,3969
2015-03-31,3969
2015-04-01,3969
2015-04-02,3969
2015-04-03,3969
2015-04-04,3969
2015-04-05,3969
2015-04-06,3969
2015-04-07,3969
2015-04-08,3969
2015-04-09,3969
2015-04-10,3969
2015-04-11,3907
2015-04-12,3907
2015-04-13,3907
2015-04-14,3907
2015-04-15,3907
2015-04-16,3907
2015-04-17,3907
2015-04-18,3907
2015-04-19,3907
2015-04-20,3907
2015-04-21,3907
2015-04-22,3907
2015-04-23,3907
2015-04-24,3907
2015-04-25,3907
2015-04-26,3907
2015-04-27,3772
2015-04-28,3772
2015-04-29,3772
2015-04-30,3772
2015-05-01,3772
2015-05-02,3772
2015-05-03,3772
2015-05-04,3772
2015-05-05,3772
2015-05-06,3772
2015-05-07,3772
2015-05-08,3772
2015-05-09,3772
2015-05-10,3772
2015-05-11,3772
2015-05-12,3772
2015-05-13,3772
2015-05-14,3772
2015-05-15,3625
2015-05-16,3625
2015-05-17,3625
2015-05-18,3625
2015-05-19,3625
2015-05-20,3625
2015-05-21,3625
2015-05-22,3625
2015-05-23,3625
2015-05-24,3625
2015-05-25,3625
2015-05-26,3625
2015-05-27,3625
2015-05-28,3568
2015-05-29,3568
2015-05-30,3568
2015-05-31,3568
2015-06-01,3568
2015-06-02,3568
2015-06-03,3568
2015-06-04,3568
2015-06-05,3568
2015-06-06,3568
2015-06-07,3417
2015-06-08,3417
2015-06-09,3417
2015-06-10,3417
2015-06-11,3417
2015-06-12,3417
2015-06-13,3417
2015-06-14,3417
2015-06-15,3417
2015-06-16,3417
2015-06-17,3417
2015-06-18,3435
2015-06-19,3435
2015-06-20,3435
2015-06-21,3435
2015-06-22,3435
2015-06-23,3435
2015-06-24,3435
2015-06-25,3435
2015-06-26,3435
2015-06-27,3435
2015-06-28,3435
2015-06-29,3416
2015-06-30,3416
2015-07-01,3416
2015-07-02,3416
2015-07-03,3416
2015-07-04,3416
2015-07-05,3416
2015-07-06,3416
2015-07-07,3416
2015-07-08,3416
2015-07-09,3416
2015-07-10,3416
2015-07-11,3384
2015-07-12,3384
2015-07-13,3384
2015-07-14,3384
2015-07-15,3384
2015-07-16,3384
2015-07-17,3384
2015-07-18,3384
2015-07-19,3384
2015-07-20,3384
2015-07-21,3384
2015-07-22,3240
2015-07-23,3240
2015-07-24,3240
2015-07-25,3240
2015-07-26,3240
2015-07-27,3240
2015-07-28,3240
2015-07-29,3240
2015-07-30,3240
2015-07-31,3240
2015-08-01,3240
2015-08-02,3240
2015-08-03,3240
2015-08-04,3195
2015-08-05,3195
2015-08-06,3195
2015-08-07,3195
2015-08-08,3195
2015-08-09,3195
2015-08-10,3195
2015-08-11,3195
2015-08-12,3195
2015-08-13,3195
2015-08-14,3073
2015-08-15,3073
2015-08-16,3073
2015-08-17,3073
2015-08-18,3073
2015-08-19,3073
2015-08-20,3073
2015-08-21,3073
2015-08-22,3073
2015-08-23,3073
2015-08-24,3046
2015-08-25,3046
2015-08-26,3046
2015-08-27,3046
2015-08-28,3046
2015-08-29,3046
2015-08-30,3046
2015-08-31,3046
2015-09-01,3046
2015-09-02,3046
2015-09-03,3046
2015-09-04,3046
2015-09-05,3046
2015-09-06,3008
2015-09-07,3008
2015-09-08,3008
2015-09-09,3008
2015-09-10,3008
2015-09-11,3008
2015-09-12,3008
2015-09-13,3008
2015-09-14,3008
2015-09-15,3008
2015-09-16,3008
2015-09-17,3008
2015-09-18,2971
2015-09-19,2971
2015-09-20,2971
2015-09-21,2971
2015-09-22,2971
2015-09-23,2971
2015-09-24,2971
2015-09-25,2971
