date_obj,Eldritch%20orb price
2020-02-05,50000000
2020-02-06,51650862
2020-02-07,51650862
2020-02-08,53923719
2020-02-09,100000000
2020-02-10,104289855
2020-02-11,109159434
2020-02-12,114368186
2020-02-13,114368186
2020-02-14,119597781
2020-02-15,119597781
2020-02-16,125219588
2020-02-17,130864957
2020-02-18,130864957
2020-02-19,136888485
2020-02-20,136888485
2020-02-21,143113897
2020-02-22,150134583
2020-02-23,150134583
2020-02-24,157289770
2020-02-25,157289770
2020-02-26,157289770
2020-02-27,164747475
2020-02-28,164747475
2020-02-29,172522688
2020-03-01,180912766
2020-03-02,180912766
2020-03-03,180912766
2020-03-04,180912766
2020-03-05,189958405
2020-03-06,189958405
2020-03-07,189958405
2020-03-08,199005950
2020-03-09,199005950
2020-03-10,208470097
2020-03-11,208470097
2020-03-12,218674927
2020-03-13,218674927
2020-03-14,229376031
2020-03-15,229376031
2020-03-16,240210940
2020-03-17,240210940
2020-03-18,251953983
2020-03-19,251953983
2020-03-20,263791573
2020-03-21,263791573
2020-03-22,276614775
2020-03-23,276614775
2020-03-24,276614775
2020-03-25,274375557
2020-03-26,274375557
2020-03-27,260671296
2020-03-28,260671296
2020-03-29,247637731
2020-03-30,247637731
2020-03-31,235255844
2020-04-01,235255844
2020-04-02,223493051
2020-04-03,223493051
2020-04-04,212318398
2020-04-05,212318398
2020-04-06,201702478
2020-04-07,201702478
2020-04-08,191617354
2020-04-09,191617354
2020-04-10,191617354
2020-04-11,182036486
2020-04-12,182036486
2020-04-13,182036486
2020-04-14,172934661
2020-04-15,164287927
2020-04-16,164287927
2020-04-17,156073530
2020-04-18,156073530
2020-04-19,148269853
2020-04-20,148269853
2020-04-21,140856360
2020-04-22,140856360
2020-04-23,133813542
2020-04-24,133813542
2020-04-25,127122864
2020-04-26,127122864
2020-04-27,126017859
2020-04-28,126017859
2020-04-29,130517845
2020-04-30,130517845
2020-05-01,136168943
2020-05-02,136168943
2020-05-03,141463343
2020-05-04,141463343
2020-05-05,141463343
2020-05-06,148302938
2020-05-07,148302938
2020-05-08,154639579
2020-05-09,154639579
2020-05-10,162035159
2020-05-11,162035159
2020-05-12,162035159
2020-05-13,169666643
