date_obj,Fremennik%20green%20cloak price
2015-03-04,9545
2015-03-05,9545
2015-03-06,9545
2015-03-07,9545
2015-03-08,9545
2015-03-09,9545
2015-03-10,9545
2015-03-11,9075
2015-03-12,9075
2015-03-13,9075
2015-03-14,9075
2015-03-15,9075
2015-03-16,9075
2015-03-17,9075
2015-03-18,9075
2015-03-19,8624
2015-03-20,8624
2015-03-21,8624
2015-03-22,8624
2015-03-23,8624
2015-03-24,8624
2015-03-25,8624
2015-03-26,8624
2015-03-27,8624
2015-03-28,8192
2015-03-29,8192
2015-03-30,8192
2015-03-31,8192
2015-04-01,8192
2015-04-02,8192
2015-04-03,8192
2015-04-04,7810
2015-04-05,7810
2015-04-06,7810
2015-04-07,7810
2015-04-08,7810
2015-04-09,7810
2015-04-10,7810
2015-04-11,7422
2015-04-12,7422
2015-04-13,7422
2015-04-14,7422
2015-04-15,7422
2015-04-16,7422
2015-04-17,7422
2015-04-18,7422
2015-04-19,7051
2015-04-20,7051
2015-04-21,7051
2015-04-22,7051
2015-04-23,7051
2015-04-24,7051
2015-04-25,7051
2015-04-26,7051
2015-04-27,6701
2015-04-28,6701
2015-04-29,6701
2015-04-30,6701
2015-05-01,6701
2015-05-02,6701
2015-05-03,6701
2015-05-04,6701
2015-05-05,6368
2015-05-06,6368
2015-05-07,6368
2015-05-08,6368
2015-05-09,6368
2015-05-10,6368
2015-05-11,6368
2015-05-12,6368
2015-05-13,6070
2015-05-14,6070
2015-05-15,6070
2015-05-16,6070
2015-05-17,6070
2015-05-18,6070
2015-05-19,6070
2015-05-20,6070
2015-05-21,6070
2015-05-22,6070
2015-05-23,5927
2015-05-24,5927
2015-05-25,5927
2015-05-26,5927
2015-05-27,5927
2015-05-28,5642
2015-05-29,5642
2015-05-30,5642
2015-05-31,5642
2015-06-01,5642
2015-06-02,5642
2015-06-03,5359
2015-06-04,5359
2015-06-05,5359
2015-06-06,5359
2015-06-07,5359
2015-06-08,5359
2015-06-09,5091
2015-06-10,5091
2015-06-11,5091
2015-06-12,5091
2015-06-13,5091
2015-06-14,4837
2015-06-15,4837
2015-06-16,4837
2015-06-17,4837
2015-06-18,4837
2015-06-19,4837
2015-06-20,4600
2015-06-21,4600
