date_obj,Eternal%20boots price
2015-03-26,11544000
2015-03-27,11544000
2015-03-28,11544000
2015-03-29,11544000
2015-03-30,11544000
2015-03-31,11544000
2015-04-01,11544000
2015-04-02,11544000
2015-04-03,11544000
2015-04-04,11544000
2015-04-05,11544000
2015-04-06,11544000
2015-04-07,11544000
2015-04-08,11544000
2015-04-09,11544000
2015-04-10,11544000
2015-04-11,11544000
2015-04-12,11544000
2015-04-13,11544000
2015-04-14,11544000
2015-04-15,11544000
2015-04-16,11544000
2015-04-17,11544000
2015-04-18,11544000
2015-04-19,11544000
2015-04-20,11544000
2015-04-21,11544000
2015-04-22,11544000
2015-04-23,11544000
2015-04-24,11544000
2015-04-25,11544000
2015-04-26,11544000
2015-04-27,11544000
2015-04-28,11544000
2015-04-29,11544000
2015-04-30,11544000
2015-05-01,11544000
2015-05-02,11544000
2015-05-03,11544000
2015-05-04,11544000
2015-05-05,11544000
2015-05-06,11544000
2015-05-07,11544000
2015-05-08,11544000
2015-05-09,11544000
2015-05-10,11544000
2015-05-11,11544000
2015-05-12,11544000
2015-05-13,11544000
2015-05-14,11544000
2015-05-15,11544000
2015-05-16,11544000
2015-05-17,11544000
2015-05-18,11544000
2015-05-19,11544000
2015-05-20,11544000
2015-05-21,11544000
2015-05-22,11544000
2015-05-23,11544000
2015-05-24,11544000
2015-05-25,11544000
2015-05-26,11544000
2015-05-27,11544000
2015-05-28,11544000
2015-05-29,11544000
2015-05-30,11544000
2015-05-31,11544000
2015-06-01,11544000
2015-06-02,11544000
2015-06-03,11544000
2015-06-04,11544000
2015-06-05,11544000
2015-06-06,11544000
2015-06-07,11544000
2015-06-08,11544000
2015-06-09,11544000
2015-06-10,11544000
2015-06-11,11544000
2015-06-12,11544000
2015-06-13,11544000
2015-06-14,11544000
2015-06-15,11544000
2015-06-16,11544000
2015-06-17,11544000
2015-06-18,11544000
2015-06-19,11544000
2015-06-20,11544000
2015-06-21,11544000
2015-06-22,11544000
2015-06-23,11544000
2015-06-24,11544000
2015-06-25,11544000
2015-06-26,11544000
2015-06-27,11544000
2015-06-28,11544000
2015-06-29,11544000
2015-06-30,11544000
2015-07-01,11544000
2015-07-02,11544000
2015-07-03,11544000
2015-07-04,11544000
2015-07-05,11544000
2015-07-06,11544000
2015-07-07,11544000
2015-07-08,11544000
2015-07-09,11544000
2015-07-10,11544000
2015-07-11,11544000
2015-07-12,11544000
2015-07-13,11544000
2015-07-14,11544000
2015-07-15,11544000
2015-07-16,11544000
2015-07-17,11544000
2015-07-18,11544000
2015-07-19,11544000
2015-07-20,11544000
2015-07-21,11544000
2015-07-22,11544000
2015-07-23,11544000
2015-07-24,11544000
2015-07-25,11544000
2015-07-26,11544000
2015-07-27,11544000
2015-07-28,11544000
2015-07-29,11544000
2015-07-30,11544000
2015-07-31,11544000
2015-08-01,11544000
2015-08-02,11544000
2015-08-03,11544000
2015-08-04,11544000
2015-08-05,11544000
2015-08-06,11544000
2015-08-07,11544000
2015-08-08,11544000
2015-08-09,11544000
2015-08-10,11544000
2015-08-11,11544000
2015-08-12,11544000
2015-08-13,11544000
2015-08-14,11544000
2015-08-15,11544000
2015-08-16,11544000
2015-08-17,11544000
2015-08-18,11544000
2015-08-19,11544000
2015-08-20,11544000
2015-08-21,11544000
2015-08-22,11544000
2015-08-23,11544000
2015-08-24,11544000
2015-08-25,11544000
2015-08-26,11544000
2015-08-27,11369893
2015-08-28,11369893
2015-08-29,10801398
2015-08-30,10801398
2015-08-31,10261328
2015-09-01,9752669
2015-09-02,9752669
2015-09-03,9265035
2015-09-04,8801783
2015-09-05,8801783
2015-09-06,8362513
2015-09-07,8362513
2015-09-08,8109963
2015-09-09,8109963
2015-09-10,7704464
2015-09-11,7319240
2015-09-12,7319240
2015-09-13,6953278
2015-09-14,6953278
2015-09-15,6605614
2015-09-16,6605614
2015-09-17,6275333
2015-09-18,6275333
2015-09-19,5994521
2015-09-20,6074297
2015-09-21,6074297
2015-09-22,6332539
2015-09-23,6426936
2015-09-24,6426936
2015-09-25,6300559
2015-09-27,6242998
2015-09-28,6134615
2015-09-29,6134615
2015-09-30,5915897
2015-10-05,7126500
2015-10-06,7076630
2015-10-07,7076630
2015-10-08,6969747
2015-10-09,7018786
2015-10-10,7018786
2015-10-11,6979003
2015-10-12,6631271
2015-10-13,6631271
2015-10-14,6457982
2015-10-15,6325973
2015-10-16,6103931
2015-10-17,6103931
2015-10-18,6006363
2015-10-19,5815673
2015-10-20,5708988
2015-10-22,5797831
2015-10-23,5858948
2015-10-24,6116662
2015-10-25,6333950
2015-10-26,6235982
2015-10-27,6235982
2015-10-29,5908372
2015-10-30,5908372
2015-10-31,5749127
2015-11-01,5749127
2015-11-02,5831370
2015-11-03,5831370
2015-11-04,5711810
2015-11-05,5827705
2015-11-06,5827705
2015-11-07,5882823
2015-11-08,5882823
2015-11-09,5730978
2015-11-10,5730978
2015-11-11,5618082
2015-11-12,5618082
2015-11-13,5559468
2015-11-14,5671049
2015-11-15,5648455
2015-11-16,5651479
2015-11-17,5651479
2015-11-18,5793060
2015-11-19,5905543
2015-11-20,6012855
2015-11-21,6012855
2015-11-22,6253563
2015-11-23,6253563
2015-11-24,6068108
2015-11-25,5999762
2015-11-26,5999762
2015-11-27,5985648
2015-11-28,6198377
2015-11-29,6342737
2015-11-30,6303705
2015-12-01,6303705
2015-12-02,6308252
2015-12-03,6435753
2015-12-04,6487029
2015-12-05,6550129
2015-12-06,6777181
2015-12-07,7088614
2015-12-08,7152056
2015-12-09,7104306
2015-12-10,7072650
2015-12-11,7026692
2015-12-12,6992691
2015-12-13,6978705
2015-12-14,6978705
