date_obj,Black%20pickaxe price
2015-03-26,5655
2015-03-27,5655
2015-03-28,5649
2015-03-29,5632
2015-03-30,5564
2015-03-31,5533
2015-04-01,5538
2015-04-02,5557
2015-04-03,5526
2015-04-04,5481
2015-04-05,5443
2015-04-06,5386
2015-04-07,5365
2015-04-08,5364
2015-04-09,5291
2015-04-10,5298
2015-04-11,5228
2015-04-12,5181
2015-04-13,5138
2015-04-14,5105
2015-04-15,5081
2015-04-16,5123
2015-04-17,5110
2015-04-18,5073
2015-04-19,4997
2015-04-20,5020
2015-04-21,5015
2015-04-22,4934
2015-04-23,4883
2015-04-24,4910
2015-04-25,4893
2015-04-26,4887
2015-04-27,4892
2015-04-28,4891
2015-04-29,4820
2015-04-30,4824
2015-05-01,4743
2015-05-02,4702
2015-05-03,4688
2015-05-04,4634
2015-05-05,4598
2015-05-06,4572
2015-05-07,4567
2015-05-08,4556
2015-05-09,4535
2015-05-10,4474
2015-05-11,4381
2015-05-12,4363
2015-05-13,4306
2015-05-14,4196
2015-05-15,4150
2015-05-16,4106
2015-05-17,4090
2015-05-18,4033
2015-05-19,4108
2015-05-20,4166
2015-05-21,4197
2015-05-22,4209
2015-05-23,4217
2015-05-24,4236
2015-05-25,4241
2015-05-26,4261
2015-05-27,4216
2015-05-28,4203
2015-05-29,4228
2015-05-30,4170
2015-05-31,4216
2015-06-01,4199
2015-06-02,4213
2015-06-03,4217
2015-06-04,4085
2015-06-05,4087
2015-06-06,4116
2015-06-07,4117
2015-06-08,4098
2015-06-09,4095
2015-06-10,4067
2015-06-11,4101
2015-06-12,4129
2015-06-13,4141
2015-06-14,4168
2015-06-15,4155
2015-06-16,4067
2015-06-17,4058
2015-06-18,4097
2015-06-19,4161
2015-06-20,4099
2015-06-21,4055
2015-06-22,4031
2015-06-23,4064
2015-06-24,4119
2015-06-25,4173
2015-06-26,4180
2015-06-27,4225
2015-06-28,4305
2015-06-29,4390
2015-06-30,4490
2015-07-01,4715
2015-07-02,4951
2015-07-03,5097
2015-07-04,5141
2015-07-05,5156
2015-07-06,5199
2015-07-07,5229
2015-07-08,5249
2015-07-09,5244
2015-07-10,5250
2015-07-11,5246
2015-07-12,5218
2015-07-13,5158
2015-07-14,5186
2015-07-15,5167
2015-07-16,5087
2015-07-17,5060
2015-07-18,5048
2015-07-19,5013
2015-07-20,5094
2015-07-21,5115
2015-07-22,5150
2015-07-23,5084
2015-07-24,5148
2015-07-25,5259
2015-07-26,5397
2015-07-27,5434
2015-07-28,5457
2015-07-29,5475
2015-07-30,5524
2015-07-31,5550
2015-08-01,5550
2015-08-02,5524
2015-08-03,5492
2015-08-04,5491
2015-08-05,5524
2015-08-06,5531
2015-08-07,5509
2015-08-08,5508
2015-08-09,5545
2015-08-10,5597
2015-08-11,5592
2015-08-12,5557
2015-08-13,5578
2015-08-14,5616
2015-08-15,5738
2015-08-16,5779
2015-08-17,5698
2015-08-18,5694
2015-08-19,5785
2015-08-20,5870
2015-08-21,5831
2015-08-22,5806
2015-08-23,5848
2015-08-24,5845
2015-08-25,5930
2015-08-26,5825
2015-08-27,5798
2015-08-28,5752
2015-08-29,5765
2015-08-30,5848
2015-08-31,5855
2015-09-01,5850
2015-09-02,5856
2015-09-03,5855
2015-09-04,5896
2015-09-05,5918
2015-09-06,5924
2015-09-07,5990
2015-09-08,5954
2015-09-09,5967
2015-09-10,6028
2015-09-11,6041
2015-09-12,6044
2015-09-13,6046
2015-09-14,6020
2015-09-15,6080
2015-09-16,6142
2015-09-17,6188
2015-09-18,6184
2015-09-19,6205
2015-09-20,6236
2015-09-21,6245
2015-09-22,6268
2015-09-23,6333
2015-09-24,6441
2015-09-25,6471
2015-09-27,6407
2015-09-28,6402
2015-09-29,6318
2015-09-30,6373
2015-10-05,6789
2015-10-06,6693
2015-10-07,6544
2015-10-08,6609
2015-10-09,6603
2015-10-10,6671
2015-10-11,6789
2015-10-12,6858
2015-10-13,6933
2015-10-14,6979
2015-10-15,7016
2015-10-16,6927
2015-10-17,6937
2015-10-18,6927
2015-10-19,6912
2015-10-20,6858
2015-10-22,6972
2015-10-23,7054
2015-10-24,7077
2015-10-25,7010
2015-10-26,7012
2015-10-27,6972
2015-10-29,7036
2015-10-30,7001
2015-10-31,7047
2015-11-01,6907
