date_obj,Shoulder%20parrot price
2019-04-11,50000
2019-04-11,52500
2019-04-12,55125
2019-04-13,57882
2019-04-14,60777
2019-04-15,1080000
2019-04-16,1080000
2019-04-17,1077267
2019-04-18,1130907
2019-04-19,1174689
2019-04-20,1195766
2019-04-21,1214031
2019-04-22,1195443
2019-04-23,1147852
2019-04-24,1090459
2019-04-25,1035936
2019-04-26,984139
2019-04-27,934932
2019-04-28,888185
2019-04-29,843775
2019-04-30,801586
2019-05-01,761506
2019-05-02,723430
2019-05-03,687258
2019-05-04,652895
2019-05-05,620250
2019-05-06,589237
2019-05-07,559775
2019-05-08,531786
2019-05-09,505196
2019-05-10,479936
2019-05-11,455939
2019-05-12,433142
2019-05-13,411484
2019-05-14,390909
2019-05-15,374834
2019-05-16,363501
2019-05-17,354166
2019-05-18,352078
2019-05-19,352078
2019-05-20,344916
2019-05-21,334208
2019-05-22,323185
2019-05-23,307869
2019-05-24,295047
2019-05-25,284258
2019-05-26,272610
2019-05-27,264123
2019-05-28,256155
2019-05-29,247346
2019-05-30,244491
2019-05-31,242691
2019-06-01,243767
2019-06-02,237972
2019-06-03,229959
2019-06-04,224821
2019-06-05,220900
2019-06-06,226675
2019-06-07,228898
2019-06-08,225807
2019-06-09,225577
2019-06-10,225577
2019-06-11,225721
2019-06-12,235644
2019-06-13,247427
2019-06-14,258991
2019-06-15,258991
2019-06-16,258180
2019-06-17,249442
2019-06-18,243848
2019-06-19,239490
2019-06-20,232216
2019-06-21,226765
2019-06-22,223646
2019-06-23,218086
2019-06-24,214055
2019-06-25,210649
2019-06-26,212619
2019-06-27,214022
2019-06-28,214022
2019-06-29,220149
2019-06-30,226242
2019-07-01,226242
2019-07-02,231856
2019-07-03,235914
2019-07-04,235914
2019-07-05,239795
2019-07-06,239795
2019-07-07,245373
2019-07-08,246437
2019-07-09,249167
2019-07-10,252481
2019-07-11,255326
2019-07-12,253337
2019-07-13,253337
2019-07-14,249905
2019-07-15,249905
2019-07-16,250608
2019-07-17,248330
2019-07-18,248330
2019-07-19,248448
2019-07-20,248448
2019-07-21,249080
2019-07-22,244284
2019-07-23,242517
2019-07-24,242517
2019-07-25,242278
2019-07-26,242119
2019-07-27,245329
2019-07-28,248886
2019-07-29,257233
2019-07-30,264460
2019-07-31,261707
2019-08-01,261707
2019-08-02,257224
2019-08-03,256428
2019-08-04,255390
2019-08-05,251946
2019-08-06,253084
2019-08-07,254250
2019-08-08,254250
2019-08-09,251498
2019-08-10,251333
2019-08-11,251333
2019-08-12,248800
2019-08-13,243050
2019-08-14,238292
2019-08-15,240627
2019-08-16,246922
2019-08-17,246922
2019-08-18,253439
2019-08-19,262239
2019-08-20,262239
2019-08-21,266437
2019-08-22,275603
2019-08-23,275603
2019-08-24,289110
2019-08-24,289110
2019-08-25,289110
2019-08-25,289110
2019-08-26,303383
2019-08-26,303383
2019-08-27,303383
2019-08-27,303383
2019-08-28,318441
2019-08-29,331079
2019-08-30,344063
2019-08-31,344063
2019-09-01,354982
2019-09-02,354982
2019-09-03,364735
2019-09-04,379194
2019-09-05,396091
2019-09-06,396091
2019-09-07,415896
2019-09-08,434459
2019-09-09,434459
2019-09-10,455524
2019-09-11,469939
2019-09-12,469939
2019-09-13,473347
2019-09-14,466274
2019-09-15,466274
2019-09-16,456774
2019-09-17,450632
2019-09-18,443148
2019-09-19,443148
2019-09-20,430281
2019-09-21,423060
2019-09-22,411168
2019-09-23,395957
2019-09-24,395957
2019-09-25,380584
2019-09-26,367822
2019-09-27,367822
2019-09-28,364306
2019-09-29,364306
2019-09-30,360006
2019-10-01,351067
2019-10-02,351067
2019-10-03,346046
2019-10-04,346046
2019-10-05,342233
2019-10-06,341351
2019-10-07,341351
2019-10-08,326563
2019-10-09,326563
2019-10-10,311576
2019-10-11,299515
2019-10-12,289497
2019-10-13,276767
2019-10-14,267266
2019-10-15,260117
2019-10-16,255407
2019-10-17,255407
2019-10-18,250110
2019-10-19,244445
2019-10-20,241153
2019-10-21,241153
2019-10-22,237802
2019-10-23,236557
2019-10-24,232734
2019-10-25,230710
2019-10-26,231468
2019-10-27,228182
2019-10-28,227726
2019-10-29,227726
2019-10-30,229807
2019-10-31,228967
2019-11-01,228967
2019-11-02,224124
2019-11-03,222819
2019-11-04,219143
2019-11-05,219143
2019-11-06,218729
2019-11-07,217246
2019-11-08,215457
2019-11-09,215696
2019-11-10,210228
2019-11-11,205913
2019-11-12,205913
2019-11-13,201461
2019-11-14,201461
2019-11-15,196601
2019-11-16,196525
2019-11-17,196525
2019-11-18,194013
2019-11-19,194013
2019-11-20,191012
2019-11-21,191012
2019-11-22,189021
2019-11-23,191967
2019-11-24,194200
2019-11-25,200069
2019-11-26,206340
2019-11-27,206340
2019-11-28,214402
2019-11-29,214402
2019-11-30,221091
2019-12-01,227448
2019-12-02,227448
2019-12-03,234422
2019-12-04,238657
2019-12-05,238657
2019-12-06,240974
2019-12-07,240974
2019-12-08,234286
2019-12-09,232892
2019-12-10,240360
2019-12-11,240360
2019-12-12,240005
2019-12-13,238068
2019-12-14,238068
2019-12-15,234836
2019-12-16,234836
2019-12-17,229976
2019-12-18,229976
2019-12-19,233129
2019-12-20,239823
2019-12-21,239823
2019-12-22,250442
2019-12-23,250442
2019-12-24,254634
2019-12-25,260481
2019-12-26,260481
2019-12-27,265707
2019-12-28,267251
2019-12-29,267251
2019-12-30,266078
2019-12-31,266078
2020-01-01,252778
2020-01-02,240139
2020-01-03,240139
2020-01-04,231862
2020-01-05,224022
2020-01-06,224022
2020-01-07,215274
2020-01-08,215274
2020-01-09,210997
2020-01-10,208248
2020-01-11,206543
2020-01-12,206967
2020-01-13,206967
2020-01-14,207635
2020-01-15,206369
2020-01-16,204242
2020-01-17,202812
2020-01-18,202812
2020-01-19,202113
2020-01-20,201851
2020-01-21,201851
2020-01-22,204073
2020-01-23,208010
2020-01-24,207724
2020-01-25,207724
2020-01-26,206220
2020-01-27,204562
2020-01-28,201286
2020-01-29,203950
2020-01-30,211510
2020-01-31,211510
2020-02-01,211249
2020-02-02,209463
2020-02-03,209463
2020-02-04,208817
2020-02-05,203853
2020-02-06,199517
2020-02-07,199517
2020-02-08,195100
2020-02-09,191367
2020-02-10,187244
2020-02-11,187244
2020-02-12,179457
2020-02-13,179457
2020-02-14,175836
2020-02-15,173750
2020-02-16,169051
2020-02-17,169960
2020-02-18,168446
2020-02-19,165430
2020-02-20,163706
2020-02-21,163706
2020-02-22,159602
2020-02-23,156018
2020-02-24,150397
2020-02-25,146406
2020-02-26,139417
2020-02-27,133583
2020-02-28,127457
2020-02-29,127457
2020-03-01,122934
2020-03-02,118815
2020-03-03,115607
2020-03-04,115607
2020-03-05,114974
2020-03-06,115082
2020-03-07,115082
2020-03-08,114183
2020-03-09,115541
2020-03-10,114131
2020-03-11,114131
2020-03-12,112224
2020-03-13,110967
2020-03-14,108542
2020-03-15,108542
2020-03-16,106572
2020-03-17,105312
2020-03-18,108266
2020-03-19,111563
2020-03-20,116516
2020-03-21,121739
2020-03-22,127826
2020-03-23,133373
2020-03-24,140042
2020-03-25,146460
2020-03-26,153783
2020-03-27,160381
2020-03-28,163607
2020-03-29,171475
2020-03-30,179064
2020-03-31,185090
2020-04-01,190821
2020-04-02,198649
2020-04-03,198649
2020-04-04,201966
2020-04-05,194388
2020-04-06,184772
2020-04-07,175533
2020-04-08,166756
2020-04-09,158418
2020-04-10,151125
2020-04-11,144006
2020-04-12,136828
2020-04-13,130447
2020-04-14,126840
2020-04-15,122834
2020-04-16,122834
2020-04-17,122714
2020-04-18,125004
