date_obj,Rune%20mace price
2015-03-26,8497
2015-03-27,8402
2015-03-28,8402
2015-03-29,8444
2015-03-30,8444
2015-03-31,8444
2015-04-01,8446
2015-04-02,8446
2015-04-03,8446
2015-04-04,8483
2015-04-05,8483
2015-04-06,8483
2015-04-07,8493
2015-04-08,8493
2015-04-09,8493
2015-04-10,8578
2015-04-11,8578
2015-04-12,8578
2015-04-13,8545
2015-04-14,8545
2015-04-15,8545
2015-04-16,8625
2015-04-17,8625
2015-04-18,8625
2015-04-19,8576
2015-04-20,8576
2015-04-21,8576
2015-04-22,8627
2015-04-23,8627
2015-04-24,8691
2015-04-25,8691
2015-04-26,8691
2015-04-27,8565
2015-04-28,8565
2015-04-29,8565
2015-04-30,8561
2015-05-01,8561
2015-05-02,8635
2015-05-03,8635
2015-05-04,8635
2015-05-05,8616
2015-05-06,8616
2015-05-07,8741
2015-05-08,8741
2015-05-09,8741
2015-05-10,8661
2015-05-11,8661
2015-05-12,8661
2015-05-13,8412
2015-05-14,8412
2015-05-15,8412
2015-05-16,8492
2015-05-17,8492
2015-05-18,8383
2015-05-19,8383
2015-05-20,8383
2015-05-21,8383
2015-05-22,8487
2015-05-23,8487
2015-05-24,8487
2015-05-25,8559
2015-05-26,8559
2015-05-27,8559
2015-05-28,8556
2015-05-29,8556
2015-05-30,8583
2015-05-31,8583
2015-06-01,8549
2015-06-02,8549
2015-06-03,8612
2015-06-04,8612
2015-06-05,8470
2015-06-06,8470
2015-06-07,8387
2015-06-08,8387
2015-06-09,8410
2015-06-10,8410
2015-06-11,8560
2015-06-12,8560
2015-06-13,8518
2015-06-14,8518
2015-06-15,8600
2015-06-16,8600
2015-06-17,8653
2015-06-18,8653
2015-06-19,8726
2015-06-20,8726
2015-06-21,8619
2015-06-22,8619
2015-06-23,8585
2015-06-24,8585
2015-06-25,8551
2015-06-26,8551
2015-06-27,8725
2015-06-28,8725
2015-06-29,8525
2015-06-30,8525
2015-07-01,8669
2015-07-02,8669
2015-07-03,8604
2015-07-04,8604
2015-07-05,8684
2015-07-06,8684
2015-07-07,8759
2015-07-08,8759
2015-07-09,8818
2015-07-10,8818
2015-07-11,8798
2015-07-12,8798
2015-07-13,8624
2015-07-14,8624
2015-07-15,8760
2015-07-16,8760
2015-07-17,8732
2015-07-18,8732
2015-07-19,8553
2015-07-20,8553
2015-07-21,8771
2015-07-22,8910
2015-07-23,8910
2015-07-24,8822
2015-07-25,8822
2015-07-26,8953
2015-07-27,8953
2015-07-28,8736
2015-07-29,8842
2015-07-30,8842
2015-07-31,8842
2015-08-01,8962
2015-08-02,8962
