date_obj,Chinchompa price
2016-01-29,919
2016-01-30,919
2016-01-31,919
2016-02-01,919
2016-02-02,919
2016-02-03,912
2016-02-04,912
2016-02-05,912
2016-02-06,912
2016-02-07,912
2016-02-08,940
2016-02-09,940
2016-02-10,940
2016-02-11,940
2016-02-12,940
2016-02-13,970
2016-02-14,970
2016-02-15,970
2016-02-16,970
2016-02-17,970
2016-02-18,970
2016-02-19,984
2016-02-20,984
2016-02-21,984
2016-02-22,984
2016-02-23,993
2016-02-24,993
2016-02-25,993
2016-02-26,993
2016-02-27,1006
2016-02-28,1006
2016-02-29,1006
2016-03-01,1006
2016-03-02,1006
2016-03-03,988
2016-03-04,988
2016-03-05,988
2016-03-06,988
2016-03-07,988
2016-03-08,1024
2016-03-09,1024
2016-03-10,1024
2016-03-11,1024
2016-03-12,1026
2016-03-13,1026
2016-03-14,1026
2016-03-15,1026
2016-03-16,1026
2016-03-17,1026
2016-03-18,1005
2016-03-19,1005
2016-03-20,1005
2016-03-21,1005
2016-03-22,1005
2016-03-23,1013
2016-03-24,1013
2016-03-25,1013
2016-03-26,1013
2016-03-27,1013
2016-03-28,1061
2016-03-29,1061
2016-03-30,1061
2016-03-31,1061
2016-04-01,1061
2016-04-02,1061
2016-04-03,1095
2016-04-04,1095
2016-04-05,1095
2016-04-06,1095
2016-04-07,1095
2016-04-08,1115
2016-04-09,1115
2016-04-10,1115
2016-04-11,1115
2016-04-12,1115
2016-04-13,1158
2016-04-14,1158
2016-04-15,1158
2016-04-16,1158
2016-04-17,1158
2016-04-18,1176
2016-04-19,1176
2016-04-20,1176
2016-04-21,1176
2016-04-22,1176
2016-04-23,1176
2016-04-24,1168
2016-04-25,1168
2016-04-26,1168
2016-04-27,1168
2016-04-28,1168
2016-04-29,1109
2016-04-30,1109
2016-05-01,1109
2016-05-02,1109
2016-05-03,1061
2016-05-04,1061
2016-05-05,1061
2016-05-06,1061
2016-05-07,1015
2016-05-08,1015
2016-05-09,1015
2016-05-10,1015
