date_obj,Malediction%20ward price
2015-03-26,5072577
2015-03-27,4853734
2015-03-28,4853734
2015-03-29,4853734
2015-03-30,4667626
2015-03-31,4667626
2015-04-01,4667626
2015-04-02,4667626
2015-04-03,4740696
2015-04-04,4740696
2015-04-05,4740696
2015-04-06,4906171
2015-04-07,4906171
2015-04-08,4906171
2015-04-09,4906171
2015-04-10,5141849
2015-04-11,5141849
2015-04-12,5141849
2015-04-13,5141849
2015-04-14,5074699
2015-04-15,5074699
2015-04-16,5074699
2015-04-17,5008028
2015-04-18,5008028
2015-04-19,5008028
2015-04-20,5008028
2015-04-21,4812696
2015-04-22,4812696
2015-04-23,4812696
2015-04-24,4812696
2015-04-25,4639812
2015-04-26,4639812
2015-04-27,4639812
2015-04-28,4417901
2015-04-29,4417901
2015-04-30,4417901
2015-05-01,4312991
2015-05-02,4312991
2015-05-03,4312991
2015-05-04,4312991
2015-05-05,4245421
2015-05-06,4245421
2015-05-07,4245421
2015-05-08,4245421
2015-05-09,4033149
2015-05-10,4033149
2015-05-11,4033149
2015-05-12,3854704
2015-05-13,3854704
2015-05-14,3854704
2015-05-15,3854704
2015-05-16,3666870
2015-05-17,3666870
2015-05-18,3666870
2015-05-19,3586791
2015-05-20,3586791
2015-05-21,3586791
2015-05-22,3586791
2015-05-23,3477950
2015-05-24,3477950
2015-05-25,3477950
2015-05-26,3384812
2015-05-27,3384812
2015-05-28,3364340
2015-05-29,3364340
2015-05-30,3397816
2015-05-31,3397816
2015-06-01,3412646
2015-06-02,3412646
2015-06-03,3412646
2015-06-04,3428768
2015-06-05,3428768
2015-06-06,3535257
2015-06-07,3535257
2015-06-08,3535894
2015-06-09,3535894
2015-06-10,3514119
2015-06-11,3514119
2015-06-12,3514119
2015-06-13,3658549
2015-06-14,3658549
2015-06-15,3830614
2015-06-16,3830614
2015-06-17,3832471
2015-06-18,3832471
2015-06-19,3779351
2015-06-20,3779351
2015-06-21,3680370
2015-06-22,3680370
2015-06-23,3638144
2015-06-24,3810678
2015-06-25,3810678
2015-06-26,3832575
2015-06-27,3832575
2015-06-28,3880842
2015-06-29,3880842
2015-06-30,3803874
2015-07-01,3803874
2015-07-02,3739619
2015-07-03,3774796
2015-07-04,3774796
2015-07-05,3677332
2015-07-06,3677332
2015-07-07,3579740
2015-07-08,3579740
2015-07-09,3530312
2015-07-10,3530312
2015-07-11,3491807
2015-07-12,3491807
2015-07-13,3429834
2015-07-14,3429834
2015-07-15,3312452
2015-07-16,3312452
2015-07-17,3188025
2015-07-18,3188025
2015-07-19,3101513
2015-07-20,3101513
2015-07-21,3151641
2015-07-22,3151641
2015-07-23,3027789
2015-07-24,2939388
2015-07-25,2939388
2015-07-26,2814338
2015-07-27,2814338
2015-07-28,2805241
2015-07-29,2861637
2015-07-30,2861637
2015-07-31,2996758
2015-08-01,2996758
2015-08-02,3133736
2015-08-03,3133736
2015-08-04,3275451
2015-08-05,3275451
2015-08-06,3239148
2015-08-07,3239148
2015-08-08,3172095
2015-08-09,3172095
2015-08-10,3296778
2015-08-11,3296778
2015-08-12,3447535
2015-08-13,3447535
2015-08-14,3614546
2015-08-15,3614546
2015-08-16,3704058
2015-08-17,3704058
2015-08-18,3684301
2015-08-19,3684301
2015-08-20,3819167
2015-08-21,3819167
2015-08-22,3854717
2015-08-23,3854717
2015-08-24,3905475
2015-08-25,3905475
2015-08-26,3905475
2015-08-27,3825107
2015-08-28,3825107
2015-08-29,3737344
2015-08-30,3737344
2015-08-31,3676978
2015-09-01,3676978
2015-09-02,3676978
2015-09-03,3549681
2015-09-04,3549681
2015-09-05,3469710
2015-09-06,3469710
2015-09-07,3339958
2015-09-08,3339958
2015-09-09,3177631
2015-09-10,3177631
2015-09-11,3019163
2015-09-12,3019163
2015-09-13,2969769
2015-09-14,2969769
2015-09-15,2945617
2015-09-16,2945617
2015-09-17,2990101
2015-09-18,2990101
2015-09-19,3119755
2015-09-20,3119755
2015-09-21,3137901
2015-09-22,3137901
2015-09-23,3083761
2015-09-24,3083761
2015-09-25,3018052
2015-09-27,3070773
2015-09-28,3070773
2015-09-29,2958428
2015-09-30,2923183
2015-10-05,3220109
2015-10-06,3289437
2015-10-07,3289437
2015-10-08,3393274
2015-10-09,3493040
2015-10-10,3493040
2015-10-11,3621888
2015-10-12,3621888
2015-10-13,3584942
2015-10-14,3584942
2015-10-15,3480743
2015-10-16,3480743
2015-10-17,3328312
2015-10-18,3328312
2015-10-19,3162104
2015-10-20,3162104
2015-10-22,3104688
2015-10-23,3037415
2015-10-24,3037415
2015-10-25,3030696
2015-10-26,3030696
2015-10-27,2901006
2015-10-29,2847276
2015-10-30,2847276
2015-10-31,2814162
2015-11-01,2814162
2015-11-02,2814162
2015-11-03,2825966
2015-11-04,2825966
2015-11-05,2825966
2015-11-06,2883048
2015-11-07,2883048
2015-11-08,2950978
2015-11-09,2950978
2015-11-10,2950978
2015-11-11,2891685
2015-11-12,2891685
2015-11-13,2891685
2015-11-14,2935601
2015-11-15,2935601
2015-11-16,2941365
2015-11-17,2941365
2015-11-18,2941365
2015-11-19,2876730
2015-11-20,2876730
2015-11-21,2876730
2015-11-22,2892272
2015-11-23,2892272
2015-11-24,2892272
2015-11-25,3018366
2015-11-26,3018366
2015-11-27,3018366
2015-11-28,3166932
2015-11-29,3166932
2015-11-30,3204894
2015-12-01,3204894
2015-12-02,3178939
2015-12-03,3178939
2015-12-04,3190885
2015-12-05,3190885
2015-12-06,3249024
2015-12-07,3249024
2015-12-08,3252003
2015-12-09,3286572
2015-12-10,3286572
2015-12-11,3367611
2015-12-12,3367611
2015-12-13,3434181
2015-12-14,3434181
2015-12-15,3547113
2015-12-16,3547113
2015-12-17,3599684
2015-12-18,3599684
2015-12-19,3591672
2015-12-20,3591672
2015-12-21,3645856
2015-12-22,3645856
2015-12-23,3697923
2015-12-24,3697923
2015-12-25,3765907
2015-12-26,3765907
2015-12-27,3888906
2015-12-28,3888906
2015-12-29,3973815
2015-12-30,3950317
2015-12-31,3950317
2016-01-01,4076632
2016-01-02,4076632
2016-01-03,4141378
2016-01-04,4141378
2016-01-05,4102607
2016-01-06,4102607
2016-01-07,3926831
2016-01-08,3926831
2016-01-09,3904639
2016-01-10,3904639
2016-01-11,4026491
2016-01-12,4048415
2016-01-13,4048415
2016-01-14,4089734
2016-01-15,4089734
2016-01-16,4186214
2016-01-17,4186214
2016-01-18,4217236
2016-01-19,4217236
2016-01-20,4267629
2016-01-21,4267629
2016-01-22,4312696
2016-01-23,4312696
2016-01-24,4360412
2016-01-25,4391693
2016-01-26,4391693
2016-01-27,4344455
2016-01-28,4344455
2016-01-29,4286948
2016-01-30,4286948
2016-01-31,4261023
2016-02-01,4241201
2016-02-02,4241201
2016-02-03,4188172
2016-02-04,4188172
2016-02-05,4094168
2016-02-06,4011189
2016-02-07,4011189
2016-02-08,3839375
2016-02-09,3839375
2016-02-10,3668104
2016-02-11,3668104
2016-02-12,3626345
2016-02-13,3573975
2016-02-14,3573975
2016-02-15,3606905
2016-02-16,3606905
2016-02-17,3634640
2016-02-18,3634640
2016-02-19,3647160
2016-02-20,3647160
2016-02-21,3671593
2016-02-22,3671593
2016-02-23,3674931
2016-02-24,3674931
2016-02-25,3690473
2016-02-26,3690473
2016-02-27,3671986
2016-02-28,3671986
2016-02-29,3624948
2016-03-01,3624948
2016-03-02,3605340
2016-03-03,3572715
2016-03-04,3572715
2016-03-05,3542166
2016-03-06,3501839
2016-03-07,3501839
2016-03-08,3470471
2016-03-09,3470471
2016-03-10,3404964
2016-03-11,3404964
2016-03-12,3384685
2016-03-13,3384685
2016-03-14,3413934
2016-03-15,3413934
2016-03-16,3408740
2016-03-17,3408740
2016-03-18,3395190
2016-03-19,3395190
2016-03-20,3395853
2016-03-21,3395853
2016-03-22,3388884
2016-03-23,3388884
2016-03-24,3401159
2016-03-25,3451470
2016-03-26,3451470
2016-03-27,3421498
2016-03-28,3405077
2016-03-29,3405077
2016-03-30,3304368
2016-03-31,3304368
2016-04-01,3146890
2016-04-02,3146890
2016-04-03,3105748
2016-04-04,3105748
2016-04-05,3031581
2016-04-06,3031581
2016-04-07,3028336
2016-04-08,3028336
2016-04-09,2965277
2016-04-10,2933272
2016-04-11,2933272
2016-04-12,2993829
2016-04-13,2993829
2016-04-14,2954065
2016-04-15,2954065
2016-04-16,3066949
2016-04-17,3066949
2016-04-18,3111706
2016-04-19,3111706
2016-04-20,3267292
2016-04-21,3267292
2016-04-22,3258544
2016-04-23,3258544
2016-04-24,3134905
2016-04-25,3137944
2016-04-26,3137944
2016-04-27,3108140
2016-04-28,3108140
2016-04-29,3077612
2016-04-30,3065103
2016-05-01,3065103
2016-05-02,3109969
2016-05-03,3196141
2016-05-04,3196141
2016-05-05,3144162
2016-05-06,3144162
2016-05-07,3101602
2016-05-08,3101602
2016-05-09,3073143
2016-05-10,3103714
2016-05-11,3103714
2016-05-12,3150381
2016-05-13,3209728
2016-05-14,3209728
2016-05-15,3303121
2016-05-16,3303121
2016-05-17,3410776
2016-05-18,3365173
2016-05-19,3365173
2016-05-22,3326970
2016-05-23,3490694
2016-05-24,3608483
2016-05-25,3608483
2016-05-26,3535242
2016-05-27,3645505
2016-05-28,3645505
2016-05-29,3754163
2016-05-30,3754163
2016-05-31,3866149
2016-06-01,3924019
2016-06-02,3924019
2016-06-03,3816678
2016-06-04,3683975
2016-06-05,3683975
2016-06-06,3767026
2016-06-07,3767026
2016-06-08,3766577
2016-06-09,3800622
2016-06-10,3875339
2016-06-11,3875339
2016-06-12,3854525
2016-06-13,3854525
2016-06-14,3831042
2016-06-15,3831042
2016-06-16,3838540
2016-06-17,3739197
2016-06-18,3739197
2016-06-19,3719187
2016-06-20,3719187
2016-06-21,3765679
2016-06-22,3765679
2016-06-23,3916139
2016-06-24,3916139
2016-06-25,3792033
2016-06-26,3792033
2016-06-27,3761663
2016-06-28,3761663
2016-06-29,3761236
2016-06-30,3761236
2016-07-01,3791594
2016-07-02,3791594
2016-07-03,3795508
2016-07-04,3792444
2016-07-05,3792444
2016-07-06,3842437
2016-07-07,3842437
2016-07-08,3958887
2016-07-09,4125144
2016-07-10,4099643
2016-07-11,4105872
2016-07-12,4105872
2016-07-13,4049945
2016-07-14,4049945
2016-07-15,3960659
2016-07-16,3960659
2016-07-17,3980377
2016-07-18,3947893
2016-07-23,3929679
