date_obj,Rune%20platebody%20(h2) price
2019-04-11,48000
2019-04-11,50226
2019-04-12,52634
2019-04-13,55030
2019-04-14,57594
2019-04-15,200000
2019-04-16,200000
2019-04-17,200000
2019-04-18,193433
2019-04-19,193433
2019-04-20,189048
2019-04-21,189048
2019-04-22,189048
2019-04-23,181987
2019-04-24,181987
2019-04-25,174558
2019-04-26,174558
2019-04-27,174558
2019-04-28,166729
2019-04-29,166729
2019-04-30,159137
2019-05-01,159137
2019-05-02,159137
2019-05-03,151265
2019-05-04,151265
2019-05-05,144015
2019-05-06,144015
2019-05-07,137707
2019-05-08,137707
2019-05-09,137707
2019-05-10,130821
2019-05-11,130821
2019-05-12,124653
2019-05-13,124653
2019-05-14,119332
2019-05-15,119332
2019-05-16,114037
2019-05-17,114037
2019-05-18,108576
2019-05-19,108576
2019-05-20,104205
2019-05-21,104205
2019-05-22,99830
2019-05-23,99830
2019-05-24,99830
2019-05-25,95534
2019-05-26,95534
2019-05-27,90757
2019-05-28,90757
2019-05-29,86519
2019-05-30,86519
2019-05-31,82736
2019-06-01,82736
2019-06-02,78599
2019-06-03,78599
2019-06-04,74669
2019-06-05,74669
2019-06-06,71199
2019-06-07,71199
2019-06-08,68206
2019-06-09,68206
2019-06-10,68206
2019-06-11,64795
2019-06-12,64795
2019-06-13,64795
2019-06-14,61555
2019-06-15,61555
2019-06-16,58845
2019-06-17,58845
2019-06-18,56379
2019-06-19,56379
2019-06-20,53560
2019-06-21,53560
2019-06-22,53560
2019-06-23,51006
2019-06-24,51006
2019-06-25,51006
2019-06-26,49094
2019-06-27,49094
2019-06-28,47452
2019-06-29,47452
2019-06-30,45279
2019-07-01,45279
2019-07-02,45379
2019-07-03,45379
2019-07-04,45379
2019-07-05,44211
2019-07-06,44211
2019-07-07,44211
2019-07-08,42490
2019-07-09,42490
2019-07-10,42490
2019-07-11,41900
2019-07-12,41900
2019-07-13,41900
2019-07-14,40249
2019-07-15,40249
2019-07-16,40249
2019-07-17,38813
2019-07-18,38813
2019-07-19,38813
2019-07-20,38813
2019-07-21,39719
2019-07-22,39719
2019-07-23,39719
2019-07-24,41059
2019-07-25,41059
2019-07-26,41059
2019-07-27,40533
2019-07-28,40533
2019-07-29,40533
2019-07-30,40533
2019-07-31,38918
2019-08-01,38918
2019-08-02,38918
2019-08-03,38761
2019-08-04,38761
2019-08-05,38761
