date_obj,Fire%20orb price
2015-03-26,1425
2015-03-27,1425
2015-03-28,1472
2015-03-29,1472
2015-03-30,1469
2015-03-31,1469
2015-04-01,1503
2015-04-02,1503
2015-04-03,1501
2015-04-04,1501
2015-04-05,1510
2015-04-06,1510
2015-04-07,1498
2015-04-08,1498
2015-04-09,1498
2015-04-10,1550
2015-04-11,1550
2015-04-12,1486
2015-04-13,1486
2015-04-14,1473
2015-04-15,1473
2015-04-16,1489
2015-04-17,1489
2015-04-18,1550
2015-04-19,1550
2015-04-20,1550
2015-04-21,1600
2015-04-22,1600
2015-04-23,1614
2015-04-24,1614
2015-04-25,1614
2015-04-26,1667
2015-04-27,1667
2015-04-28,1688
2015-04-29,1688
2015-04-30,1688
2015-05-01,1697
2015-05-02,1697
2015-05-03,1697
2015-05-04,1723
2015-05-05,1723
2015-05-06,1684
2015-05-07,1684
2015-05-08,1600
2015-05-09,1600
2015-05-10,1543
2015-05-11,1543
2015-05-12,1484
2015-05-13,1484
2015-05-14,1540
2015-05-15,1540
2015-05-16,1540
2015-05-17,1585
2015-05-18,1585
2015-05-19,1541
2015-05-20,1541
2015-05-21,1541
2015-05-22,1488
2015-05-23,1488
2015-05-24,1477
2015-05-25,1477
2015-05-26,1403
2015-05-27,1403
2015-05-28,1369
2015-05-29,1369
2015-05-30,1353
2015-05-31,1353
2015-06-01,1380
2015-06-02,1380
2015-06-03,1440
2015-06-04,1440
2015-06-05,1440
2015-06-06,1440
2015-06-07,1458
2015-06-08,1458
2015-06-09,1531
2015-06-10,1531
2015-06-11,1599
2015-06-12,1599
2015-06-13,1659
2015-06-14,1659
2015-06-15,1722
2015-06-16,1722
2015-06-17,1753
2015-06-18,1753
2015-06-19,1786
2015-06-20,1786
2015-06-21,1786
2015-06-22,1786
2015-06-23,1739
2015-06-24,1739
2015-06-25,1721
2015-06-26,1694
2015-06-27,1694
2015-06-28,1680
2015-06-29,1680
2015-06-30,1709
2015-07-01,1709
2015-07-02,1731
2015-07-03,1674
2015-07-04,1674
2015-07-05,1665
