date_obj,Raw%20slimy%20eel price
2015-03-04,47000
2015-03-05,47000
2015-03-06,47000
2015-03-07,47000
2015-03-08,47000
2015-03-09,47000
2015-03-10,47000
2015-03-11,47000
2015-03-12,47000
2015-03-13,44717
2015-03-14,44717
2015-03-15,44717
2015-03-16,44717
2015-03-17,44717
2015-03-18,44717
2015-03-19,44717
2015-03-20,44717
2015-03-21,44717
2015-03-22,44717
2015-03-23,44717
2015-03-24,44717
2015-03-25,44717
2015-03-26,44717
2015-03-27,44717
2015-03-28,42574
2015-03-29,42574
2015-03-30,42574
2015-03-31,42574
2015-04-01,42574
2015-04-02,42574
2015-04-03,42574
2015-04-04,42574
2015-04-05,42574
2015-04-06,42574
2015-04-07,42574
2015-04-08,42574
2015-04-09,42574
2015-04-10,42574
2015-04-11,42574
2015-04-12,40498
2015-04-13,40498
2015-04-14,40498
2015-04-15,40498
2015-04-16,40498
2015-04-17,40498
2015-04-18,40498
2015-04-19,40498
2015-04-20,40498
2015-04-21,40498
2015-04-22,40498
2015-04-23,40498
2015-04-24,40498
2015-04-25,40498
2015-04-26,40498
2015-04-27,40498
2015-04-28,38740
2015-04-29,38740
2015-04-30,38740
2015-05-01,38740
2015-05-02,38740
2015-05-03,38740
2015-05-04,38740
2015-05-05,38740
2015-05-06,38740
2015-05-07,900
2015-05-08,900
2015-05-09,900
2015-05-10,900
2015-05-11,900
2015-05-12,900
2015-05-13,900
2015-05-14,900
2015-05-15,900
2015-05-16,900
2015-05-17,900
2015-05-18,900
2015-05-19,900
2015-05-20,900
2015-05-21,900
2015-05-22,900
2015-05-23,900
2015-05-24,900
2015-05-25,888
2015-05-26,888
2015-05-27,888
2015-05-28,888
2015-05-29,888
2015-05-30,888
2015-05-31,888
2015-06-01,888
2015-06-02,888
2015-06-03,888
2015-06-04,888
2015-06-05,888
2015-06-06,888
2015-06-07,904
2015-06-08,904
2015-06-09,904
2015-06-10,904
2015-06-11,904
2015-06-12,904
2015-06-13,904
2015-06-14,904
2015-06-15,904
2015-06-16,904
2015-06-17,904
2015-06-18,904
2015-06-19,904
2015-06-20,904
2015-06-21,904
2015-06-22,908
2015-06-23,908
2015-06-24,908
2015-06-25,908
2015-06-26,908
2015-06-27,908
2015-06-28,908
2015-06-29,908
2015-06-30,908
2015-07-01,908
2015-07-02,908
2015-07-03,908
2015-07-04,908
2015-07-05,908
2015-07-06,908
2015-07-07,883
2015-07-08,883
2015-07-09,883
2015-07-10,883
2015-07-11,883
2015-07-12,883
2015-07-13,883
2015-07-14,883
2015-07-15,883
2015-07-16,883
2015-07-17,883
2015-07-18,883
2015-07-19,883
2015-07-20,883
2015-07-21,883
2015-07-22,866
2015-07-23,866
2015-07-24,866
2015-07-25,866
2015-07-26,866
2015-07-27,866
2015-07-28,866
2015-07-29,866
2015-07-30,866
2015-07-31,866
2015-08-01,866
2015-08-02,866
2015-08-03,866
2015-08-04,866
2015-08-05,836
2015-08-06,836
2015-08-07,836
2015-08-08,836
2015-08-09,836
2015-08-10,836
2015-08-11,836
2015-08-12,836
2015-08-13,836
2015-08-14,836
2015-08-15,836
2015-08-16,836
2015-08-17,836
2015-08-18,836
2015-08-19,836
2015-08-20,850
2015-08-21,850
2015-08-22,850
2015-08-23,850
2015-08-24,850
2015-08-25,850
2015-08-26,850
2015-08-27,850
2015-08-28,850
2015-08-29,850
2015-08-30,850
2015-08-31,850
2015-09-02,850
2015-09-07,832
2015-09-08,832
2015-09-10,832
2015-09-14,832
2015-09-16,832
2015-09-22,842
2015-09-23,842
2015-09-24,842
2015-09-25,842
2015-09-27,842
2015-09-28,842
2015-09-29,842
2015-09-30,842
2015-10-05,842
2015-10-06,842
2015-10-07,842
2015-10-08,842
2015-10-09,842
2015-10-10,842
2015-10-11,857
2015-10-12,857
2015-10-13,857
2015-10-14,857
2015-10-15,857
2015-10-16,857
2015-10-17,857
2015-10-18,857
2015-10-19,857
2015-10-20,857
2015-10-22,857
2015-10-23,857
2015-10-24,857
2015-10-25,857
2015-10-26,857
2015-10-27,857
2015-10-29,857
2015-10-30,873
2015-10-31,873
2015-11-01,873
2015-11-02,873
2015-11-03,873
2015-11-04,873
2015-11-05,873
2015-11-06,873
2015-11-07,873
2015-11-08,873
2015-11-09,873
2015-11-10,873
2015-11-11,873
2015-11-12,873
2015-11-13,873
2015-11-14,873
2015-11-15,873
2015-11-16,873
2015-11-17,873
2015-11-18,873
2015-11-19,885
2015-11-20,885
2015-11-21,885
2015-11-22,885
2015-11-23,885
2015-11-24,885
2015-11-25,885
2015-11-26,885
2015-11-27,885
2015-11-28,885
2015-11-29,885
2015-11-30,885
2015-12-01,885
2015-12-02,885
2015-12-03,885
2015-12-04,885
2015-12-05,885
2015-12-06,885
2015-12-07,891
2015-12-08,891
2015-12-09,891
2015-12-10,891
2015-12-11,891
2015-12-12,891
2015-12-13,891
2015-12-14,891
2015-12-15,891
2015-12-16,891
2015-12-17,891
2015-12-18,891
2015-12-19,891
2015-12-20,891
