date_obj,Climbing%20boots%20(g) price
2019-04-11,120000
2019-04-11,126000
2019-04-12,132300
2019-04-13,138915
2019-04-14,145861
2019-04-15,450000
2019-04-16,427744
2019-04-17,412662
2019-04-18,397069
2019-04-19,386101
2019-04-20,382228
2019-04-21,372086
2019-04-22,358175
2019-04-23,340734
2019-04-24,323697
2019-04-25,307512
2019-04-26,294576
2019-04-27,280114
2019-04-28,266491
2019-04-29,253166
2019-04-30,240507
2019-05-01,228481
2019-05-02,217056
2019-05-03,206605
2019-05-04,198330
2019-05-05,191224
2019-05-06,185149
2019-05-07,176492
2019-05-08,170205
2019-05-09,165029
2019-05-10,162471
2019-05-11,161620
2019-05-12,160185
2019-05-13,154155
2019-05-14,148398
2019-05-15,144291
2019-05-16,140748
2019-05-17,140112
2019-05-18,138726
2019-05-19,136533
2019-05-20,136475
2019-05-21,136977
2019-05-22,139679
2019-05-23,142599
2019-05-24,144551
2019-05-25,141807
2019-05-26,138721
2019-05-27,134427
2019-05-28,129730
2019-05-29,127283
2019-05-30,127228
2019-05-31,127813
2019-06-01,127660
2019-06-02,131746
2019-06-03,137926
2019-06-04,143815
2019-06-05,150828
2019-06-06,156014
2019-06-07,158260
2019-06-08,156308
2019-06-09,157237
2019-06-10,158305
2019-06-11,160206
2019-06-12,168217
2019-06-13,173194
2019-06-14,173675
2019-06-15,170825
2019-06-16,168624
2019-06-17,161734
2019-06-18,154425
2019-06-19,147009
2019-06-20,140130
2019-06-21,133351
2019-06-22,128244
2019-06-23,122283
2019-06-24,118434
2019-06-25,116353
2019-06-26,116635
2019-06-27,116981
2019-06-28,117007
2019-06-29,115573
2019-06-30,112568
2019-07-01,111480
2019-07-02,111690
2019-07-03,109827
2019-07-04,108203
2019-07-05,104849
2019-07-06,100490
2019-07-07,96988
2019-07-08,94433
2019-07-09,91965
2019-07-10,88133
2019-07-11,84091
2019-07-12,83418
2019-07-13,79878
2019-07-14,78776
2019-07-15,82510
2019-07-16,86520
2019-07-17,88901
2019-07-18,92117
2019-07-19,95685
2019-07-20,98628
2019-07-21,99024
2019-07-22,100680
2019-07-23,101204
2019-07-24,100665
2019-07-25,99225
2019-07-26,99635
2019-07-27,98244
2019-07-28,98925
2019-07-29,97956
2019-07-30,96413
2019-07-31,93569
2019-08-01,92040
2019-08-02,90227
2019-08-03,90498
2019-08-04,91802
2019-08-05,93339
2019-08-06,93660
2019-08-07,92645
2019-08-08,90446
2019-08-09,87377
2019-08-10,87414
2019-08-11,85975
2019-08-12,88713
2019-08-13,92078
2019-08-14,96526
2019-08-15,101174
2019-08-16,106122
2019-08-17,111127
2019-08-18,116663
2019-08-19,122497
2019-08-20,128622
2019-08-21,135054
2019-08-22,141781
2019-08-23,148871
2019-08-24,156315
2019-08-24,156315
2019-08-25,164131
2019-08-25,164131
2019-08-26,172338
2019-08-26,172338
2019-08-27,180955
2019-08-27,180955
2019-08-28,190003
2019-08-29,199504
2019-08-30,209345
2019-08-31,219813
2019-09-01,230478
2019-09-02,240404
2019-09-03,245259
2019-09-04,233068
2019-09-05,221414
2019-09-06,210343
2019-09-07,199825
2019-09-08,189833
2019-09-09,180341
2019-09-10,171323
2019-09-11,162756
2019-09-12,154618
2019-09-13,146887
2019-09-14,139542
2019-09-15,132564
2019-09-16,125952
2019-09-17,119692
2019-09-18,113827
2019-09-19,108584
2019-09-20,103154
2019-09-21,98117
2019-09-22,94243
2019-09-23,91893
2019-09-24,90899
2019-09-25,90723
2019-09-26,92462
2019-09-27,94816
2019-09-28,97401
2019-09-29,99341
2019-09-30,100025
