date_obj,Armadyl%20stole price
2015-03-26,33536
2015-03-27,33536
2015-03-28,31859
2015-03-29,30382
2015-03-30,29034
2015-03-31,28238
2015-04-01,28238
2015-04-02,27435
2015-04-03,27435
2015-04-04,26863
2015-04-05,26863
2015-04-06,25807
2015-04-07,25146
2015-04-08,25146
2015-04-09,24853
2015-04-10,23982
2015-04-11,23685
2015-04-12,23685
2015-04-13,23071
2015-04-14,23071
2015-04-15,22130
2015-04-16,22130
2015-04-17,21023
2015-04-18,19994
2015-04-19,18994
2015-04-20,18994
2015-04-21,18317
2015-04-22,18317
2015-04-23,17963
2015-04-24,17963
2015-04-25,17728
2015-04-26,17728
2015-04-27,17161
2015-04-28,16991
2015-04-29,16991
2015-04-30,16517
2015-05-01,16459
2015-05-02,16454
2015-05-03,16454
2015-05-04,16428
2015-05-05,15820
2015-05-06,15755
2015-05-07,15485
2015-05-08,15290
2015-05-09,15167
2015-05-10,14861
2015-05-11,14861
2015-05-12,14871
2015-05-13,14778
2015-05-14,14339
2015-05-15,14353
2015-05-16,14353
2015-05-17,14136
2015-05-18,13772
2015-05-19,13776
2015-05-20,13776
2015-05-21,13379
2015-05-22,12867
2015-05-23,12867
2015-05-24,12591
2015-05-25,12275
2015-05-26,12129
2015-05-27,12129
2015-05-28,11933
2015-05-29,11987
2015-05-30,12055
2015-05-31,12055
2015-06-01,12048
2015-06-02,12048
2015-06-03,11784
2015-06-04,11683
2015-06-05,11537
2015-06-06,11461
2015-06-07,11006
2015-06-08,11006
2015-06-09,10783
2015-06-10,10771
2015-06-11,10771
2015-06-12,10508
2015-06-13,10328
2015-06-14,10328
2015-06-15,10189
2015-06-16,10240
2015-06-17,10240
2015-06-18,10003
2015-06-19,10003
2015-06-20,10003
2015-06-21,10003
2015-06-22,10025
2015-06-23,10025
2015-06-24,10119
2015-06-25,10119
2015-06-26,10513
2015-06-27,10513
2015-06-28,10868
2015-06-29,10868
2015-06-30,11174
2015-07-01,11333
2015-07-02,11333
2015-07-03,11245
2015-07-04,11245
2015-07-05,11400
2015-07-06,11400
2015-07-07,11709
2015-07-08,11843
2015-07-09,11843
2015-07-10,12077
2015-07-11,12077
2015-07-12,12075
2015-07-13,12252
2015-07-14,12332
2015-07-15,12567
2015-07-16,12567
2015-07-17,12750
2015-07-18,12750
2015-07-19,12932
2015-07-20,12932
2015-07-21,13218
2015-07-22,13481
2015-07-23,13481
2015-07-24,13553
2015-07-25,13553
2015-07-26,13404
2015-07-27,13404
2015-07-28,13902
2015-07-29,13390
2015-07-30,13390
2015-07-31,13256
2015-08-01,13256
2015-08-02,13314
2015-08-03,13314
2015-08-04,13133
2015-08-05,12902
2015-08-06,12902
2015-08-07,12695
2015-08-08,12606
2015-08-09,12606
2015-08-10,12557
2015-08-11,12710
2015-08-12,12710
2015-08-13,12653
2015-08-14,12638
2015-08-15,12638
2015-08-16,12930
2015-08-17,12993
2015-08-18,12993
2015-08-19,13034
2015-08-20,13034
2015-08-21,13088
2015-08-22,13226
2015-08-23,13226
2015-08-24,13527
2015-08-25,13527
2015-08-26,14124
2015-08-27,14023
2015-08-28,14023
2015-08-29,14684
2015-08-30,14684
2015-08-31,15264
2015-09-01,15264
2015-09-02,15942
2015-09-03,15942
2015-09-04,16266
2015-09-05,16266
2015-09-06,17011
2015-09-07,17011
2015-09-08,17852
2015-09-09,17852
2015-09-10,18336
2015-09-11,18336
2015-09-12,18694
2015-09-13,18950
2015-09-14,18950
2015-09-15,19084
2015-09-16,19084
2015-09-17,19291
2015-09-18,19291
2015-09-19,19647
2015-09-20,19647
2015-09-21,19386
2015-09-22,19386
2015-09-23,19031
2015-09-24,19031
2015-09-25,18874
2015-09-27,18627
2015-09-28,18627
2015-09-29,18311
2015-09-30,17797
2015-10-05,16962
2015-10-06,16528
2015-10-07,16528
2015-10-08,16307
2015-10-09,16307
2015-10-10,16264
2015-10-11,16264
2015-10-12,16024
2015-10-13,16024
2015-10-14,16024
2015-10-15,15834
2015-10-16,15834
2015-10-17,15665
2015-10-18,15665
2015-10-19,15092
2015-10-20,15092
2015-10-22,14492
2015-10-23,14164
2015-10-24,14164
2015-10-25,13798
2015-10-26,13798
2015-10-27,13633
2015-10-28,13633
2015-10-29,13584
2015-10-30,13584
2015-10-31,13552
2015-11-01,13552
2015-11-02,13539
2015-11-03,13539
2015-11-04,13417
2015-11-05,13417
2015-11-06,12883
2015-11-07,13008
2015-11-08,13008
2015-11-09,13008
2015-11-10,13542
2015-11-11,13542
2015-11-12,13862
2015-11-13,13862
2015-11-14,13862
2015-11-15,13914
2015-11-16,13914
2015-11-17,14190
2015-11-18,14190
2015-11-19,14145
2015-11-20,14145
2015-11-21,14326
2015-11-22,14429
2015-11-23,14429
2015-11-24,14429
2015-11-25,14229
2015-11-26,14229
2015-11-27,14551
2015-11-28,14551
2015-11-29,14501
2015-11-30,14501
2015-12-01,14499
2015-12-02,14499
2015-12-03,14589
2015-12-04,14589
2015-12-05,14589
2015-12-06,14589
2015-12-07,14589
2015-12-08,14508
2015-12-09,14897
2015-12-10,14897
2015-12-11,15048
2015-12-12,15048
2015-12-13,15026
2015-12-14,15026
2015-12-15,15695
2015-12-16,15695
2015-12-17,15653
2015-12-18,15653
2015-12-19,15628
2015-12-20,15287
2015-12-21,15287
2015-12-22,15021
2015-12-23,14928
2015-12-24,14928
2015-12-25,15081
2015-12-26,15081
2015-12-27,14977
2015-12-28,14977
2015-12-29,15083
2015-12-30,15083
2015-12-31,15709
2016-01-01,15709
2016-01-02,15703
2016-01-03,15341
2016-01-04,15040
2016-01-05,15040
2016-01-06,14691
2016-01-07,14691
2016-01-08,14508
2016-01-09,14508
2016-01-10,14569
2016-01-11,14569
2016-01-12,14260
2016-01-13,14260
2016-01-14,14027
2016-01-15,14182
2016-01-16,14628
2016-01-17,14733
2016-01-18,14827
2016-01-19,14827
2016-01-20,14912
2016-01-21,14912
2016-01-22,14624
2016-01-23,14624
2016-01-24,14388
2016-01-25,14215
2016-01-26,14215
2016-01-27,13940
2016-01-28,13940
2016-01-29,13826
2016-01-30,13826
2016-01-31,13652
2016-02-01,13420
2016-02-02,13420
2016-02-03,13135
2016-02-04,13135
2016-02-05,12927
2016-02-06,12863
2016-02-07,12863
2016-02-08,12532
2016-02-09,12532
2016-02-10,12225
2016-02-11,12225
2016-02-12,12100
2016-02-13,12026
2016-02-14,12026
2016-02-15,11906
2016-02-16,11906
2016-02-17,11807
2016-02-18,11807
2016-02-19,11698
2016-02-20,12049
2016-02-21,12528
2016-02-22,12528
2016-02-23,13019
2016-02-24,13414
2016-02-25,13561
2016-02-26,13561
2016-02-27,13562
2016-02-28,13562
2016-02-29,13440
2016-03-01,13347
2016-03-02,13347
2016-03-03,13506
2016-03-04,13506
2016-03-05,13697
2016-03-06,13920
2016-03-07,13920
2016-03-08,14069
2016-03-09,14239
2016-03-10,14380
2016-03-11,14380
2016-03-12,14665
2016-03-13,14665
2016-03-14,14601
2016-03-15,14711
2016-03-16,14718
2016-03-17,14718
2016-03-18,14262
2016-03-19,13807
2016-03-20,13379
2016-03-21,13379
2016-03-22,13033
2016-03-23,13033
2016-03-24,12802
2016-03-25,12499
2016-03-26,12045
2016-03-27,12045
2016-03-28,11522
2016-03-29,11522
2016-03-30,11587
2016-03-31,11587
2016-04-01,11471
2016-04-02,11471
2016-04-03,11206
2016-04-04,10645
2016-04-05,10645
2016-04-06,10429
2016-04-07,10429
2016-04-08,10147
2016-04-09,9846
2016-04-10,9551
2016-04-11,9551
2016-04-12,9257
2016-04-13,9257
2016-04-14,8951
2016-04-15,8733
2016-04-16,8562
2016-04-17,8470
2016-04-18,8310
2016-04-19,8310
2016-04-20,8338
2016-04-21,8338
2016-04-22,8265
2016-04-23,8169
2016-04-24,8003
2016-04-25,7906
2016-04-26,7773
2016-04-27,7779
2016-04-28,7690
2016-04-29,7690
2016-04-30,7673
2016-05-01,7673
2016-05-02,7632
2016-05-03,7662
2016-05-04,7662
2016-05-05,7643
2016-05-06,7643
2016-05-07,7563
2016-05-08,7563
2016-05-09,7483
2016-05-10,7401
2016-05-11,7401
2016-05-12,7444
2016-05-13,7499
2016-05-14,7618
2016-05-15,7808
2016-05-16,7808
2016-05-17,8084
2016-05-18,8287
2016-05-19,8287
2016-05-22,8816
2016-05-23,8910
2016-05-24,9056
2016-05-25,9056
2016-05-26,8987
2016-05-27,8832
2016-05-28,8832
2016-05-29,8580
2016-05-30,8580
2016-05-31,8516
2016-06-01,8484
2016-06-02,8719
2016-06-03,8719
2016-06-04,8867
2016-06-05,8867
2016-06-06,8742
2016-06-07,8742
2016-06-08,8712
2016-06-09,8937
2016-06-10,9062
2016-06-11,9062
2016-06-12,9397
2016-06-13,9397
2016-06-14,9723
2016-06-15,9723
2016-06-16,10065
2016-06-17,10007
2016-06-18,10007
2016-06-19,9762
2016-06-20,9762
2016-06-21,9442
