date_obj,Black%20salamander price
2015-03-26,11439
2015-03-27,11439
2015-03-28,10867
2015-03-29,10867
2015-03-30,10347
2015-03-31,10347
2015-04-01,9850
2015-04-02,9850
2015-04-03,9375
2015-04-04,9375
2015-04-05,8919
2015-04-06,8919
2015-04-07,8487
2015-04-08,8487
2015-04-09,8487
2015-04-10,8078
2015-04-11,8078
2015-04-12,7686
2015-04-13,7686
2015-04-14,7306
2015-04-15,7306
2015-04-16,6952
2015-04-17,6952
2015-04-18,6619
2015-04-19,6619
2015-04-20,6619
2015-04-21,6304
2015-04-22,6304
2015-04-23,6006
2015-04-24,6006
2015-04-25,5707
2015-04-26,5707
2015-04-27,5426
2015-04-28,5426
2015-04-29,5426
2015-04-30,5154
2015-05-01,4903
2015-05-02,4670
2015-05-03,4670
2015-05-04,4436
2015-05-05,4436
2015-05-06,4214
2015-05-07,4214
2015-05-08,4003
2015-05-09,4003
2015-05-10,3802
2015-05-11,3802
2015-05-12,3611
2015-05-13,3611
2015-05-14,3430
2015-05-15,3430
2015-05-16,3259
2015-05-17,3096
2015-05-18,3096
2015-05-19,2941
2015-05-20,2941
2015-05-21,2941
2015-05-22,2793
2015-05-23,2793
2015-05-24,2653
2015-05-25,2653
2015-05-26,2520
2015-05-27,2520
2015-05-28,2394
2015-05-29,2278
2015-05-30,2164
2015-05-31,2164
2015-06-01,2055
2015-06-02,2055
2015-06-03,1957
2015-06-04,1957
2015-06-05,1865
2015-06-06,1865
2015-06-07,1773
2015-06-08,1773
2015-06-09,1687
2015-06-10,1687
2015-06-11,1603
2015-06-12,1603
2015-06-13,1527
2015-06-14,1527
2015-06-15,1455
2015-06-16,1455
2015-06-17,1384
2015-06-18,1384
2015-06-19,1314
2015-06-20,1314
2015-06-21,1248
2015-06-22,1248
2015-06-23,1189
2015-06-24,1189
2015-06-25,1132
2015-06-26,1132
2015-06-27,1075
2015-06-28,1075
2015-06-29,1021
2015-06-30,1021
2015-07-01,969
2015-07-02,969
2015-07-03,969
2015-07-04,920
2015-07-05,920
2015-07-06,920
2015-07-07,874
2015-07-08,874
2015-07-09,874
2015-07-10,830
2015-07-11,830
2015-07-12,830
2015-07-13,788
2015-07-14,788
2015-07-15,749
2015-07-16,749
2015-07-17,711
2015-07-18,711
2015-07-19,711
2015-07-20,675
2015-07-21,675
2015-07-22,643
2015-07-23,643
2015-07-24,613
2015-07-25,613
2015-07-26,613
2015-07-27,582
2015-07-28,582
2015-07-29,552
2015-07-30,552
2015-07-31,552
2015-08-01,527
2015-08-02,527
2015-08-03,503
2015-08-04,503
2015-08-05,479
2015-08-06,479
2015-08-07,456
2015-08-08,456
2015-08-09,434
2015-08-10,434
2015-08-11,413
2015-08-12,413
2015-08-13,413
2015-08-14,392
2015-08-15,392
2015-08-16,373
2015-08-17,373
2015-08-18,357
2015-08-19,357
2015-08-20,341
2015-08-21,341
2015-08-22,323
2015-08-23,323
2015-08-24,325
2015-08-25,325
2015-08-26,325
2015-08-27,325
2015-08-28,325
2015-08-29,325
2015-08-30,318
2015-08-31,318
2015-09-01,320
2015-09-02,320
2015-09-03,320
2015-09-04,309
2015-09-05,309
2015-09-06,309
2015-09-07,295
2015-09-08,295
2015-09-09,295
2015-09-10,295
2015-09-11,295
2015-09-12,281
2015-09-13,281
2015-09-14,281
2015-09-15,266
2015-09-16,266
2015-09-17,266
2015-09-18,252
2015-09-19,252
2015-09-20,252
2015-09-21,250
2015-09-22,250
2015-09-23,250
2015-09-24,242
2015-09-25,242
2015-09-27,230
2015-09-28,230
2015-09-29,230
2015-09-30,222
2015-10-05,211
2015-10-06,212
2015-10-07,212
2015-10-08,212
2015-10-09,206
2015-10-10,206
2015-10-11,203
2015-10-12,203
2015-10-13,203
2015-10-14,210
2015-10-15,210
2015-10-16,213
2015-10-17,213
2015-10-18,213
2015-10-19,202
2015-10-20,202
2015-10-22,198
2015-10-23,198
2015-10-24,198
2015-10-25,194
2015-10-26,194
2015-10-27,194
2015-10-29,189
2015-10-30,189
2015-10-31,189
2015-11-01,189
2015-11-02,189
2015-11-03,182
2015-11-04,182
2015-11-05,182
2015-11-06,172
2015-11-07,172
2015-11-08,172
2015-11-09,175
2015-11-10,175
2015-11-11,175
2015-11-12,171
2015-11-13,171
2015-11-14,171
2015-11-15,169
2015-11-16,169
2015-11-17,169
2015-11-18,169
2015-11-19,162
2015-11-20,162
2015-11-21,162
2015-11-22,157
2015-11-23,157
2015-11-24,157
2015-11-25,153
2015-11-26,153
2015-11-27,153
2015-11-28,147
2015-11-29,147
2015-11-30,143
2015-12-01,143
2015-12-02,143
2015-12-03,137
2015-12-04,137
2015-12-05,137
2015-12-06,130
2015-12-07,130
2015-12-08,130
2015-12-09,126
2015-12-10,126
2015-12-11,126
2015-12-12,131
2015-12-13,131
2015-12-14,131
2015-12-15,138
2015-12-16,138
2015-12-17,138
2015-12-18,137
2015-12-19,137
2015-12-20,137
2015-12-21,135
2015-12-22,135
2015-12-23,134
2015-12-24,134
2015-12-25,134
2015-12-26,131
2015-12-27,131
2015-12-28,126
