date_obj,Adamant%20battleaxe price
2015-03-26,2251
2015-03-27,2251
2015-03-28,2244
2015-03-29,2235
2015-03-30,2256
2015-03-31,2256
2015-04-01,2285
2015-04-02,2285
2015-04-03,2240
2015-04-04,2232
2015-04-05,2232
2015-04-06,2204
2015-04-07,2226
2015-04-08,2226
2015-04-09,2231
2015-04-10,2234
2015-04-11,2238
2015-04-12,2238
2015-04-13,2241
2015-04-14,2241
2015-04-15,2243
2015-04-16,2243
2015-04-17,2252
2015-04-18,2260
2015-04-19,2283
2015-04-20,2283
2015-04-21,2252
2015-04-22,2252
2015-04-23,2244
2015-04-24,2244
2015-04-25,2239
2015-04-26,2239
2015-04-27,2246
2015-04-28,2248
2015-04-29,2248
2015-04-30,2269
2015-05-01,2221
2015-05-02,2226
2015-05-03,2226
2015-05-04,2228
2015-05-05,2228
2015-05-06,2233
2015-05-07,2244
2015-05-08,2244
2015-05-09,2254
2015-05-10,2254
2015-05-11,2254
2015-05-12,2233
2015-05-13,2233
2015-05-14,2231
2015-05-15,2231
2015-05-16,2235
2015-05-17,2222
2015-05-18,2223
2015-05-19,2223
2015-05-20,2231
2015-05-21,2231
2015-05-22,2267
2015-05-23,2267
2015-05-24,2286
2015-05-25,2237
2015-05-26,2237
2015-05-27,2242
2015-05-28,2255
2015-05-29,2258
2015-05-30,2239
2015-05-31,2246
2015-06-01,2258
2015-06-02,2258
2015-06-03,2272
2015-06-04,2265
2015-06-05,2295
2015-06-06,2314
2015-06-07,2351
2015-06-08,2313
2015-06-09,2289
2015-06-10,2273
2015-06-11,2273
2015-06-12,2276
2015-06-13,2278
2015-06-14,2277
2015-06-15,2259
2015-06-16,2261
2015-06-17,2266
2015-06-18,2289
2015-06-19,2299
2015-06-20,2314
2015-06-21,2287
2015-06-22,2290
2015-06-23,2231
2015-06-24,2265
2015-06-25,2265
2015-06-26,2275
2015-06-27,2275
2015-06-28,2282
2015-06-29,2275
2015-06-30,2268
2015-07-01,2280
2015-07-02,2280
2015-07-03,2290
2015-07-04,2288
2015-07-05,2274
2015-07-06,2280
2015-07-07,2269
2015-07-08,2230
2015-07-09,2230
2015-07-10,2238
2015-07-11,2238
2015-07-12,2252
2015-07-13,2257
2015-07-14,2262
2015-07-15,2245
2015-07-16,2220
2015-07-17,2254
2015-07-18,2254
2015-07-19,2267
2015-07-20,2284
2015-07-21,2263
2015-07-22,2249
2015-07-23,2249
2015-07-24,2255
2015-07-25,2255
2015-07-26,2227
2015-07-27,2260
2015-07-28,2273
2015-07-29,2276
2015-07-30,2271
2015-07-31,2271
2015-08-01,2287
2015-08-02,2276
2015-08-03,2260
2015-08-04,2240
2015-08-05,2233
2015-08-06,2287
2015-08-07,2344
2015-08-08,2288
2015-08-09,2310
2015-08-10,2308
2015-08-11,2285
2015-08-12,2285
2015-08-13,2292
2015-08-14,2267
2015-08-15,2267
2015-08-16,2251
2015-08-17,2265
2015-08-18,2240
2015-08-19,2238
2015-08-20,2251
2015-08-21,2261
