date_obj,Bagged%20roses price
2015-03-05,16000
2015-03-06,16000
2015-03-07,16000
2015-03-08,16000
2015-03-09,16000
2015-03-10,16000
2015-03-11,16000
2015-03-12,16000
2015-03-13,16000
2015-03-14,16000
2015-03-15,16000
2015-03-16,16000
2015-03-17,16000
2015-03-18,16000
2015-03-19,16000
2015-03-20,16000
2015-03-21,16000
2015-03-22,16000
2015-03-23,16000
2015-03-24,16000
2015-03-25,16000
2015-03-26,16000
2015-03-27,16000
2015-03-28,16000
2015-03-29,16000
2015-03-30,16000
2015-03-31,16000
2015-04-01,16000
2015-04-02,16000
2015-04-03,16000
2015-04-04,16000
2015-04-05,16000
2015-04-06,16000
2015-04-07,16000
2015-04-08,16000
2015-04-09,16000
2015-04-10,16000
2015-04-11,16000
2015-04-12,16000
2015-04-13,16000
2015-04-14,16000
2015-04-15,16000
2015-04-16,16000
2015-04-17,16000
2015-04-18,16000
2015-04-19,16000
2015-04-20,16000
2015-04-21,16000
2015-04-22,16000
2015-04-23,16000
2015-04-24,16000
2015-04-25,16000
2015-04-26,16000
2015-04-27,16000
2015-04-28,16000
2015-04-29,16000
2015-04-30,16000
2015-05-01,16000
2015-05-02,16000
2015-05-03,16000
2015-05-04,16000
2015-05-05,16000
2015-05-06,16000
2015-05-07,16000
2015-05-08,16000
2015-05-09,16000
2015-05-10,16000
2015-05-11,16000
2015-05-12,16000
2015-05-13,16000
2015-05-14,16000
2015-05-15,16000
2015-05-16,16000
2015-05-17,16000
2015-05-18,16000
2015-05-19,16000
2015-05-20,16000
2015-05-21,16000
2015-05-22,16000
2015-05-23,16000
2015-05-24,16000
2015-05-25,16000
2015-05-26,16000
2015-05-27,16000
2015-05-28,16000
2015-05-29,16000
2015-05-30,16000
2015-05-31,16000
2015-06-01,16000
2015-06-02,16000
2015-06-03,16000
2015-06-04,16000
2015-06-05,16000
2015-06-06,16000
2015-06-07,16000
2015-06-08,16000
2015-06-09,16000
2015-06-10,16000
2015-06-11,16000
2015-06-12,16000
2015-06-13,16000
2015-06-14,16000
2015-06-15,16000
2015-06-16,16000
2015-06-17,16000
2015-06-18,16000
2015-06-19,16000
2015-06-20,16000
2015-06-21,16000
2015-06-22,16000
2015-06-23,16000
2015-06-24,16000
2015-06-25,16000
2015-06-26,16000
2015-06-27,16000
2015-06-28,16000
2015-06-29,16000
2015-06-30,16000
2015-07-01,16000
2015-07-02,16000
2015-07-03,16000
2015-07-04,16000
2015-07-05,16000
2015-07-06,16000
2015-07-07,16000
2015-07-08,16000
2015-07-09,16000
2015-07-10,16000
2015-07-11,16000
2015-07-12,16000
2015-07-13,16000
2015-07-14,16000
2015-07-15,16000
2015-07-16,16000
2015-07-17,16000
2015-07-18,16000
2015-07-19,16000
2015-07-20,16000
2015-07-21,16000
2015-07-22,16000
2015-07-23,16000
2015-07-24,16000
2015-07-25,16000
2015-07-26,16000
2015-07-27,16000
2015-07-28,16000
2015-07-29,16000
2015-07-30,16000
2015-07-31,16000
2015-08-01,16000
2015-08-02,16000
2015-08-03,16000
