date_obj,Whiteberry%20seed price
2015-03-05,587
2015-03-06,558
2015-03-07,558
2015-03-08,530
2015-03-09,530
2015-03-10,504
2015-03-11,504
2015-03-12,480
2015-03-13,480
2015-03-14,457
2015-03-15,457
2015-03-16,434
2015-03-17,434
2015-03-18,413
2015-03-19,413
2015-03-20,393
2015-03-21,393
2015-03-22,373
2015-03-23,373
2015-03-24,354
2015-03-25,354
2015-03-26,336
2015-03-27,336
2015-03-28,319
2015-03-29,319
2015-03-30,303
2015-03-31,303
2015-04-01,288
2015-04-02,288
2015-04-03,273
2015-04-04,273
2015-04-05,259
2015-04-06,259
2015-04-07,247
2015-04-08,247
2015-04-09,247
2015-04-10,235
2015-04-11,235
2015-04-12,224
2015-04-13,224
2015-04-14,224
2015-04-15,213
2015-04-16,213
2015-04-17,213
2015-04-18,202
2015-04-19,202
2015-04-20,202
2015-04-21,191
2015-04-22,191
2015-04-23,181
2015-04-24,181
2015-04-25,181
2015-04-26,171
2015-04-27,171
2015-04-28,162
2015-04-29,162
2015-04-30,162
2015-05-01,153
2015-05-02,153
2015-05-03,153
2015-05-04,145
2015-05-05,145
2015-05-06,145
2015-05-07,137
2015-05-08,137
2015-05-09,137
2015-05-10,130
2015-05-11,130
2015-05-12,130
2015-05-13,123
2015-05-14,123
2015-05-15,123
2015-05-16,116
2015-05-17,116
2015-05-18,110
2015-05-19,110
2015-05-20,110
2015-05-21,110
2015-05-22,105
2015-05-23,105
2015-05-24,105
2015-05-25,99
2015-05-26,99
2015-05-27,99
2015-05-28,94
2015-05-29,94
2015-05-30,89
2015-05-31,89
2015-06-01,84
2015-06-02,84
2015-06-03,84
2015-06-04,79
2015-06-05,79
2015-06-06,75
2015-06-07,75
2015-06-08,75
2015-06-09,72
2015-06-10,72
2015-06-11,72
2015-06-12,68
2015-06-13,68
2015-06-14,64
2015-06-15,64
2015-06-16,64
2015-06-17,60
2015-06-18,60
2015-06-19,57
2015-06-20,57
2015-06-21,57
2015-06-22,54
2015-06-23,54
2015-06-24,51
2015-06-25,51
2015-06-26,48
2015-06-27,48
2015-06-28,48
2015-06-29,48
2015-06-30,48
2015-07-01,48
2015-07-02,48
2015-07-03,48
2015-07-04,46
2015-07-05,46
2015-07-06,46
2015-07-07,46
2015-07-08,46
2015-07-09,46
2015-07-10,44
2015-07-11,44
2015-07-12,44
2015-07-13,43
2015-07-14,43
2015-07-15,43
2015-07-16,40
2015-07-17,40
2015-07-18,40
2015-07-19,38
2015-07-20,38
2015-07-21,37
2015-07-22,37
2015-07-23,37
2015-07-24,36
2015-07-25,36
2015-07-26,36
2015-07-27,37
2015-07-28,37
2015-07-29,37
2015-07-30,38
2015-07-31,38
2015-08-01,38
2015-08-02,38
2015-08-03,38
2015-08-04,38
2015-08-05,38
2015-08-06,38
2015-08-07,38
2015-08-08,37
2015-08-09,37
2015-08-10,37
2015-08-11,38
2015-08-12,38
2015-08-13,38
2015-08-14,37
2015-08-15,37
2015-08-16,37
2015-08-17,35
2015-08-18,35
2015-08-19,35
2015-08-20,34
2015-08-21,34
2015-08-22,33
2015-08-23,33
2015-08-24,33
2015-08-25,33
2015-08-26,32
2015-08-27,32
2015-08-28,32
2015-08-29,31
2015-08-30,31
2015-08-31,31
2015-09-02,30
2015-09-07,29
2015-09-08,27
2015-09-10,27
2015-09-14,27
2015-09-16,28
2015-09-22,28
2015-09-23,28
2015-09-24,28
2015-09-25,28
2015-09-27,29
2015-09-28,29
2015-09-29,29
2015-09-30,28
2015-10-05,29
2015-10-06,29
2015-10-07,29
2015-10-08,29
2015-10-09,29
2015-10-10,29
2015-10-11,28
2015-10-12,28
2015-10-13,28
2015-10-14,28
2015-10-15,28
2015-10-16,28
2015-10-17,28
2015-10-18,28
2015-10-19,28
2015-10-20,28
2015-10-22,29
2015-10-23,29
2015-10-24,29
2015-10-25,29
2015-10-26,29
2015-10-27,29
2015-10-29,31
2015-10-30,31
2015-10-31,32
2015-11-01,32
2015-11-02,32
2015-11-03,32
2015-11-04,32
2015-11-05,32
2015-11-06,32
2015-11-07,32
2015-11-08,32
2015-11-09,32
2015-11-10,32
2015-11-11,34
2015-11-12,34
2015-11-13,34
2015-11-14,34
2015-11-15,34
2015-11-16,34
2015-11-17,34
2015-11-18,34
2015-11-19,36
2015-11-20,36
2015-11-21,36
2015-11-22,37
2015-11-23,37
2015-11-24,37
2015-11-25,36
2015-11-26,36
2015-11-27,36
2015-11-28,35
2015-11-29,35
2015-11-30,35
2015-12-01,36
2015-12-02,36
2015-12-03,36
2015-12-04,36
2015-12-05,36
2015-12-06,36
2015-12-07,35
2015-12-08,35
2015-12-09,35
2015-12-10,35
2015-12-11,35
2015-12-13,34
2015-12-14,34
2015-12-15,34
2015-12-16,34
2015-12-17,34
2015-12-18,35
2015-12-19,35
2015-12-20,35
2015-12-21,37
2015-12-22,37
2015-12-23,37
2015-12-24,39
2015-12-25,39
2015-12-26,39
2015-12-27,40
2015-12-28,40
2015-12-29,40
2015-12-30,41
2015-12-31,41
2016-01-01,41
2016-01-02,41
2016-01-03,41
2016-01-04,39
2016-01-05,39
2016-01-06,39
2016-01-07,39
2016-01-08,39
2016-01-09,39
2016-01-10,39
2016-01-11,38
2016-01-12,38
2016-01-13,36
2016-01-14,36
2016-01-15,36
2016-01-16,36
2016-01-17,36
2016-01-18,36
2016-01-19,36
2016-01-20,36
2016-01-21,37
2016-01-22,37
2016-01-23,36
2016-01-24,36
2016-01-25,37
2016-01-26,37
2016-01-27,37
2016-01-28,37
2016-01-29,37
2016-01-30,37
2016-01-31,37
2016-02-01,36
2016-02-02,36
2016-02-03,35
2016-02-04,35
2016-02-05,35
2016-02-06,35
2016-02-07,35
2016-02-08,35
2016-02-09,36
2016-02-10,36
2016-02-11,34
2016-02-12,34
2016-02-13,35
2016-02-14,35
2016-02-15,35
2016-02-16,35
2016-02-17,35
2016-02-18,35
2016-02-19,35
2016-02-20,35
2016-02-21,35
2016-02-22,36
2016-02-23,36
2016-02-24,36
2016-02-25,36
2016-02-26,36
2016-02-27,37
2016-02-28,37
2016-02-29,37
2016-03-01,36
2016-03-02,36
2016-03-03,36
2016-03-04,37
2016-03-05,37
2016-03-06,36
2016-03-07,36
2016-03-08,36
2016-03-09,36
2016-03-10,36
2016-03-11,36
2016-03-12,36
2016-03-13,36
2016-03-14,36
2016-03-15,36
2016-03-16,36
2016-03-17,36
2016-03-18,36
2016-03-19,36
2016-03-20,36
2016-03-21,35
2016-03-22,35
2016-03-23,34
2016-03-24,34
2016-03-25,34
2016-03-26,33
2016-03-27,33
2016-03-28,31
2016-03-29,31
2016-03-30,31
2016-03-31,31
2016-04-01,31
2016-04-02,31
2016-04-03,32
2016-04-04,32
2016-04-05,32
2016-04-06,33
2016-04-07,33
2016-04-08,33
2016-04-09,32
2016-04-10,32
2016-04-11,32
2016-04-12,33
2016-04-13,33
2016-04-14,33
2016-04-15,33
2016-04-16,33
2016-04-17,33
2016-04-18,32
2016-04-19,32
2016-04-20,32
2016-04-21,32
2016-04-22,32
2016-04-23,32
2016-04-24,32
2016-04-25,32
2016-04-26,32
