date_obj,Splitbark%20boots price
2015-03-26,74177
2015-03-27,74177
2015-03-28,74177
2015-03-29,74177
2015-03-30,74177
2015-03-31,74177
2015-04-01,74177
2015-04-02,74177
2015-04-03,74177
2015-04-04,74177
2015-04-05,74177
2015-04-06,70483
2015-04-07,70483
2015-04-08,70483
2015-04-09,70483
2015-04-10,70483
2015-04-11,70483
2015-04-12,70483
2015-04-13,70483
2015-04-14,70483
2015-04-15,70483
2015-04-16,70483
2015-04-17,70483
2015-04-18,66987
2015-04-19,66987
2015-04-20,66987
2015-04-21,66987
2015-04-22,66987
2015-04-23,66987
2015-04-24,66987
2015-04-25,66987
2015-04-26,66987
2015-04-27,66987
2015-04-28,66987
2015-04-29,66987
2015-04-30,63665
2015-05-01,63665
2015-05-02,63665
2015-05-03,63665
2015-05-04,63665
2015-05-05,63665
2015-05-06,63665
2015-05-07,63665
2015-05-08,63665
2015-05-09,63665
2015-05-10,63665
2015-05-11,63665
2015-05-12,63665
2015-05-13,63665
2015-05-14,63665
2015-05-15,60526
2015-05-16,60526
2015-05-17,60526
2015-05-18,60526
2015-05-19,60526
2015-05-20,60526
2015-05-21,60526
2015-05-22,60526
2015-05-23,60526
2015-05-24,60526
2015-05-25,60526
2015-05-26,60526
2015-05-27,60526
2015-05-28,57499
2015-05-29,57499
2015-05-30,57499
2015-05-31,57499
2015-06-01,57499
2015-06-02,57499
2015-06-03,57499
2015-06-04,57499
2015-06-05,54644
2015-06-06,54644
2015-06-07,54644
2015-06-08,54644
2015-06-09,54644
2015-06-10,54644
2015-06-11,51952
2015-06-12,51952
2015-06-13,51952
2015-06-14,51952
2015-06-15,51952
2015-06-16,51952
2015-06-17,51952
2015-06-18,49405
2015-06-19,49405
2015-06-20,49405
2015-06-21,49405
2015-06-22,49405
2015-06-23,49405
2015-06-24,49405
2015-06-25,49405
2015-06-26,47070
2015-06-27,47070
2015-06-28,47070
2015-06-29,47070
2015-06-30,47070
2015-07-01,47070
2015-07-02,47070
2015-07-03,44734
2015-07-04,44734
2015-07-05,44734
2015-07-06,44734
2015-07-07,44734
2015-07-08,44734
2015-07-09,44734
2015-07-10,42576
2015-07-11,42576
2015-07-12,42576
2015-07-13,42576
2015-07-14,42576
2015-07-15,42576
2015-07-16,42576
2015-07-17,40523
2015-07-18,40523
2015-07-19,40523
2015-07-20,40523
2015-07-21,40523
2015-07-22,38528
2015-07-23,38528
2015-07-24,38528
2015-07-25,38528
2015-07-26,38528
2015-07-27,38528
2015-07-28,38528
2015-07-29,36622
2015-07-30,36622
2015-07-31,36622
2015-08-01,36622
2015-08-02,36622
2015-08-03,36622
2015-08-04,36622
2015-08-05,34838
2015-08-06,34838
2015-08-07,34838
2015-08-08,34838
2015-08-09,34838
2015-08-10,33146
2015-08-11,33146
2015-08-12,33146
2015-08-13,33146
2015-08-14,33146
2015-08-15,33146
2015-08-16,31526
2015-08-17,31526
2015-08-18,31526
2015-08-19,31526
2015-08-20,31526
2015-08-21,30001
2015-08-22,30001
2015-08-23,30001
2015-08-24,30001
2015-08-25,30001
2015-08-26,30001
2015-08-27,28575
2015-08-28,28575
2015-08-29,28575
2015-08-30,28575
2015-08-31,28575
2015-09-01,28575
2015-09-02,27183
2015-09-03,27183
2015-09-04,27183
2015-09-05,27183
2015-09-06,27183
2015-09-07,25865
2015-09-08,25865
2015-09-09,25865
2015-09-10,25865
2015-09-11,25865
2015-09-12,24610
2015-09-13,24610
2015-09-14,24610
2015-09-15,24610
2015-09-16,24610
2015-09-17,23419
2015-09-18,23419
2015-09-19,23419
2015-09-20,23419
2015-09-21,23419
2015-09-22,23419
2015-09-23,22267
2015-09-24,22267
2015-09-25,22267
2015-09-27,22267
2015-09-28,22267
2015-09-29,21244
2015-09-30,21244
2015-10-05,20210
2015-10-06,20210
2015-10-07,20210
2015-10-08,20210
2015-10-09,19230
2015-10-10,19230
2015-10-11,19230
2015-10-12,19230
2015-10-13,19230
2015-10-14,19230
2015-10-15,18288
2015-10-16,18288
2015-10-17,18288
2015-10-18,18288
2015-10-19,18288
2015-10-20,17399
2015-10-22,17399
2015-10-23,17399
2015-10-24,17399
2015-10-25,17399
2015-10-26,16563
2015-10-27,16563
2015-10-29,16563
2015-10-30,16563
2015-10-31,16563
2015-11-01,16563
2015-11-02,15761
2015-11-03,15761
2015-11-04,15761
2015-11-05,15761
2015-11-06,15761
2015-11-07,15761
2015-11-08,15101
2015-11-09,15101
2015-11-10,15101
2015-11-11,15101
