date_obj,Ancient%20d'hide%20shield price
2020-01-08,436253
2020-01-09,436253
2020-01-10,442359
2020-01-11,442359
2020-01-12,434213
2020-01-13,434213
2020-01-14,434213
2020-01-15,413412
2020-01-16,413412
2020-01-17,407596
2020-01-18,407596
2020-01-19,410954
2020-01-20,410954
2020-01-21,410954
2020-01-22,404490
2020-01-23,404490
2020-01-24,413625
2020-01-25,413625
2020-01-26,421379
2020-01-27,421379
2020-01-28,421379
2020-01-29,409285
2020-01-30,409285
2020-01-31,404672
2020-02-01,404672
2020-02-02,399598
2020-02-03,399598
2020-02-04,397341
2020-02-05,397341
2020-02-06,411868
2020-02-07,411868
2020-02-08,424708
2020-02-09,424708
2020-02-10,436198
2020-02-11,436198
2020-02-12,436198
2020-02-13,440835
2020-02-14,440835
2020-02-15,428964
2020-02-16,428964
2020-02-17,419760
2020-02-18,419760
2020-02-19,419760
2020-02-20,406463
2020-02-21,406463
2020-02-22,406463
2020-02-23,403672
2020-02-24,403672
2020-02-25,410015
2020-02-26,410015
2020-02-27,416791
2020-02-28,416791
2020-02-29,426379
2020-03-01,426379
2020-03-02,430559
2020-03-03,430559
2020-03-04,430559
2020-03-05,433557
2020-03-06,433557
2020-03-07,445723
2020-03-08,445723
2020-03-09,445733
2020-03-10,445733
2020-03-11,436185
2020-03-12,436185
2020-03-13,432898
2020-03-14,432898
2020-03-15,430925
2020-03-16,430925
2020-03-17,428456
2020-03-18,428456
2020-03-19,428456
2020-03-20,425038
2020-03-21,425038
2020-03-22,425938
2020-03-23,425938
2020-03-24,437120
2020-03-25,437120
2020-03-26,438202
2020-03-27,438202
2020-03-28,438570
2020-03-29,438570
2020-03-30,438504
2020-03-31,438504
2020-04-01,444503
2020-04-02,444503
2020-04-03,445645
2020-04-04,445645
2020-04-05,439493
2020-04-06,439493
2020-04-07,436158
2020-04-08,436604
2020-04-09,436604
2020-04-10,436321
2020-04-11,433270
2020-04-12,433270
2020-04-13,425461
2020-04-14,425461
2020-04-15,423115
2020-04-16,423115
2020-04-17,424077
2020-04-18,424077
2020-04-19,418130
2020-04-20,418130
2020-04-21,419502
2020-04-22,419502
2020-04-23,420789
2020-04-24,420789
2020-04-25,425953
2020-04-26,425953
2020-04-27,419537
2020-04-28,405012
2020-04-29,405012
2020-04-30,395496
2020-05-01,395496
2020-05-02,396044
2020-05-03,396044
2020-05-04,394964
2020-05-05,394964
2020-05-06,386067
2020-05-07,386067
2020-05-08,376239
2020-05-09,358985
2020-05-10,358985
2020-05-11,352607
2020-05-12,352607
2020-05-13,351132
