date_obj,Santa%20hat price
2015-03-26,18609
2015-03-27,18609
2015-03-28,18188
2015-03-29,17680
2015-03-30,16991
2015-03-31,16620
2015-04-01,16009
2015-04-02,15764
2015-04-03,15252
2015-04-04,14910
2015-04-05,14767
2015-04-06,14632
2015-04-07,14458
2015-04-08,14458
2015-04-09,14048
2015-04-10,13504
2015-04-11,13041
2015-04-12,12485
2015-04-13,11921
2015-04-14,11572
2015-04-15,11677
2015-04-16,11953
2015-04-17,12414
2015-04-18,12991
2015-04-19,13624
2015-04-20,13624
2015-04-21,14216
2015-04-22,14453
2015-04-23,14477
2015-04-24,14815
2015-04-25,14896
2015-04-26,14865
2015-04-27,14676
2015-04-28,14725
2015-04-29,14725
2015-04-30,14370
2015-05-01,14151
2015-05-02,14120
2015-05-03,14120
2015-05-04,14122
2015-05-05,13678
2015-05-06,13178
2015-05-07,12999
2015-05-08,13111
2015-05-09,13167
2015-05-10,13365
2015-05-11,13365
2015-05-12,13473
2015-05-13,13473
2015-05-14,13702
2015-05-15,14105
2015-05-16,14105
2015-05-17,14088
2015-05-18,14504
2015-05-19,14504
2015-05-20,14133
2015-05-21,14133
2015-05-22,14407
2015-05-23,14441
2015-05-24,14413
2015-05-25,14717
2015-05-26,14732
2015-05-27,14732
2015-05-28,15213
2015-05-29,15341
2015-05-30,15230
2015-05-31,15084
2015-06-01,15255
2015-06-02,15255
2015-06-03,15367
2015-06-04,15577
2015-06-05,15344
2015-06-06,15116
2015-06-07,15498
2015-06-08,15977
2015-06-09,16447
2015-06-10,16907
2015-06-11,17641
2015-06-12,18462
2015-06-13,19326
2015-06-14,20280
2015-06-15,21288
2015-06-16,22353
2015-06-17,23471
2015-06-18,24037
2015-06-19,24999
2015-06-20,25826
2015-06-21,25712
2015-06-22,26584
2015-06-23,26379
2015-06-24,25678
2015-06-25,25678
2015-06-26,24643
2015-06-27,24643
2015-06-28,23903
2015-06-29,24852
2015-06-30,25090
2015-07-01,25033
2015-07-02,25033
2015-07-03,24777
2015-07-04,24099
2015-07-05,24461
2015-07-06,24449
2015-07-07,23992
2015-07-08,22994
2015-07-09,22994
2015-07-10,21859
