date_obj,Emerald%20amulet%20(u) price
2015-03-26,4383
2015-03-27,4383
2015-03-28,4383
2015-03-29,4167
2015-03-30,4167
2015-03-31,4167
2015-04-01,4167
2015-04-02,4167
2015-04-03,4167
2015-04-04,4167
2015-04-05,4167
2015-04-06,4167
2015-04-07,4167
2015-04-08,4167
2015-04-09,4167
2015-04-10,4167
2015-04-11,4167
2015-04-12,4167
2015-04-13,4167
2015-04-14,4167
2015-04-15,3965
2015-04-16,3965
2015-04-17,3965
2015-04-18,3965
2015-04-19,3965
2015-04-20,3965
2015-04-21,3965
2015-04-22,3965
2015-04-23,3965
2015-04-24,3965
2015-04-25,3965
2015-04-26,3965
2015-04-27,3965
2015-04-28,3965
2015-04-29,3965
2015-04-30,3965
2015-05-01,3965
2015-05-02,3773
2015-05-03,3773
2015-05-04,3773
2015-05-05,3773
2015-05-06,3773
2015-05-07,3773
2015-05-08,3773
2015-05-09,3773
2015-05-10,3773
2015-05-11,3773
2015-05-12,3773
2015-05-13,3773
2015-05-14,3773
2015-05-15,3773
2015-05-16,3773
2015-05-17,3773
2015-05-18,3773
2015-05-19,3773
2015-05-20,3773
2015-05-21,3590
2015-05-22,3590
2015-05-23,3590
2015-05-24,3590
2015-05-25,3590
2015-05-26,3590
2015-05-27,3590
2015-05-28,3590
2015-05-29,3590
2015-05-30,3590
2015-05-31,3590
2015-06-01,3590
2015-06-02,3590
2015-06-03,3590
2015-06-04,3590
2015-06-05,3415
2015-06-06,3415
2015-06-07,3415
2015-06-08,3415
2015-06-09,3415
2015-06-10,3415
2015-06-11,3415
2015-06-12,3415
2015-06-13,3415
2015-06-14,3415
2015-06-15,3415
2015-06-16,3415
2015-06-17,3415
2015-06-18,3415
2015-06-19,3415
2015-06-20,3415
2015-06-21,3246
2015-06-22,3246
2015-06-23,3246
2015-06-24,3246
2015-06-25,3246
2015-06-26,3246
2015-06-27,3246
2015-06-28,3246
2015-06-29,3246
2015-06-30,3246
2015-07-01,3246
2015-07-02,3246
2015-07-03,3246
2015-07-04,3246
2015-07-05,3246
2015-07-06,3246
2015-07-07,3246
2015-07-08,3246
2015-07-09,3090
2015-07-10,3090
2015-07-11,3090
2015-07-12,3090
2015-07-13,3090
2015-07-14,3090
2015-07-15,3090
2015-07-16,3090
2015-07-17,3090
2015-07-18,3090
2015-07-19,3090
2015-07-20,3090
2015-07-21,3090
2015-07-22,3090
2015-07-23,3090
2015-07-24,3090
2015-07-25,3090
2015-07-26,2945
2015-07-27,2945
2015-07-28,2945
2015-07-29,2945
2015-07-30,2945
2015-07-31,2945
2015-08-01,2945
2015-08-02,2945
2015-08-03,2945
2015-08-04,2945
2015-08-05,2945
2015-08-06,2945
2015-08-07,2945
2015-08-08,2945
2015-08-09,2945
2015-08-10,2803
2015-08-11,2803
2015-08-12,2803
2015-08-13,2803
2015-08-14,2803
2015-08-15,2803
2015-08-16,2803
2015-08-17,2803
2015-08-18,2803
2015-08-19,2803
2015-08-20,2803
2015-08-21,2803
2015-08-22,2803
2015-08-23,2803
2015-08-24,2803
2015-08-25,2803
2015-08-26,2803
2015-08-27,2803
2015-08-28,2803
2015-08-29,2803
2015-08-30,2803
2015-08-31,2803
2015-09-01,2803
2015-09-02,2803
2015-09-03,2803
2015-09-04,2674
2015-09-05,2674
2015-09-06,2674
2015-09-07,2674
2015-09-08,2674
2015-09-09,2674
2015-09-10,2674
2015-09-11,2674
2015-09-12,2674
2015-09-13,2674
2015-09-14,2674
2015-09-15,2674
2015-09-16,2674
2015-09-17,2674
2015-09-18,2674
2015-09-19,2674
2015-09-20,2674
2015-09-21,2674
2015-09-22,2674
2015-09-23,2674
2015-09-24,2674
2015-09-25,2674
2015-09-27,2674
2015-09-28,2674
2015-09-29,2674
2015-09-30,2674
2015-10-05,2545
2015-10-06,2545
2015-10-07,2545
2015-10-08,2545
2015-10-09,2545
2015-10-10,2545
2015-10-11,2545
2015-10-12,2545
2015-10-13,2545
2015-10-14,2545
2015-10-15,2545
2015-10-16,2545
2015-10-17,2545
2015-10-18,2545
2015-10-19,2545
2015-10-20,2545
2015-10-22,2545
2015-10-23,2545
2015-10-24,2545
2015-10-25,2545
2015-10-26,2545
2015-10-27,2545
2015-10-29,2420
2015-10-30,2420
2015-10-31,2420
2015-11-01,2420
2015-11-02,2420
2015-11-03,2420
2015-11-04,2420
2015-11-05,2420
2015-11-06,2420
2015-11-07,2420
2015-11-08,2420
2015-11-09,2420
2015-11-10,2420
2015-11-11,2420
2015-11-12,2420
2015-11-13,2420
2015-11-14,2420
2015-11-15,2420
2015-11-16,2420
2015-11-17,2420
2015-11-18,2420
2015-11-19,2301
2015-11-20,2301
2015-11-21,2301
2015-11-22,2301
2015-11-23,2301
2015-11-24,2301
2015-11-25,2301
2015-11-26,2301
2015-11-27,2301
2015-11-28,2301
2015-11-29,2301
2015-11-30,2301
2015-12-01,2301
2015-12-02,2301
2015-12-03,2301
2015-12-04,2301
2015-12-05,2301
2015-12-06,2301
2015-12-07,2301
2015-12-08,2301
2015-12-09,2301
2015-12-10,2301
2015-12-11,2301
2015-12-12,2301
2015-12-13,2301
2015-12-14,2301
2015-12-15,2301
2015-12-16,2301
2015-12-17,2301
2015-12-18,2301
2015-12-19,2189
2015-12-20,2189
2015-12-21,2189
2015-12-22,2189
2015-12-23,2189
2015-12-24,2189
2015-12-25,2189
2015-12-26,2189
2015-12-27,2189
2015-12-28,2189
2015-12-29,2189
2015-12-30,2189
2015-12-31,2189
2016-01-01,2189
2016-01-02,2189
2016-01-03,2189
2016-01-04,2189
2016-01-05,2189
2016-01-06,2189
2016-01-07,2189
2016-01-08,2189
2016-01-09,2189
2016-01-10,2189
2016-01-11,2189
2016-01-12,2189
2016-01-13,2189
2016-01-14,2083
2016-01-15,2083
2016-01-16,2083
2016-01-17,2083
2016-01-18,2083
2016-01-19,2083
2016-01-20,2083
2016-01-21,2083
2016-01-22,2083
2016-01-23,2083
2016-01-24,2083
2016-01-25,2083
2016-01-26,2083
2016-01-27,2083
2016-01-28,2083
2016-01-29,2083
2016-01-30,2083
2016-01-31,2083
2016-02-01,2083
2016-02-02,2083
2016-02-03,2083
2016-02-04,2083
2016-02-05,2083
2016-02-06,2083
2016-02-07,2083
2016-02-08,2083
2016-02-09,2083
2016-02-10,1980
2016-02-11,1980
2016-02-12,1980
2016-02-13,1980
2016-02-14,1980
2016-02-15,1980
