date_obj,Steel%20javelin price
2019-02-20,7
2019-02-21,7
2019-02-22,7
2019-02-23,7
2019-02-24,7
2019-02-25,7
2019-02-26,7
2019-02-27,7
2019-02-28,7
2019-03-01,7
2019-03-02,7
2019-03-03,7
2019-03-04,7
2019-03-05,7
2019-03-06,7
2019-03-07,7
2019-03-08,7
2019-03-09,7
2019-03-10,6
2019-03-11,6
2019-03-12,6
2019-03-13,6
2019-03-14,6
2019-03-15,6
2019-03-16,7
2019-03-17,7
2019-03-18,7
2019-03-19,7
2019-03-20,7
2019-03-21,7
2019-03-22,7
2019-03-23,7
2019-03-24,7
2019-03-25,7
2019-03-26,7
2019-03-27,7
2019-03-28,7
2019-03-29,7
2019-03-30,7
2019-03-31,7
2019-04-01,7
2019-04-02,7
2019-04-03,7
2019-04-04,7
2019-04-05,7
2019-04-06,7
2019-04-07,7
2019-04-08,7
2019-04-09,7
2019-04-10,7
2019-04-11,7
2019-04-12,7
2019-04-13,7
2019-04-14,7
2019-04-15,7
2019-04-16,7
2019-04-17,6
2019-04-18,6
2019-04-19,6
2019-04-20,6
2019-04-21,6
2019-04-22,6
2019-04-23,6
2019-04-24,6
2019-04-25,6
2019-04-26,6
2019-04-27,6
2019-04-28,6
2019-04-29,6
2019-04-30,6
2019-05-01,5
2019-05-02,5
2019-05-03,5
2019-05-04,5
2019-05-05,5
2019-05-06,5
2019-05-07,5
2019-05-08,5
2019-05-09,5
2019-05-10,5
2019-05-11,5
2019-05-12,5
2019-05-13,5
2019-05-14,5
2019-05-15,5
2019-05-16,5
2019-05-17,5
2019-05-18,5
2019-05-19,5
2019-05-20,5
2019-05-21,5
2019-05-22,5
2019-05-23,5
2019-05-24,5
2019-05-25,5
2019-05-26,5
2019-05-27,4
2019-05-28,4
2019-05-29,4
2019-05-30,4
2019-05-31,4
2019-06-01,4
2019-06-02,4
2019-06-03,4
2019-06-04,4
2019-06-05,4
2019-06-06,4
2019-06-07,4
2019-06-08,4
2019-06-09,4
2019-06-10,4
2019-06-11,4
2019-06-12,4
2019-06-13,4
2019-06-14,4
2019-06-15,4
2019-06-16,4
2019-06-17,4
2019-06-18,4
2019-06-19,4
2019-06-20,4
2019-06-21,4
2019-06-22,4
2019-06-23,4
2019-06-24,4
2019-06-25,4
2019-06-26,4
2019-06-27,4
2019-06-28,4
2019-06-29,4
2019-06-30,4
2019-07-01,4
2019-07-02,4
2019-07-03,4
2019-07-04,4
2019-07-05,4
2019-07-06,4
2019-07-07,4
2019-07-08,4
2019-07-09,4
2019-07-10,4
2019-07-11,4
2019-07-12,4
2019-07-13,4
2019-07-14,4
2019-07-15,4
2019-07-16,4
2019-07-17,4
2019-07-18,4
2019-07-19,4
2019-07-20,5
2019-07-21,5
2019-07-22,5
2019-07-23,5
2019-07-24,5
2019-07-25,5
2019-07-26,5
2019-07-27,5
2019-07-28,5
2019-07-29,5
2019-07-30,5
2019-07-31,5
2019-08-01,5
2019-08-02,5
2019-08-03,5
2019-08-04,5
2019-08-05,5
2019-08-06,5
2019-08-07,5
2019-08-08,5
2019-08-09,5
2019-08-10,5
2019-08-11,5
2019-08-12,5
2019-08-13,5
2019-08-14,5
2019-08-15,5
2019-08-16,5
2019-08-17,5
2019-08-18,5
2019-08-19,5
