date_obj,Pharaoh's%20sceptre price
2015-03-26,1254646
2015-03-27,1254646
2015-03-28,1254646
2015-03-29,1254646
2015-03-30,1254646
2015-03-31,1254646
2015-04-01,1254646
2015-04-02,1254646
2015-04-03,1312948
2015-04-04,1312948
2015-04-05,1312948
2015-04-06,1312948
2015-04-07,1312948
2015-04-08,1312948
2015-04-09,1312948
2015-04-10,1312948
2015-04-11,1312948
2015-04-12,1374949
2015-04-13,1374949
2015-04-14,1374949
2015-04-15,1374949
2015-04-16,1374949
2015-04-17,1374949
2015-04-18,1374949
2015-04-19,1374949
2015-04-20,1439253
2015-04-21,1439253
2015-04-22,1439253
2015-04-23,1439253
2015-04-24,1439253
2015-04-25,1439253
2015-04-26,1439253
2015-04-27,1439253
2015-04-28,1439253
2015-04-29,1505525
2015-04-30,1505525
2015-05-01,1505525
2015-05-02,1505525
2015-05-03,1505525
2015-05-04,1505525
2015-05-05,1505525
2015-05-06,1505525
2015-05-07,1577244
2015-05-08,1577244
2015-05-09,1577244
2015-05-10,1577244
2015-05-11,1577244
2015-05-12,1577244
2015-05-13,1577244
2015-05-14,1577244
2015-05-15,1577244
2015-05-16,1649744
2015-05-17,1649744
2015-05-18,1649744
2015-05-19,1649744
2015-05-20,1649744
2015-05-21,1649744
2015-05-22,1649744
2015-05-23,1649744
2015-05-24,1649744
2015-05-25,1727402
2015-05-26,1727402
2015-05-27,1727402
2015-05-28,1727402
2015-05-29,1727402
2015-05-30,1808733
2015-05-31,1808733
2015-06-01,1808733
2015-06-02,1808733
2015-06-03,1808733
2015-06-04,1808733
2015-06-05,1808733
2015-06-06,1895991
2015-06-07,1895991
2015-06-08,1895991
2015-06-09,1895991
2015-06-10,1895991
2015-06-11,1895991
2015-06-12,1895991
2015-06-13,1983340
2015-06-14,1983340
2015-06-15,1983340
2015-06-16,1983340
2015-06-17,1983340
2015-06-18,1983340
2015-06-19,2072635
2015-06-20,2072635
2015-06-21,2072635
2015-06-22,2072635
2015-06-23,2072635
2015-06-24,2072635
2015-06-25,2169619
2015-06-26,2169619
2015-06-27,2169619
2015-06-28,2169619
2015-06-29,2169619
2015-06-30,2271917
2015-07-01,2271917
2015-07-02,2271917
2015-07-03,2271917
2015-07-04,2271917
2015-07-05,2271917
2015-07-06,2374839
2015-07-07,2374839
2015-07-08,2374839
2015-07-09,2374839
2015-07-10,2374839
2015-07-11,2374839
2015-07-12,2487435
2015-07-13,2487435
2015-07-14,2487435
2015-07-15,2487435
2015-07-16,2487435
2015-07-17,2487435
2015-07-18,2602585
2015-07-19,2602585
2015-07-20,2602585
2015-07-21,2602585
2015-07-22,2602585
2015-07-23,2602585
2015-07-24,2726857
2015-07-25,2726857
2015-07-26,2726857
2015-07-27,2726857
2015-07-28,2726857
2015-07-29,2802925
2015-07-30,2802925
2015-07-31,2802925
2015-08-01,2802925
2015-08-02,2802925
2015-08-03,2880819
2015-08-04,2880819
2015-08-05,2880819
2015-08-06,2880819
2015-08-07,2880819
2015-08-08,2953087
2015-08-09,2953087
2015-08-10,2953087
2015-08-11,2953087
2015-08-12,2953087
2015-08-13,3002159
2015-08-14,3002159
2015-08-15,3002159
2015-08-16,3002159
2015-08-17,3040770
2015-08-18,3040770
2015-08-19,3040770
2015-08-20,3040770
2015-08-21,3086480
2015-08-22,3086480
2015-08-23,3086480
2015-08-24,3086480
2015-08-25,3086480
2015-08-26,3051556
2015-08-27,3051556
2015-08-28,3051556
2015-08-29,3051556
2015-08-30,2918483
2015-08-31,2918483
2015-09-01,2918483
2015-09-02,2918483
2015-09-03,2918483
2015-09-04,2953281
2015-09-05,2953281
2015-09-06,2953281
2015-09-07,2953281
2015-09-08,2953281
2015-09-09,3037334
2015-09-10,3037334
2015-09-11,3037334
2015-09-12,3037334
2015-09-13,2941179
2015-09-14,2941179
2015-09-15,2941179
2015-09-16,2941179
2015-09-17,2975303
2015-09-18,2975303
2015-09-19,2975303
2015-09-20,2975303
2015-09-21,2975303
2015-09-22,3064747
2015-09-23,3064747
2015-09-24,3064747
2015-09-25,3064747
2015-09-27,3005483
2015-09-28,3005483
2015-09-29,3005483
2015-09-30,3005483
2015-10-05,3060447
2015-10-06,3159360
2015-10-07,3159360
2015-10-08,3159360
2015-10-09,3159360
2015-10-10,3159360
2015-10-11,3202245
2015-10-12,3202245
2015-10-13,3202245
2015-10-14,3202245
2015-10-15,3305673
2015-10-16,3305673
2015-10-17,3305673
2015-10-18,3305673
2015-10-19,3404301
2015-10-20,3404301
2015-10-22,3404301
2015-10-23,3404301
2015-10-24,3475061
2015-10-25,3475061
2015-10-26,3475061
2015-10-27,3475061
2015-10-29,3546999
2015-10-30,3546999
2015-10-31,3546999
2015-11-01,3546999
2015-11-02,3521294
2015-11-03,3521294
2015-11-04,3521294
2015-11-05,3521294
2015-11-06,3521294
2015-11-07,3457387
2015-11-08,3457387
2015-11-09,3457387
2015-11-10,3457387
2015-11-11,3457387
2015-11-12,3457387
2015-11-13,3316503
2015-11-14,3316503
2015-11-15,3316503
2015-11-16,3316503
2015-11-17,3316503
2015-11-18,3185255
2015-11-19,3185255
2015-11-20,3185255
2015-11-21,3185255
2015-11-22,3289175
2015-11-23,3289175
2015-11-24,3289175
2015-11-25,3289175
2015-11-26,3289175
2015-11-27,3270970
2015-11-28,3270970
2015-11-29,3270970
2015-11-30,3270970
2015-12-01,3289670
2015-12-02,3289670
2015-12-03,3289670
2015-12-04,3289670
2015-12-05,3280384
2015-12-06,3280384
2015-12-07,3280384
2015-12-08,3280384
2015-12-09,3318706
2015-12-10,3318706
2015-12-11,3318706
2015-12-12,3318706
2015-12-13,3342922
2015-12-14,3342922
2015-12-15,3342922
2015-12-16,3361507
2015-12-17,3361507
2015-12-18,3361507
2015-12-19,3361507
2015-12-20,3369774
2015-12-21,3369774
2015-12-22,3369774
2015-12-23,3369774
2015-12-24,3318856
2015-12-25,3318856
2015-12-26,3318856
2015-12-27,3366025
2015-12-28,3366025
2015-12-29,3366025
2015-12-30,3373313
2015-12-31,3373313
2016-01-01,3373313
2016-01-02,3373313
2016-01-03,3403702
2016-01-04,3403702
2016-01-05,3403702
2016-01-06,3485063
2016-01-07,3485063
2016-01-08,3485063
2016-01-09,3485063
2016-01-10,3469257
2016-01-11,3469257
2016-01-12,3469257
2016-01-13,3455819
2016-01-14,3455819
2016-01-15,3455819
2016-01-16,3380600
2016-01-17,3380600
2016-01-18,3380600
2016-01-19,3307424
2016-01-20,3307424
2016-01-21,3307424
2016-01-22,3330312
2016-01-23,3330312
2016-01-24,3330312
2016-01-25,3226481
2016-01-26,3226481
2016-01-27,3226481
2016-01-28,3226481
2016-01-29,3132750
2016-01-30,3132750
2016-01-31,3132750
2016-02-01,3247175
2016-02-02,3247175
2016-02-03,3247175
2016-02-04,3284936
2016-02-05,3284936
2016-02-06,3284936
2016-02-07,3284936
2016-02-08,3310103
2016-02-09,3310103
2016-02-10,3310103
2016-02-11,3346680
2016-02-12,3346680
2016-02-13,3389822
2016-02-14,3389822
2016-02-15,3389822
2016-02-16,3390828
2016-02-17,3390828
2016-02-18,3390828
2016-02-19,3372414
2016-02-20,3372414
2016-02-21,3296712
2016-02-22,3296712
2016-02-23,3296712
2016-02-24,3296712
2016-02-25,3337399
2016-02-26,3337399
2016-02-27,3337399
2016-02-28,3334879
2016-02-29,3334879
2016-03-01,3334879
2016-03-02,3327619
2016-03-03,3327619
2016-03-04,3327619
2016-03-05,3280392
2016-03-06,3280392
2016-03-07,3280392
2016-03-08,3242675
2016-03-09,3242675
2016-03-10,3192204
2016-03-11,3192204
2016-03-12,3192204
2016-03-13,3160587
2016-03-14,3160587
2016-03-15,3160587
2016-03-16,3154145
2016-03-17,3154145
2016-03-18,3154145
2016-03-19,3197370
2016-03-20,3197370
2016-03-21,3197370
2016-03-22,3228636
2016-03-23,3228636
2016-03-24,3228636
2016-03-25,3264007
2016-03-26,3264007
2016-03-27,3264007
2016-03-28,3336983
2016-03-29,3336983
2016-03-30,3336983
2016-03-31,3329766
2016-04-01,3329766
2016-04-02,3329766
2016-04-03,3238810
2016-04-04,3238810
2016-04-05,3238810
2016-04-06,3228739
2016-04-07,3228739
2016-04-08,3228739
2016-04-09,3221611
2016-04-10,3221611
2016-04-11,3221611
2016-04-12,3219976
2016-04-14,3219976
2016-04-15,3270553
2016-04-16,3270553
2016-04-17,3308806
2016-04-18,3308806
2016-04-19,3315374
2016-04-20,3315374
2016-04-21,3315374
2016-04-22,3322526
2016-04-23,3322526
2016-04-24,3316839
2016-04-25,3316839
2016-04-26,3327366
2016-04-27,3327366
2016-04-28,3317613
2016-04-29,3317613
2016-04-30,3317613
2016-05-01,3298778
2016-05-02,3298778
2016-05-03,3271652
2016-05-04,3271652
2016-05-05,3306393
2016-05-06,3306393
2016-05-07,3306393
2016-05-08,3276651
2016-05-09,3276651
2016-05-10,3201438
2016-05-11,3201438
2016-05-12,3201438
2016-05-13,3103579
2016-05-14,3103579
2016-05-15,3156319
2016-05-16,3156319
2016-05-17,3129489
2016-05-18,3129489
