date_obj,Blue%20partyhat price
2015-03-26,142814
2015-03-27,142814
2015-03-28,135673
2015-03-29,128889
2015-03-30,122444
2015-03-31,119322
2015-04-01,119322
2015-04-02,113858
2015-04-03,108165
2015-04-04,102756
2015-04-05,102756
2015-04-06,97621
2015-04-07,92748
2015-04-08,92748
2015-04-09,88111
2015-04-10,84106
2015-04-11,80557
2015-04-12,80557
2015-04-13,77395
2015-04-14,77395
2015-04-15,74018
2015-04-16,74018
2015-04-17,71287
2015-04-18,68918
2015-04-19,67746
2015-04-20,67746
2015-04-21,70276
2015-04-22,70276
2015-04-23,70324
2015-04-24,70324
2015-04-25,67802
2015-04-26,67802
2015-04-27,65215
2015-04-28,62507
2015-04-29,62507
2015-04-30,59558
2015-05-01,57215
2015-05-02,56247
2015-05-03,56247
2015-05-04,54845
2015-05-05,54845
2015-05-06,54972
2015-05-07,54972
2015-05-08,53920
2015-05-09,53920
2015-05-10,53191
2015-05-11,53191
2015-05-12,52609
2015-05-13,52609
2015-05-14,53321
2015-05-15,53321
2015-05-16,54904
2015-05-17,56322
2015-05-18,56322
2015-05-19,57025
2015-05-20,57025
2015-05-21,57025
2015-05-22,58521
2015-05-23,58521
2015-05-24,60651
2015-05-25,63240
2015-05-26,63240
2015-05-27,66049
2015-05-28,66049
2015-05-29,67616
2015-05-30,69719
2015-05-31,69719
2015-06-01,73010
2015-06-02,73010
2015-06-03,74992
2015-06-04,74992
2015-06-05,76810
2015-06-06,77015
2015-06-07,79517
2015-06-08,79517
2015-06-09,83217
2015-06-10,87134
2015-06-11,90924
2015-06-12,94863
2015-06-13,99607
2015-06-14,104104
2015-06-15,109060
2015-06-16,114513
2015-06-17,119891
2015-06-18,125878
2015-06-19,131631
2015-06-20,137698
2015-06-21,143774
2015-06-22,150934
2015-06-23,157795
2015-06-24,162656
2015-06-25,162656
2015-06-26,158541
2015-06-27,158541
2015-06-28,157325
2015-06-29,157325
2015-06-30,159981
2015-07-01,154322
2015-07-02,154322
2015-07-03,146749
2015-07-04,140342
2015-07-05,140342
2015-07-06,135576
2015-07-07,130727
2015-07-08,125109
2015-07-09,125109
2015-07-10,119467
2015-07-11,119467
2015-07-12,116951
2015-07-13,115652
2015-07-14,115652
2015-07-15,110688
2015-07-16,110688
2015-07-17,106422
2015-07-18,106422
2015-07-19,105844
2015-07-20,109637
2015-07-21,109637
2015-07-22,114589
2015-07-23,114589
2015-07-24,120302
2015-07-25,120302
2015-07-26,126312
2015-07-27,132210
2015-07-28,137759
2015-07-29,139980
2015-07-30,139980
2015-07-31,133030
2015-08-01,133229
2015-08-02,132888
2015-08-03,132888
2015-08-04,130900
2015-08-05,137291
2015-08-06,137291
2015-08-07,142947
2015-08-08,149536
2015-08-09,156223
2015-08-10,163354
2015-08-11,171520
2015-08-12,179142
2015-08-13,187397
2015-08-14,195154
2015-08-15,195154
2015-08-16,204332
2015-08-17,211868
2015-08-18,211868
2015-08-19,221926
2015-08-20,221926
2015-08-21,232988
2015-08-22,232988
2015-08-23,244622
2015-08-24,255575
2015-08-25,255575
2015-08-26,267484
2015-08-27,280850
2015-08-28,280850
2015-08-29,294877
2015-08-30,294877
2015-08-31,309528
2015-09-01,323598
2015-09-02,323598
2015-09-03,339758
2015-09-04,355858
2015-09-05,355858
2015-09-06,373638
2015-09-07,390750
2015-09-08,408752
2015-09-09,427778
2015-09-10,449136
2015-09-11,471480
2015-09-12,490712
2015-09-13,513703
2015-09-14,539356
2015-09-15,537201
2015-09-16,512532
2015-09-17,486905
2015-09-18,464206
2015-09-19,442393
2015-09-20,421907
2015-09-21,402409
2015-09-22,384220
2015-09-23,366507
2015-09-24,366507
2015-09-25,349487
2015-09-27,333224
2015-09-28,316584
2015-09-29,316584
2015-09-30,300757
2015-10-05,272847
2015-10-06,259204
2015-10-07,259204
2015-10-08,246949
2015-10-09,246949
2015-10-10,235370
2015-10-11,235370
2015-10-12,224769
2015-10-13,224769
2015-10-14,224769
2015-10-15,217587
2015-10-16,217587
2015-10-17,217587
2015-10-18,211623
2015-10-19,211623
2015-10-20,209798
2015-10-22,209798
2015-10-23,213445
2015-10-24,213445
2015-10-25,220262
2015-10-26,220262
2015-10-27,220262
2015-10-29,228104
2015-10-30,223680
2015-10-31,223680
2015-11-01,214183
2015-11-02,214183
2015-11-03,204277
2015-11-04,204277
2015-11-05,194975
2015-11-06,194975
2015-11-07,187001
2015-11-08,187001
2015-11-09,187001
2015-11-10,177941
2015-11-11,177941
2015-11-12,169901
2015-11-13,169901
2015-11-14,169901
2015-11-15,161962
2015-11-16,161962
2015-11-17,161962
2015-11-18,156462
2015-11-19,156462
2015-11-20,149069
2015-11-21,149069
2015-11-22,149069
2015-11-23,144504
2015-11-24,144504
2015-11-25,143896
2015-11-26,143896
2015-11-27,143896
2015-11-28,141939
2015-11-29,141939
2015-11-30,137240
2015-12-01,137240
2015-12-02,137240
2015-12-03,132986
2015-12-04,132986
2015-12-05,132986
2015-12-06,128121
2015-12-07,128121
2015-12-08,128121
2015-12-09,123403
2015-12-10,123403
2015-12-11,123403
2015-12-12,119051
2015-12-13,119051
2015-12-14,119051
2015-12-15,113166
2015-12-16,107509
2015-12-17,102133
2015-12-18,97026
2015-12-19,92174
2015-12-20,87565
2015-12-21,83186
2015-12-22,79026
2015-12-23,75074
2015-12-24,71320
2015-12-25,67754
2015-12-26,64368
2015-12-27,61150
2015-12-28,58092
2015-12-29,55437
2015-12-30,53177
2015-12-31,52890
2016-01-01,53078
2016-01-02,51438
2016-01-03,49943
2016-01-04,49564
2016-01-05,48205
2016-01-06,47795
2016-01-07,48796
2016-01-08,50209
2016-01-09,50209
2016-01-10,50763
2016-01-11,50763
2016-01-12,52545
2016-01-13,52545
2016-01-14,55018
2016-01-15,55018
2016-01-16,56844
2016-01-17,56844
2016-01-18,57868
2016-01-19,57868
2016-01-20,59667
2016-01-21,59667
2016-01-22,62205
2016-01-23,62205
2016-01-24,64612
2016-01-25,67097
2016-01-26,67097
2016-01-27,69993
2016-01-28,69993
2016-01-29,72490
2016-01-30,72490
2016-01-31,75231
2016-02-01,78092
2016-02-02,78092
2016-02-03,81165
2016-02-04,81165
2016-02-05,84181
2016-02-06,87014
