date_obj,Amulet%20of%20accuracy price
2015-03-26,6563
2015-03-27,6563
2015-03-28,6485
2015-03-29,6446
2015-03-30,6285
2015-03-31,6183
2015-04-01,6183
2015-04-02,6122
2015-04-03,6034
2015-04-04,5913
2015-04-05,5798
2015-04-06,5693
2015-04-07,5588
2015-04-08,5588
2015-04-09,5512
2015-04-10,5412
2015-04-11,5313
2015-04-12,5137
2015-04-13,5045
2015-04-14,5045
2015-04-15,4913
2015-04-16,4798
2015-04-17,4725
2015-04-18,4617
2015-04-19,4559
2015-04-20,4559
2015-04-21,4502
2015-04-22,4453
2015-04-23,4488
2015-04-24,4478
2015-04-25,4382
2015-04-26,4363
2015-04-27,4299
2015-04-28,4247
2015-04-29,4247
2015-04-30,4248
2015-05-01,4262
2015-05-02,4228
2015-05-03,4228
2015-05-04,4214
2015-05-05,4200
2015-05-06,4096
2015-05-07,4035
2015-05-08,3978
2015-05-09,3909
2015-05-10,3832
2015-05-11,3832
2015-05-12,3828
2015-05-13,3765
2015-05-14,3742
2015-05-15,3697
2015-05-16,3697
2015-05-17,3674
2015-05-18,3671
2015-05-19,3696
2015-05-20,3696
2015-05-21,3699
2015-05-22,3731
2015-05-23,3752
2015-05-24,3770
2015-05-25,3727
2015-05-26,3714
2015-05-27,3670
2015-05-28,3666
2015-05-29,3653
2015-05-30,3674
2015-05-31,3716
2015-06-01,3744
2015-06-02,3744
2015-06-03,3756
2015-06-04,3781
2015-06-05,3722
2015-06-06,3707
2015-06-07,3660
2015-06-08,3612
2015-06-09,3594
2015-06-10,3579
2015-06-11,3551
2015-06-12,3529
2015-06-13,3519
2015-06-14,3487
2015-06-15,3472
2015-06-16,3468
2015-06-17,3484
2015-06-18,3488
2015-06-19,3479
2015-06-20,3513
2015-06-21,3539
2015-06-22,3577
2015-06-23,3552
2015-06-24,3374
2015-06-25,3374
2015-06-26,3322
2015-06-27,3337
2015-06-28,3304
2015-06-29,3266
2015-06-30,3154
2015-07-01,3104
2015-07-02,3104
2015-07-03,3057
2015-07-04,2978
2015-07-05,2921
2015-07-06,2918
2015-07-07,2928
2015-07-08,2966
2015-07-09,2966
2015-07-10,3009
2015-07-11,3072
2015-07-12,3089
2015-07-13,3152
2015-07-14,3218
2015-07-15,3245
2015-07-16,3272
2015-07-17,3327
2015-07-18,3365
2015-07-19,3233
2015-07-20,3249
2015-07-21,3271
2015-07-22,3265
2015-07-23,3265
2015-07-24,3312
2015-07-25,3376
2015-07-26,3458
2015-07-27,3480
2015-07-28,3576
2015-07-29,3645
2015-07-30,3744
2015-07-31,3891
2015-08-01,4020
2015-08-02,4109
2015-08-03,4161
2015-08-04,4179
2015-08-05,4236
2015-08-06,4344
2015-08-07,4415
2015-08-08,4510
2015-08-09,4517
2015-08-10,4530
2015-08-11,4513
2015-08-12,4579
2015-08-13,4622
