date_obj,Red%20dragon%20leather price
2015-03-26,3143
2015-03-27,3143
2015-03-28,3143
2015-03-29,3143
2015-03-30,3143
2015-03-31,3017
2015-04-01,3017
2015-04-02,3017
2015-04-03,3017
2015-04-04,3017
2015-04-05,3017
2015-04-06,3017
2015-04-07,3017
2015-04-08,3017
2015-04-09,3017
2015-04-10,3017
2015-04-11,2888
2015-04-12,2888
2015-04-13,2888
2015-04-14,2888
2015-04-15,2888
2015-04-16,2888
2015-04-17,2888
2015-04-18,2888
2015-04-19,2888
2015-04-20,2888
2015-04-21,2888
2015-04-22,2888
2015-04-23,2888
2015-04-24,2888
2015-04-25,2888
2015-04-26,2931
2015-04-27,2931
2015-04-28,2931
2015-04-29,2931
2015-04-30,2931
2015-05-01,2931
2015-05-02,2931
2015-05-03,2931
2015-05-04,2931
2015-05-05,2931
2015-05-06,2931
2015-05-07,2931
2015-05-08,2931
2015-05-09,2931
2015-05-10,2931
2015-05-11,2931
2015-05-12,3012
2015-05-13,3012
2015-05-14,3012
2015-05-15,3012
2015-05-16,3012
2015-05-17,3012
2015-05-18,3012
2015-05-19,3012
2015-05-20,3012
2015-05-21,3012
2015-05-22,3012
2015-05-23,3012
2015-05-24,3012
2015-05-25,3012
2015-05-26,3012
2015-05-27,3012
2015-05-28,2993
2015-05-29,2993
2015-05-30,2993
2015-05-31,2993
2015-06-01,2993
2015-06-02,2993
2015-06-03,2993
2015-06-04,2993
2015-06-05,2993
2015-06-06,2993
2015-06-07,2993
2015-06-08,3004
2015-06-09,3004
2015-06-10,3004
2015-06-11,3004
2015-06-12,3004
2015-06-13,3004
2015-06-14,3004
2015-06-15,3004
2015-06-16,3004
2015-06-17,3004
2015-06-18,3004
2015-06-19,3004
2015-06-20,3004
2015-06-21,3004
2015-06-22,3018
2015-06-23,3018
2015-06-24,3018
2015-06-25,3018
2015-06-26,3018
2015-06-27,3018
2015-06-28,3018
2015-06-29,3018
2015-06-30,3018
2015-07-01,3018
2015-07-02,3018
2015-07-03,3018
2015-07-04,3018
2015-07-05,2984
2015-07-06,2984
2015-07-07,2984
2015-07-08,2984
2015-07-09,2984
2015-07-10,2984
2015-07-11,2984
2015-07-12,2984
2015-07-13,2984
2015-07-14,2984
2015-07-15,2984
2015-07-16,2984
2015-07-17,2910
2015-07-18,2910
2015-07-19,2910
2015-07-20,2910
2015-07-21,2910
2015-07-22,2910
2015-07-23,2910
2015-07-24,2910
2015-07-25,2910
2015-07-26,2910
2015-07-27,2910
2015-07-28,2910
2015-07-29,2910
2015-07-30,2910
2015-07-31,2982
2015-08-01,2982
2015-08-02,2982
2015-08-03,2982
2015-08-04,2982
2015-08-05,2982
2015-08-06,2982
2015-08-07,2982
2015-08-08,2982
2015-08-09,2982
2015-08-10,2982
2015-08-11,2982
2015-08-12,2982
2015-08-13,2982
2015-08-14,3031
2015-08-15,3031
2015-08-16,3031
2015-08-17,3031
2015-08-18,3031
2015-08-19,3031
2015-08-20,3031
2015-08-21,3031
2015-08-22,3031
2015-08-23,3031
2015-08-24,3031
2015-08-25,3031
2015-08-26,3031
2015-08-27,2960
2015-08-28,2960
2015-08-29,2960
2015-08-30,2960
2015-08-31,2960
2015-09-01,2960
2015-09-02,2960
2015-09-03,2960
2015-09-04,2960
2015-09-05,2960
2015-09-06,2960
2015-09-07,2960
2015-09-08,2960
2015-09-09,2960
2015-09-10,2906
2015-09-11,2906
2015-09-12,2906
2015-09-13,2906
2015-09-14,2906
2015-09-15,2906
2015-09-16,2906
2015-09-17,2906
2015-09-18,2906
2015-09-19,2906
2015-09-20,2906
2015-09-21,2906
2015-09-22,2906
2015-09-23,2906
2015-09-24,2906
2015-09-25,2906
2015-09-27,2956
2015-09-28,2956
2015-09-29,2956
2015-09-30,2956
2015-10-05,2956
2015-10-06,2956
2015-10-07,2956
2015-10-08,2956
2015-10-09,2956
2015-10-10,2956
2015-10-11,2956
2015-10-12,2956
2015-10-13,2956
2015-10-14,3017
2015-10-15,3017
2015-10-16,3017
2015-10-17,3017
2015-10-18,3017
2015-10-19,3017
2015-10-20,3017
2015-10-22,3017
2015-10-23,3017
2015-10-24,3017
2015-10-25,3017
2015-10-26,3017
2015-10-27,3017
2015-10-29,3017
2015-10-30,3017
2015-10-31,3092
2015-11-01,3092
2015-11-02,3092
2015-11-03,3092
2015-11-04,3092
2015-11-05,3092
2015-11-06,3092
2015-11-07,3092
2015-11-08,3092
2015-11-09,3092
2015-11-10,3092
2015-11-11,3092
2015-11-12,3092
2015-11-13,3092
2015-11-14,3092
2015-11-15,3092
2015-11-16,3092
2015-11-17,3092
2015-11-18,3092
2015-11-19,3092
2015-11-20,3092
2015-11-21,3092
2015-11-22,3196
2015-11-23,3196
2015-11-24,3196
2015-11-25,3196
2015-11-26,3196
2015-11-27,3196
2015-11-28,3196
2015-11-29,3196
2015-11-30,3196
2015-12-01,3196
2015-12-02,3196
2015-12-03,3196
2015-12-04,3196
2015-12-05,3196
2015-12-06,3196
2015-12-07,3196
2015-12-08,3196
2015-12-09,3255
2015-12-10,3255
2015-12-11,3255
2015-12-12,3255
2015-12-13,3255
2015-12-14,3255
2015-12-15,3255
2015-12-16,3255
2015-12-17,3255
2015-12-18,3255
2015-12-19,3255
2015-12-20,3255
2015-12-21,3255
2015-12-22,3255
2015-12-23,3255
2015-12-24,3255
2015-12-25,3255
2015-12-26,3255
2015-12-27,3361
2015-12-28,3361
2015-12-29,3361
2015-12-30,3361
2015-12-31,3361
2016-01-01,3361
2016-01-02,3361
2016-01-03,3361
2016-01-04,3361
2016-01-05,3361
2016-01-06,3361
2016-01-07,3343
2016-01-08,3343
2016-01-09,3343
2016-01-10,3343
2016-01-11,3343
2016-01-12,3343
2016-01-13,3343
2016-01-14,3343
2016-01-15,3343
2016-01-16,3343
2016-01-17,3343
2016-01-18,3457
2016-01-19,3457
2016-01-20,3457
2016-01-21,3457
2016-01-22,3457
2016-01-23,3457
2016-01-24,3457
2016-01-25,3457
2016-01-26,3457
2016-01-27,3457
2016-01-28,3457
2016-01-29,3457
2016-01-30,3457
2016-01-31,3489
2016-02-01,3489
2016-02-02,3489
2016-02-03,3489
2016-02-04,3489
2016-02-05,3489
2016-02-06,3489
2016-02-07,3489
2016-02-08,3489
2016-02-09,3489
2016-02-10,3489
2016-02-11,3489
2016-02-12,3489
2016-02-13,3567
2016-02-14,3567
2016-02-15,3567
2016-02-16,3567
2016-02-17,3567
2016-02-18,3567
2016-02-19,3567
2016-02-20,3567
2016-02-21,3567
2016-02-22,3567
2016-02-23,3567
2016-02-24,3567
