date_obj,Twisted%20coat%20(t1) price
2020-01-13,10000
2020-01-14,10000
2020-01-15,10500
2020-01-16,11025
2020-01-17,11565
2020-01-18,11565
2020-01-19,12136
2020-01-20,12136
2020-01-21,12716
2020-01-22,12716
2020-01-23,13338
2020-01-24,13338
2020-01-25,13338
2020-01-26,13992
2020-01-27,13992
2020-01-28,13992
2020-01-29,13992
2020-01-30,14673
2020-01-31,14673
2020-02-01,14673
2020-02-02,14673
2020-02-03,14673
2020-02-04,15386
2020-02-05,15386
2020-02-06,15386
2020-02-07,15386
2020-02-08,15386
2020-02-09,15386
2020-02-10,16122
2020-02-11,16122
2020-02-12,16122
2020-02-13,16122
2020-02-14,16122
2020-02-15,16122
2020-02-16,16908
2020-02-17,16908
2020-02-18,16908
2020-02-19,16908
2020-02-20,16908
2020-02-21,16908
2020-02-22,17729
2020-02-23,17729
2020-02-24,17729
2020-02-25,17729
2020-02-26,17729
2020-02-27,17729
2020-02-28,18594
2020-02-29,18594
2020-03-01,18594
2020-03-02,18594
2020-03-03,18594
2020-03-04,18594
2020-03-05,18594
2020-03-06,19462
2020-03-07,19462
2020-03-08,19462
2020-03-09,19462
2020-03-10,19462
2020-03-11,19462
2020-03-12,20412
2020-03-13,20412
2020-03-14,20412
2020-03-15,20412
2020-03-16,20412
2020-03-17,20412
2020-03-18,20412
2020-03-19,20412
2020-03-20,21274
2020-03-21,21274
2020-03-22,21274
2020-03-23,21274
2020-03-24,21274
2020-03-25,21274
2020-03-26,22285
2020-03-27,22285
2020-03-28,22285
2020-03-29,22285
2020-03-30,22285
2020-03-31,22285
2020-04-01,23336
2020-04-02,23336
2020-04-03,23336
2020-04-04,23336
2020-04-05,23336
2020-04-06,23336
2020-04-07,23336
2020-04-08,24420
2020-04-09,24420
2020-04-10,24420
2020-04-11,24420
2020-04-12,24420
2020-04-13,24420
2020-04-14,25610
2020-04-15,25610
2020-04-16,25610
2020-04-17,25610
2020-04-18,25610
2020-04-19,26838
2020-04-20,26838
2020-04-21,26838
2020-04-22,26838
2020-04-23,26838
2020-04-24,26838
2020-04-25,28106
2020-04-26,28106
2020-04-27,28106
2020-04-28,28106
2020-04-29,28106
2020-04-30,29462
2020-05-01,29462
2020-05-02,29462
2020-05-03,29462
2020-05-04,29462
2020-05-05,30855
2020-05-06,30855
2020-05-07,30855
2020-05-08,30855
2020-05-09,30855
2020-05-10,30855
2020-05-11,32302
2020-05-12,32302
2020-05-13,32302
