date_obj,Mystic%20steam%20staff price
2015-03-26,409047
2015-03-27,409047
2015-03-28,409047
2015-03-29,409047
2015-03-30,409047
2015-03-31,409047
2015-04-01,409047
2015-04-02,409047
2015-04-03,409047
2015-04-04,409047
2015-04-05,409047
2015-04-06,409047
2015-04-07,388594
2015-04-08,388594
2015-04-09,388594
2015-04-10,388594
2015-04-11,388594
2015-04-12,388594
2015-04-13,388594
2015-04-14,388594
2015-04-15,388594
2015-04-16,388594
2015-04-17,388594
2015-04-18,388594
2015-04-19,388594
2015-04-20,388594
2015-04-21,388594
2015-04-22,388594
2015-04-23,372007
2015-04-24,372007
2015-04-25,372007
2015-04-26,372007
2015-04-27,372007
2015-04-28,372007
2015-04-29,372007
2015-04-30,372007
2015-05-01,372007
2015-05-02,372007
2015-05-03,372007
2015-05-04,372007
2015-05-05,372007
2015-05-06,372007
2015-05-07,372007
2015-05-08,372007
2015-05-09,372007
2015-05-10,356409
2015-05-11,356409
2015-05-12,356409
2015-05-13,356409
2015-05-14,356409
2015-05-15,356409
2015-05-16,356409
2015-05-17,356409
2015-05-18,356409
2015-05-19,356409
2015-05-20,356409
2015-05-21,356409
2015-05-22,356409
2015-05-23,356409
2015-05-24,356409
2015-05-25,339073
2015-05-26,339073
2015-05-27,339073
2015-05-28,339073
2015-05-29,339073
2015-05-30,339073
2015-05-31,339073
2015-06-01,339073
2015-06-02,339073
2015-06-03,339073
2015-06-04,328795
2015-06-05,328795
2015-06-06,328795
2015-06-07,328795
2015-06-08,328795
2015-06-09,328795
2015-06-10,328795
2015-06-11,328795
2015-06-12,328795
2015-06-13,328795
2015-06-14,319437
2015-06-15,319437
2015-06-16,319437
2015-06-17,319437
2015-06-18,319437
2015-06-19,319437
2015-06-20,319437
2015-06-21,319437
2015-06-22,319437
2015-06-23,303627
2015-06-24,303627
2015-06-25,303627
2015-06-26,303627
2015-06-27,303627
2015-06-28,303627
2015-06-29,303627
2015-06-30,303627
2015-07-01,303627
2015-07-02,303627
2015-07-03,289219
2015-07-04,289219
2015-07-05,289219
2015-07-06,289219
2015-07-07,289219
2015-07-08,289219
2015-07-09,289219
2015-07-10,289219
2015-07-11,289219
2015-07-12,289219
2015-07-13,274758
2015-07-14,274758
2015-07-15,274758
2015-07-16,274758
2015-07-17,274758
2015-07-18,274758
2015-07-19,274758
2015-07-20,274758
2015-07-21,274758
2015-07-22,261927
2015-07-23,261927
2015-07-24,261927
2015-07-25,261927
2015-07-26,261927
2015-07-27,261927
2015-07-28,261927
2015-07-29,248830
2015-07-30,248830
2015-07-31,248830
2015-08-01,248830
2015-08-02,248830
2015-08-03,248830
2015-08-04,248830
2015-08-05,236584
2015-08-06,236584
2015-08-07,236584
2015-08-08,236584
2015-08-09,236584
2015-08-10,236584
2015-08-11,227732
2015-08-12,227732
2015-08-13,227732
2015-08-14,227732
2015-08-15,227732
2015-08-16,227732
2015-08-17,227732
2015-08-18,224879
2015-08-19,224879
2015-08-20,224879
2015-08-21,224879
2015-08-22,224879
2015-08-23,224879
2015-08-24,224879
2015-08-25,224033
2015-08-26,224033
2015-08-27,224033
2015-08-28,224033
2015-08-29,224033
2015-08-30,224033
2015-08-31,219738
2015-09-01,219738
2015-09-02,219738
2015-09-03,219738
2015-09-04,219738
2015-09-05,219738
2015-09-06,219738
2015-09-07,210830
2015-09-08,210830
2015-09-09,210830
2015-09-10,210830
2015-09-11,210830
2015-09-12,203151
2015-09-13,203151
2015-09-14,203151
2015-09-15,203151
2015-09-16,203151
2015-09-17,203151
2015-09-18,203151
2015-09-19,203151
2015-09-20,203573
2015-09-21,203573
2015-09-22,203573
2015-09-23,203573
2015-09-24,203573
2015-09-25,203573
2015-09-27,210113
2015-09-28,210113
2015-09-29,210113
2015-09-30,219202
2015-10-05,229032
2015-10-06,229032
2015-10-07,229032
2015-10-08,229032
2015-10-09,239015
2015-10-10,239015
2015-10-11,239015
2015-10-12,239015
2015-10-13,239015
2015-10-14,249949
2015-10-15,249949
2015-10-16,249949
2015-10-17,249949
2015-10-18,249949
2015-10-19,260808
2015-10-20,260808
2015-10-22,260808
2015-10-23,260808
2015-10-24,271480
2015-10-25,271480
2015-10-26,271480
2015-10-27,271480
2015-10-29,283831
2015-10-30,283831
2015-10-31,283831
2015-11-01,283831
2015-11-02,297119
2015-11-03,297119
2015-11-04,297119
2015-11-05,297119
2015-11-06,297119
2015-11-07,311139
2015-11-08,311139
2015-11-09,311139
2015-11-10,311139
2015-11-11,311139
2015-11-12,311139
2015-11-13,325247
2015-11-14,325247
2015-11-15,325247
2015-11-16,325247
2015-11-17,325247
2015-11-18,339939
