date_obj,Dragon%20platebody price
2018-01-03,5166092
2018-01-04,5386016
2018-01-05,5612278
2018-01-06,5856782
2018-01-07,6108390
2018-01-08,6355619
2018-01-09,6638294
2018-01-10,6638294
2018-01-11,6932427
2018-01-12,7202759
2018-01-13,7518566
2018-01-14,7518566
2018-01-15,7846225
2018-01-16,7846225
2018-01-17,8174652
2018-01-18,8174652
2018-01-19,8174652
2018-01-20,8534871
2018-01-21,8534871
2018-01-22,8902499
2018-01-23,8902499
2018-01-25,9276598
2018-01-26,9689777
2018-01-27,9689777
2018-01-28,10130924
2018-01-29,10130924
2018-01-30,10581913
2018-01-31,10581913
2018-02-01,11060144
2018-02-02,11060144
2018-02-03,11554335
2018-02-04,11554335
2018-02-05,12075723
2018-02-06,12075723
2018-02-07,12620410
2018-02-08,12620410
2018-02-09,13163774
2018-02-10,13163774
2018-02-11,13741071
2018-02-12,13741071
2018-02-13,13741071
2018-02-14,14362742
2018-02-15,14362742
2018-02-16,15011632
2018-02-17,15011632
2018-02-18,15699313
2018-02-19,15699313
2018-02-20,16396025
2018-02-21,16396025
2018-02-22,16396025
2018-02-23,17124242
2018-02-24,17124242
2018-02-25,17124242
2018-02-26,17910581
2018-02-27,17910581
2018-02-28,17910581
2018-03-01,18726788
2018-03-02,18726788
2018-03-03,19567864
2018-03-04,19567864
2018-03-05,19567864
2018-03-06,20455489
2018-03-07,20455489
2018-03-08,20455489
2018-03-09,21409431
2018-03-10,21409431
2018-03-11,21409431
2018-03-12,21592361
2018-03-13,21592361
2018-03-14,21592361
2018-03-15,21592361
2018-03-16,20798393
2018-03-17,20798393
2018-03-18,20798393
2018-03-20,19809673
2018-03-21,19809673
2018-03-23,19809673
2018-03-24,18854971
2018-03-25,18854971
2018-03-26,18854971
2018-03-27,17960147
2018-03-28,17960147
2018-03-29,17960147
2018-03-30,17960147
2018-03-31,17657296
2018-04-01,17657296
2018-04-02,17657296
2018-04-03,17605897
2018-04-04,17605897
2018-04-05,17605897
2018-04-06,17605897
2018-04-07,17330774
2018-04-08,17330774
2018-04-09,17330774
2018-04-10,17049250
2018-04-11,17049250
2018-04-12,17049250
2018-04-13,17272827
2018-04-14,17272827
2018-04-15,17272827
2018-04-16,17076030
2018-04-17,17076030
2018-04-18,17076030
2018-04-19,17076030
2018-04-20,16797114
2018-04-21,16797114
2018-04-22,16797114
2018-04-23,16538597
2018-04-24,16538597
2018-04-25,16538597
2018-04-26,16538597
2018-04-27,16010864
2018-04-28,16010864
2018-04-29,16135535
2018-04-30,16135535
2018-05-01,16426126
2018-05-03,16426126
2018-05-04,16426126
2018-05-05,16329026
2018-05-07,16329026
2018-05-08,16329026
2018-05-09,16270642
2018-05-10,16270642
2018-05-11,16270642
2018-05-12,15603612
2018-05-13,15603612
2018-05-14,15603612
2018-05-15,15603612
2018-05-16,15411945
2018-05-17,15411945
