date_obj,Red%20topaz price
2015-03-26,11699
2015-03-27,11699
2015-03-28,11114
2015-03-29,11114
2015-03-30,10558
2015-03-31,10558
2015-04-01,10558
2015-04-02,10030
2015-04-03,10030
2015-04-04,9528
2015-04-05,9528
2015-04-06,9074
2015-04-07,9074
2015-04-08,9074
2015-04-09,8620
2015-04-10,8620
2015-04-11,8189
2015-04-12,8189
2015-04-13,7800
2015-04-14,7800
2015-04-15,7420
2015-04-16,7420
2015-04-17,7054
2015-04-18,7054
2015-04-19,6710
2015-04-20,6710
2015-04-21,6710
2015-04-22,6377
2015-04-23,6377
2015-04-24,6063
2015-04-25,6063
2015-04-26,5763
2015-04-27,5763
2015-04-28,5474
2015-04-29,5474
2015-04-30,5474
2015-05-01,5200
2015-05-02,5200
2015-05-03,5200
2015-05-04,4940
2015-05-05,4940
2015-05-06,4700
2015-05-07,4700
2015-05-08,4471
2015-05-09,4471
2015-05-10,4247
2015-05-11,4247
2015-05-12,4036
2015-05-13,4036
2015-05-14,4036
2015-05-15,3834
2015-05-16,3834
2015-05-17,3642
2015-05-18,3642
2015-05-19,3642
2015-05-20,3459
2015-05-21,3459
2015-05-22,3459
2015-05-23,3286
2015-05-24,3286
2015-05-25,3121
2015-05-26,3121
2015-05-27,3121
2015-05-28,2964
2015-05-29,2964
2015-05-30,2815
2015-05-31,2815
2015-06-01,2679
2015-06-02,2679
2015-06-03,2679
2015-06-04,2548
2015-06-05,2548
2015-06-06,2445
2015-06-07,2445
2015-06-08,2385
2015-06-09,2385
2015-06-10,2348
2015-06-11,2348
2015-06-12,2348
2015-06-13,2352
2015-06-14,2352
2015-06-15,2470
2015-06-16,2470
2015-06-17,2433
2015-06-18,2433
2015-06-19,2324
2015-06-20,2324
2015-06-21,2207
2015-06-22,2207
2015-06-23,2104
2015-06-24,2104
2015-06-25,1998
2015-06-26,1905
2015-06-27,1905
2015-06-28,1809
2015-06-29,1809
2015-06-30,1718
2015-07-01,1718
2015-07-02,1637
2015-07-03,1559
2015-07-04,1559
2015-07-05,1481
2015-07-06,1481
2015-07-07,1406
2015-07-08,1406
2015-07-09,1336
2015-07-10,1336
2015-07-11,1337
2015-07-12,1337
2015-07-13,1272
2015-07-14,1272
2015-07-15,1257
2015-07-16,1257
2015-07-17,1195
2015-07-18,1195
2015-07-19,1195
2015-07-20,1136
2015-07-21,1136
2015-07-22,1107
2015-07-23,1107
2015-07-24,1081
2015-07-25,1081
2015-07-26,1041
2015-07-27,1041
2015-07-28,1015
2015-07-29,1015
2015-07-30,1064
2015-07-31,1064
2015-08-01,1114
2015-08-02,1168
2015-08-03,1168
2015-08-04,1200
2015-08-05,1200
2015-08-06,1245
2015-08-07,1245
2015-08-08,1273
2015-08-09,1273
2015-08-10,1284
2015-08-11,1284
2015-08-12,1220
2015-08-13,1220
2015-08-14,1193
2015-08-15,1193
2015-08-16,1193
2015-08-17,1249
2015-08-18,1249
2015-08-19,1302
2015-08-20,1302
2015-08-21,1368
2015-08-22,1368
2015-08-23,1422
2015-08-24,1422
2015-08-25,1422
2015-08-26,1494
2015-08-27,1494
2015-08-28,1553
2015-08-29,1553
2015-08-30,1594
2015-08-31,1594
2015-09-01,1641
2015-09-02,1641
2015-09-03,1641
2015-09-04,1632
2015-09-05,1632
2015-09-06,1632
2015-09-07,1606
2015-09-08,1606
2015-09-09,1671
2015-09-10,1671
2015-09-11,1709
2015-09-12,1709
2015-09-13,1750
2015-09-14,1750
2015-09-15,1717
2015-09-16,1717
2015-09-17,1717
2015-09-18,1667
2015-09-19,1667
2015-09-20,1672
2015-09-21,1672
2015-09-22,1672
2015-09-23,1669
2015-09-24,1669
2015-09-25,1669
2015-09-27,1679
2015-09-28,1709
2015-09-29,1709
2015-09-30,1670
2015-10-05,1659
2015-10-06,1616
2015-10-07,1616
2015-10-08,1616
2015-10-09,1563
2015-10-10,1563
2015-10-11,1497
2015-10-12,1497
2015-10-13,1497
2015-10-14,1469
2015-10-15,1469
2015-10-16,1460
2015-10-17,1460
2015-10-18,1460
2015-10-19,1456
2015-10-20,1456
2015-10-22,1483
2015-10-23,1483
2015-10-24,1500
2015-10-25,1500
2015-10-26,1502
2015-10-27,1502
2015-10-29,1577
2015-10-30,1577
2015-10-31,1577
2015-11-01,1582
2015-11-02,1582
2015-11-03,1582
2015-11-04,1564
2015-11-05,1564
2015-11-06,1564
2015-11-07,1526
2015-11-08,1526
2015-11-09,1526
2015-11-10,1452
2015-11-11,1452
2015-11-12,1408
2015-11-13,1408
2015-11-14,1408
2015-11-15,1408
2015-11-16,1408
2015-11-17,1408
2015-11-18,1383
2015-11-19,1383
2015-11-20,1335
2015-11-21,1335
2015-11-22,1271
2015-11-23,1271
2015-11-24,1271
2015-11-25,1228
2015-11-26,1228
2015-11-27,1228
2015-11-28,1174
2015-11-29,1174
2015-11-30,1130
2015-12-01,1130
2015-12-02,1130
2015-12-03,1074
2015-12-04,1074
2015-12-05,1074
2015-12-06,1020
2015-12-07,1020
2015-12-08,1020
2015-12-09,998
2015-12-10,998
2015-12-11,953
2015-12-12,953
2015-12-13,907
2015-12-14,907
2015-12-15,907
2015-12-16,861
2015-12-17,861
2015-12-18,820
2015-12-19,820
2015-12-20,779
2015-12-21,779
2015-12-22,769
2015-12-23,769
2015-12-24,801
2015-12-25,801
2015-12-26,801
2015-12-27,761
2015-12-28,761
2015-12-29,764
2015-12-30,764
2015-12-31,803
2016-01-01,803
2016-01-02,803
2016-01-03,844
2016-01-04,844
2016-01-05,887
2016-01-06,887
2016-01-07,932
2016-01-08,932
2016-01-09,979
2016-01-10,979
2016-01-11,1022
2016-01-12,1022
2016-01-13,1056
2016-01-14,1056
2016-01-15,1049
2016-01-16,1049
2016-01-17,1102
2016-01-18,1102
2016-01-19,1158
2016-01-20,1158
2016-01-21,1216
2016-01-22,1216
2016-01-23,1277
2016-01-24,1277
