date_obj,Tarromin%20potion%20(unf) price
2015-03-26,101
2015-03-27,101
2015-03-28,101
2015-03-29,101
2015-03-30,101
2015-03-31,101
2015-04-01,101
2015-04-02,101
2015-04-03,106
2015-04-04,106
2015-04-05,106
2015-04-06,106
2015-04-07,104
2015-04-08,104
2015-04-09,104
2015-04-10,104
2015-04-11,99
2015-04-12,99
2015-04-13,99
2015-04-14,99
2015-04-15,97
2015-04-16,97
2015-04-17,97
2015-04-18,97
2015-04-19,94
2015-04-20,94
2015-04-21,94
2015-04-22,94
2015-04-23,94
2015-04-24,97
2015-04-25,97
2015-04-26,97
2015-04-27,97
2015-04-28,99
2015-04-29,99
2015-04-30,99
2015-05-01,99
2015-05-02,99
2015-05-03,99
2015-05-04,99
2015-05-05,99
2015-05-06,99
2015-05-07,103
2015-05-08,103
2015-05-09,103
2015-05-10,103
2015-05-11,103
2015-05-12,105
2015-05-13,105
2015-05-14,105
2015-05-15,105
2015-05-16,105
2015-05-17,109
2015-05-18,109
2015-05-19,109
2015-05-20,109
2015-05-21,109
2015-05-22,109
2015-05-23,111
2015-05-24,111
2015-05-25,111
2015-05-26,111
2015-05-27,111
2015-05-28,109
2015-05-29,109
2015-05-30,109
2015-05-31,110
2015-06-01,110
2015-06-02,110
2015-06-03,109
2015-06-04,109
2015-06-05,109
2015-06-06,113
2015-06-07,113
2015-06-08,113
2015-06-09,113
2015-06-10,115
2015-06-11,115
2015-06-12,115
2015-06-13,115
2015-06-14,116
2015-06-15,116
2015-06-16,116
2015-06-17,116
2015-06-18,115
2015-06-19,115
2015-06-20,115
2015-06-21,115
2015-06-22,116
2015-06-23,116
2015-06-24,116
2015-06-25,116
2015-06-26,115
2015-06-27,115
2015-06-28,115
2015-06-29,115
2015-06-30,111
2015-07-01,111
2015-07-02,111
2015-07-03,111
2015-07-04,108
2015-07-05,108
2015-07-06,108
2015-07-07,108
2015-07-08,106
2015-07-09,106
2015-07-10,106
2015-07-11,106
2015-07-12,104
2015-07-13,104
2015-07-14,104
2015-07-15,104
2015-07-16,104
2015-07-17,104
2015-07-18,104
2015-07-19,104
2015-07-20,109
2015-07-21,109
2015-07-22,109
2015-07-23,109
2015-07-24,104
2015-07-25,104
2015-07-26,104
2015-07-27,104
2015-07-28,100
2015-07-29,100
2015-07-30,100
2015-07-31,100
2015-08-01,100
2015-08-02,100
2015-08-03,100
2015-08-04,100
2015-08-05,97
2015-08-06,97
2015-08-07,97
2015-08-08,97
2015-08-09,98
2015-08-10,98
2015-08-11,98
2015-08-12,98
2015-08-13,99
2015-08-14,99
2015-08-15,99
2015-08-16,103
2015-08-17,103
2015-08-18,103
2015-08-19,107
2015-08-20,107
2015-08-21,107
2015-08-22,113
2015-08-23,113
2015-08-24,113
2015-08-25,113
2015-08-26,119
2015-08-27,119
2015-08-28,119
2015-08-29,122
2015-08-30,122
2015-08-31,122
2015-09-01,122
2015-09-02,121
2015-09-03,121
2015-09-04,121
2015-09-05,120
2015-09-06,120
2015-09-07,120
2015-09-08,120
2015-09-09,121
2015-09-10,121
2015-09-11,121
2015-09-12,121
2015-09-13,114
2015-09-14,114
2015-09-15,114
2015-09-16,114
2015-09-17,114
2015-09-18,114
2015-09-19,114
2015-09-20,114
2015-09-21,114
2015-09-22,114
2015-09-23,114
2015-09-24,114
2015-09-25,113
2015-09-27,113
2015-09-28,113
2015-09-29,110
2015-09-30,110
2015-10-05,113
2015-10-06,113
2015-10-07,111
2015-10-08,111
2015-10-09,111
2015-10-10,111
2015-10-11,106
2015-10-12,106
2015-10-13,106
2015-10-14,106
2015-10-15,105
