date_obj,Ensouled%20bloodveld%20head price
2016-01-07,5252
2016-01-08,5432
2016-01-09,5415
2016-01-10,5281
2016-01-11,5016
2016-01-12,4784
2016-01-13,4630
2016-01-14,4859
2016-01-15,5102
2016-01-16,5354
2016-01-17,5620
2016-01-18,5720
2016-01-19,5713
2016-01-20,5496
2016-01-21,5247
2016-01-22,5003
2016-01-23,4752
2016-01-24,4514
2016-01-25,4324
2016-01-26,4257
2016-01-27,4266
2016-01-28,4450
2016-01-29,4458
2016-01-30,4235
2016-01-31,4162
2016-02-01,4371
2016-02-02,4590
2016-02-03,4820
2016-02-04,5061
2016-02-05,5315
2016-02-06,5581
2016-02-07,5861
2016-02-08,6072
2016-02-09,6157
2016-02-10,6258
2016-02-11,5945
2016-02-12,5690
2016-02-13,5408
2016-02-14,5160
2016-02-15,5216
2016-02-16,5434
2016-02-17,5652
2016-02-18,5504
2016-02-19,5490
2016-02-20,5467
2016-02-21,5636
2016-02-22,5701
2016-02-23,5794
2016-02-24,5785
2016-02-25,5854
2016-02-26,5874
2016-02-27,5914
2016-02-28,6182
2016-02-29,6417
2016-03-01,6728
2016-03-02,6447
2016-03-03,6430
2016-03-04,6657
2016-03-05,6691
2016-03-06,6794
2016-03-07,6815
2016-03-08,6856
2016-03-09,7048
2016-03-10,7394
2016-03-11,7686
2016-03-12,7886
2016-03-13,7957
2016-03-14,7793
2016-03-15,7422
2016-03-16,7050
2016-03-17,6700
2016-03-18,6460
2016-03-19,6274
2016-03-20,6109
2016-03-21,6243
2016-03-22,6311
2016-03-23,6132
2016-03-24,6156
2016-03-25,6196
2016-03-26,6308
2016-03-27,6349
2016-03-28,6202
2016-03-29,5929
2016-03-30,5913
2016-03-31,5839
2016-04-01,5805
2016-04-02,5645
2016-04-03,5581
2016-04-04,5821
2016-04-05,5942
2016-04-06,5912
2016-04-07,5957
2016-04-08,6134
2016-04-09,6120
2016-04-10,6060
2016-04-11,5773
2016-04-12,5618
2016-04-13,5854
2016-04-14,6134
2016-04-15,6218
2016-04-16,5935
2016-04-17,5748
2016-04-18,5745
2016-04-19,5799
2016-04-20,6027
2016-04-21,6116
2016-04-22,5910
2016-04-23,5625
2016-04-24,5476
2016-04-25,5375
2016-04-26,5542
2016-04-27,5625
2016-04-28,5676
2016-04-29,5603
2016-04-30,5365
2016-05-01,5388
2016-05-02,5570
2016-05-03,5439
2016-05-04,5285
2016-05-05,5285
2016-05-06,5457
2016-05-07,5621
2016-05-08,5583
2016-05-09,5315
2016-05-10,5167
2016-05-11,5028
2016-05-12,4813
2016-05-13,4872
2016-05-14,5116
2016-05-15,5278
2016-05-16,5478
2016-05-17,5477
2016-05-18,5216
2016-05-19,5138
2016-05-22,4833
2016-05-23,4592
2016-05-24,4532
2016-05-25,4518
2016-05-26,4700
2016-05-27,4611
2016-05-28,4794
2016-05-29,4678
2016-05-30,4797
2016-05-31,4980
2016-06-01,5053
2016-06-02,5102
2016-06-03,5070
2016-06-04,4926
2016-06-05,4782
2016-06-06,5016
2016-06-07,5052
2016-06-08,4885
2016-06-09,4809
2016-06-10,4829
2016-06-11,4813
2016-06-12,4738
2016-06-13,4658
2016-06-14,4755
2016-06-15,4834
2016-06-16,4890
2016-06-17,4903
2016-06-18,4943
2016-06-19,5092
2016-06-20,5117
2016-06-21,5317
2016-06-22,5273
2016-06-23,5094
2016-06-24,5080
2016-06-25,5149
2016-06-26,4982
2016-06-27,5229
2016-06-28,5490
2016-06-29,5765
2016-06-30,6054
2016-07-01,6148
2016-07-02,5840
2016-07-03,5660
2016-07-04,5379
2016-07-05,5437
2016-07-06,5586
2016-07-07,5453
2016-07-08,5570
2016-07-09,5687
2016-07-10,5794
2016-07-11,5866
2016-07-12,5774
2016-07-13,5880
2016-07-14,5830
2016-07-15,5896
2016-07-16,5940
2016-07-17,5955
2016-07-18,5871
2016-07-23,6446
2016-07-24,6568
2016-07-25,6744
2016-07-26,6997
2016-07-27,6781
2016-07-28,6527
2016-07-29,6553
2016-07-30,6589
2016-07-31,6822
2016-08-01,6869
2016-08-02,6574
2016-08-03,6499
2016-08-04,6355
2016-08-05,6255
2016-08-06,6135
2016-08-07,6103
2016-08-08,6402
2016-08-09,6413
2016-08-10,6413
2016-08-11,6218
2016-08-12,6124
2016-08-13,6357
2016-08-14,6309
2016-08-15,6257
2016-08-16,6175
2016-08-17,6270
2016-08-18,6245
2016-08-19,6074
2016-08-20,6194
2016-08-21,6503
2016-08-22,6495
2016-08-23,6491
2016-08-24,6324
2016-08-25,6029
2016-08-26,5784
2016-08-28,5847
2016-08-31,5547
2016-09-01,5667
2016-09-02,5618
2016-09-03,5594
2016-09-04,5491
2016-09-05,5298
2016-09-06,5111
2016-09-07,4894
2016-09-08,4760
2016-09-09,4610
2016-09-10,4729
2016-09-11,4737
2016-09-12,4904
2016-09-13,4920
2016-09-14,4954
2016-09-15,5158
2016-09-16,5299
2016-09-17,5416
2016-09-18,5268
2016-09-19,5164
2016-09-20,5044
2016-09-21,4866
2016-09-22,4943
2016-09-23,4847
2016-09-24,5016
2016-09-25,5106
2016-09-26,4990
2016-09-27,4984
2016-09-28,5086
2016-09-29,5242
2016-09-30,5013
2016-10-01,4916
2016-10-02,4789
2016-10-03,4612
2016-10-04,4647
2016-10-05,4843
2016-10-06,5008
2016-10-07,5001
2016-10-08,4992
2016-10-09,4828
2016-10-10,4727
2016-10-11,4630
2016-10-12,4690
2016-10-13,4682
2016-10-14,4666
2016-10-15,4767
2016-10-16,4796
2016-10-17,4755
2016-10-18,4720
2016-10-19,4800
2016-10-20,4833
2016-10-21,4885
2016-10-22,4891
2016-10-23,4900
2016-10-24,4837
2016-10-25,4822
2016-10-26,4833
2016-10-27,4822
2016-10-28,4640
2016-10-29,4811
2016-10-30,4765
2016-10-31,4664
2016-11-01,4839
2016-11-02,4655
2016-11-03,4787
2016-11-04,4819
2016-11-05,4775
2016-11-06,4912
2016-11-07,4880
2016-11-08,4944
2016-11-09,4924
2016-11-10,4729
2016-11-11,4538
2016-11-12,4663
2016-11-13,4805
2016-11-14,4921
2016-11-15,4796
2016-12-07,5668
2016-12-08,5449
2016-12-09,5594
2016-12-10,5797
2016-12-11,5784
2016-12-12,5581
2016-12-13,5627
2016-12-14,5514
2016-12-15,5376
2016-12-16,5586
2016-12-17,5470
2016-12-18,5395
2016-12-19,5488
2016-12-20,5472
2016-12-21,5599
2016-12-22,5599
2016-12-23,5673
2016-12-24,5854
2016-12-25,5970
2016-12-26,5758
2016-12-27,5651
2016-12-28,5792
2016-12-29,5890
2016-12-30,5920
2016-12-31,6081
2017-01-01,5853
2017-01-02,5914
2017-01-03,5739
2017-01-04,5685
2017-01-05,5513
2017-01-06,5451
2017-01-07,5311
2017-01-08,5299
2017-01-09,5068
2017-01-10,4902
2017-01-11,4825
2017-01-12,4770
2017-01-13,4788
2017-01-14,4783
2017-01-15,4971
2017-01-16,5152
2017-01-17,5189
2017-01-18,5259
2017-01-19,5364
2017-01-20,5357
2017-01-21,5300
2017-01-22,5311
2017-01-23,5442
2017-01-27,5573
2017-01-28,5626
2017-01-29,5688
2017-01-30,5762
2017-01-31,5710
2017-02-01,5615
2017-02-02,5491
2017-02-03,5243
2017-02-04,5242
2017-02-05,5133
2017-02-06,5316
2017-02-07,5427
2017-02-08,5554
2017-02-09,5684
2017-02-10,5827
2017-02-11,5795
2017-02-12,5981
2017-02-13,6171
2017-02-14,6062
2017-02-15,5886
2017-02-16,5680
2017-02-18,5777
2017-02-19,5619
2017-02-20,5571
2017-02-21,5758
2017-02-22,5926
2017-02-23,5798
2017-02-24,5574
2017-02-25,5367
2017-02-26,5218
2017-02-27,5077
2017-02-28,5194
2017-03-01,5086
2017-03-02,5257
2017-03-03,5520
2017-03-04,5625
2017-03-05,5409
2017-03-06,5320
2017-03-07,5343
2017-03-08,5416
2017-03-09,5563
2017-03-10,5584
2017-03-11,5524
2017-03-12,5532
2017-03-13,5444
2017-03-14,5474
2017-03-15,5408
2017-03-16,5409
2017-03-17,5317
2017-03-18,5199
2017-03-19,5216
2017-03-20,5327
2017-03-21,5281
2017-03-22,5251
2017-03-23,5018
2017-03-24,4998
2017-03-25,5027
2017-03-26,4941
2017-03-27,4817
2017-03-28,4806
2017-03-29,4987
2017-03-30,4921
2017-03-31,4937
2017-04-01,5084
2017-04-02,5000
2017-04-03,4907
2017-04-04,4929
2017-04-12,5148
2017-04-13,5060
2017-04-14,4888
2017-04-15,5061
2017-04-16,4948
2017-04-17,4819
2017-04-18,4703
2017-04-19,4803
2017-04-20,4893
2017-04-21,4977
2017-04-22,4889
2017-04-23,4819
2017-04-24,4837
2017-04-25,4836
2017-04-26,4803
2017-04-27,4812
2017-04-28,4785
2017-04-29,4825
2017-04-30,4834
2017-05-01,4911
2017-05-02,5087
2017-05-03,5080
2017-05-04,5152
2017-05-05,4958
2017-05-06,4934
2017-05-07,5046
2017-05-08,5056
2017-05-09,5088
2017-05-10,4887
2017-05-11,4968
2017-05-12,4949
2017-05-13,4776
2017-05-14,4799
2017-05-15,4733
2017-05-16,4791
2017-05-17,4856
2017-05-18,4735
2017-05-19,4845
2017-05-20,4800
2017-05-21,4721
2017-05-22,4738
2017-05-23,4710
2017-05-24,4761
2017-05-25,4803
2017-05-26,4921
2017-05-27,4890
2017-05-28,5043
2017-05-29,5184
2017-05-30,5205
2017-05-31,5071
2017-06-01,4968
2017-06-02,4948
2017-06-03,4949
2017-06-04,4930
2017-06-05,4944
2017-06-06,4876
2017-06-07,5004
2017-06-08,4978
2017-06-09,4855
2017-06-10,4930
2017-06-11,4922
2017-06-12,4813
2017-06-13,4808
2017-06-14,4872
2017-06-15,4915
2017-06-16,4985
2017-06-17,4803
2017-06-18,4739
2017-06-19,4733
2017-06-20,4778
2017-06-21,4834
2017-06-22,4721
2017-06-23,4682
2017-06-24,4702
2017-06-25,4584
2017-06-26,4728
2017-06-27,4789
2017-06-28,4750
2017-06-29,4787
2017-06-30,4868
2017-07-01,5071
2017-07-02,4949
2017-07-03,4899
2017-07-04,4964
2017-07-05,4942
2017-07-06,5083
2017-07-07,5023
2017-07-08,5166
2017-07-13,5040
2017-07-14,5123
2017-07-15,5019
2017-07-16,4883
2017-07-17,4962
2017-07-18,5043
2017-07-19,5089
2017-07-20,5277
2017-07-21,5317
2017-07-22,5308
2017-07-23,5227
2017-07-24,5111
2017-07-25,5108
2017-07-26,5260
2017-07-27,5105
2017-07-28,5290
2017-07-29,5379
2017-07-30,5227
2017-07-31,5262
2017-08-01,5160
2017-08-02,5211
2017-08-03,5169
2017-08-04,5123
2017-08-05,5085
2017-08-06,4925
2017-08-09,5208
2017-08-10,5188
2017-08-11,5215
2017-08-12,5266
2017-08-13,5129
2017-08-14,4921
2017-08-15,4909
2017-08-16,4998
2017-08-17,4887
2017-08-18,4772
2017-08-19,4721
2017-08-20,4709
2017-08-21,4840
2017-08-22,4929
2017-08-23,4897
2017-08-24,4899
2017-08-25,4860
2017-08-26,4905
2017-08-27,4919
2017-08-28,4862
2017-08-29,4858
2017-08-30,4712
2017-08-31,4648
2017-09-01,4708
2017-09-03,4903
2017-09-04,4931
2017-09-05,4864
2017-09-06,4812
2017-09-07,4784
2017-09-08,4817
2017-09-09,4740
2017-09-10,4721
2017-09-11,4655
2017-09-12,4553
2017-09-13,4477
2017-09-14,4458
2017-09-15,4550
2017-09-16,4531
2017-09-17,4600
2017-09-18,4613
2017-09-19,4729
2017-09-20,4713
2017-09-21,4727
2017-09-22,4689
2017-09-23,4736
2017-09-24,4651
2017-09-25,4591
2017-09-26,4565
2017-09-27,4551
2017-09-28,4428
2017-09-29,4347
2017-09-30,4514
