date_obj,Rune%20full%20helm price
2015-03-26,21380
2015-03-27,21316
2015-03-28,21565
2015-03-29,21411
2015-03-30,21491
2015-03-31,21628
2015-04-01,21416
2015-04-02,21315
2015-04-03,21078
2015-04-04,21156
2015-04-05,21028
2015-04-06,20962
2015-04-07,21067
2015-04-08,21052
2015-04-09,21001
2015-04-10,21309
2015-04-11,21140
2015-04-12,21297
2015-04-13,21521
2015-04-14,21496
2015-04-15,21644
2015-04-16,21646
2015-04-17,21761
2015-04-18,21446
2015-04-19,21460
2015-04-20,21673
2015-04-21,21776
2015-04-22,21803
2015-04-23,21764
2015-04-24,21694
2015-04-25,21445
2015-04-26,21373
2015-04-27,21450
2015-04-28,21324
2015-04-29,21370
2015-04-30,21604
2015-05-01,21372
2015-05-02,21114
2015-05-03,20994
2015-05-04,20949
2015-05-05,20975
2015-05-06,21120
2015-05-07,21269
2015-05-08,21339
2015-05-09,21337
2015-05-10,21217
2015-05-11,21157
2015-05-12,21209
2015-05-13,21262
2015-05-14,21250
2015-05-15,21204
2015-05-16,21271
2015-05-17,21373
2015-05-18,21592
2015-05-19,21539
2015-05-20,21639
2015-05-21,21925
2015-05-22,21937
2015-05-23,21641
2015-05-24,21515
2015-05-25,21442
2015-05-26,21552
2015-05-27,21473
2015-05-28,21470
2015-05-29,21383
2015-05-30,21214
2015-05-31,21223
2015-06-01,21292
2015-06-02,21311
2015-06-03,21377
2015-06-04,21418
2015-06-05,21316
2015-06-06,21231
2015-06-07,21295
2015-06-08,21342
2015-06-09,21427
2015-06-10,21391
2015-06-11,21404
2015-06-12,21506
2015-06-13,21552
2015-06-14,21613
2015-06-15,21705
2015-06-16,21670
2015-06-17,21738
2015-06-18,21808
2015-06-19,21794
2015-06-20,21807
2015-06-21,21778
2015-06-22,21683
2015-06-23,21782
2015-06-24,21847
2015-06-25,21710
2015-06-26,21684
2015-06-27,21698
2015-06-28,21731
2015-06-29,21578
2015-06-30,21376
2015-07-01,21420
2015-07-02,21348
2015-07-03,21417
2015-07-04,21100
2015-07-05,20969
2015-07-06,21045
2015-07-07,21254
2015-07-08,21612
2015-07-09,21737
2015-07-10,21637
2015-07-11,21592
2015-07-12,21645
2015-07-13,21621
2015-07-14,21726
2015-07-15,21917
2015-07-16,21812
2015-07-17,21846
2015-07-18,22061
2015-07-19,21802
2015-07-20,21694
2015-07-21,21754
2015-07-22,21968
2015-07-23,21975
2015-07-24,21736
2015-07-25,21391
2015-07-26,21276
2015-07-27,21261
2015-07-28,21327
2015-07-29,21516
2015-07-30,21638
2015-07-31,21671
2015-08-01,21714
2015-08-02,21812
2015-08-03,21846
2015-08-04,21906
2015-08-05,21997
2015-08-06,22074
2015-08-07,22367
2015-08-08,22477
2015-08-09,22458
2015-08-10,22612
2015-08-11,22668
2015-08-12,22857
2015-08-13,22724
2015-08-14,22527
2015-08-15,21962
2015-08-16,21508
2015-08-17,21681
2015-08-18,22082
2015-08-19,22210
2015-08-20,22382
2015-08-21,22377
2015-08-22,22077
2015-08-23,21799
2015-08-24,21686
2015-08-25,21694
