date_obj,Black%20kiteshield price
2015-03-26,5141
2015-03-27,5141
2015-03-28,4917
2015-03-29,4707
2015-03-30,4707
2015-03-31,4608
2015-04-01,4608
2015-04-02,4455
2015-04-03,4455
2015-04-04,4317
2015-04-05,4317
2015-04-06,4144
2015-04-07,4144
2015-04-08,3988
2015-04-09,3988
2015-04-10,3852
2015-04-11,3852
2015-04-12,3819
2015-04-13,3819
2015-04-14,3815
2015-04-15,3815
2015-04-16,3811
2015-04-17,3811
2015-04-18,3871
2015-04-19,3871
2015-04-20,3954
2015-04-21,3954
2015-04-22,3968
2015-04-23,4058
2015-04-24,4058
2015-04-25,3992
2015-04-26,3992
2015-04-27,3893
2015-04-28,4032
2015-04-29,4032
2015-04-30,4155
2015-05-01,4155
2015-05-02,4057
2015-05-03,4057
2015-05-04,3919
2015-05-05,3919
2015-05-06,3724
2015-05-07,3724
2015-05-08,3537
2015-05-09,3376
2015-05-10,3304
2015-05-11,3304
2015-05-12,3242
2015-05-13,3242
2015-05-14,3135
2015-05-15,3135
2015-05-16,2998
2015-05-17,2861
2015-05-18,2861
2015-05-19,2760
2015-05-20,2760
2015-05-21,2760
2015-05-22,2637
2015-05-23,2637
2015-05-24,2545
2015-05-25,2429
2015-05-26,2429
2015-05-27,2322
2015-05-28,2227
2015-05-29,2130
2015-05-30,2032
2015-05-31,2032
2015-06-01,1969
2015-06-02,1969
2015-06-03,1918
2015-06-04,1918
2015-06-05,1846
2015-06-06,1794
2015-06-07,1754
2015-06-08,1754
2015-06-09,1781
2015-06-10,1839
2015-06-11,1839
2015-06-12,1923
2015-06-13,2020
2015-06-14,2074
2015-06-15,2074
2015-06-16,2026
2015-06-17,2026
2015-06-18,2061
2015-06-19,2061
2015-06-20,1972
2015-06-21,1972
2015-06-22,1897
2015-06-23,1897
2015-06-24,1817
2015-06-25,1817
2015-06-26,1758
2015-06-27,1758
2015-06-28,1690
2015-06-29,1690
2015-06-30,1687
2015-07-01,1722
2015-07-02,1722
2015-07-03,1737
2015-07-04,1737
2015-07-05,1775
2015-07-06,1775
2015-07-07,1765
2015-07-08,1721
2015-07-09,1721
2015-07-10,1695
2015-07-11,1695
2015-07-12,1658
2015-07-13,1680
2015-07-14,1701
2015-07-15,1757
2015-07-16,1757
2015-07-17,1782
2015-07-18,1782
2015-07-19,1836
2015-07-20,1888
2015-07-21,1888
2015-07-22,1864
2015-07-23,1864
2015-07-24,1884
2015-07-25,1884
2015-07-26,1886
2015-07-27,1838
2015-07-28,1838
2015-07-29,1902
2015-07-30,1902
2015-07-31,1952
2015-08-01,1952
2015-08-02,1948
2015-08-03,1948
2015-08-04,1954
