date_obj,Xerician%20hat price
2016-01-08,696
2016-01-09,731
2016-01-10,768
2016-01-11,807
2016-01-12,848
2016-01-13,888
2016-01-14,933
2016-01-15,980
2016-01-16,1027
2016-01-17,1078
2016-01-18,1129
2016-01-19,1179
2016-01-20,1238
2016-01-21,1297
2016-01-22,1362
2016-01-23,1430
2016-01-24,1501
2016-01-25,1577
2016-01-26,1655
2016-01-27,1738
2016-01-28,1738
2016-01-29,1825
2016-01-30,1825
2016-01-31,1917
2016-02-01,2013
2016-02-02,2105
2016-02-03,2210
2016-02-04,2318
2016-02-05,2318
2016-02-06,2434
2016-02-07,2549
2016-02-08,2675
2016-02-09,2799
2016-02-10,2933
2016-02-11,2933
2016-02-12,3080
2016-02-13,3234
2016-02-14,3234
2016-02-15,3396
2016-02-16,3562
2016-02-17,3717
2016-02-18,3717
2016-02-19,3903
2016-02-20,4094
2016-02-21,4299
2016-02-22,4299
2016-02-23,4514
2016-02-24,4514
2016-02-25,4740
2016-02-26,4740
2016-02-27,4977
2016-02-28,4977
2016-02-29,5226
2016-03-01,5461
2016-03-02,5461
2016-03-03,5735
2016-03-04,5735
2016-03-05,6022
2016-03-06,6289
2016-03-07,6289
2016-03-08,6604
2016-03-09,6935
2016-03-10,7282
2016-03-11,7282
2016-03-12,7647
2016-03-13,7647
2016-03-14,8030
2016-03-15,8432
2016-03-16,8854
2016-03-17,9293
2016-03-18,9758
2016-03-19,10179
2016-03-20,10509
2016-03-21,10509
2016-03-22,10914
2016-03-23,11296
2016-03-24,11541
2016-03-25,11837
2016-03-26,11932
2016-03-27,11932
2016-03-28,11759
2016-03-29,11452
2016-03-30,11452
2016-03-31,11448
2016-04-01,11733
2016-04-02,11808
2016-04-03,12101
2016-04-04,11712
2016-04-05,11712
2016-04-06,11790
2016-04-07,11762
2016-04-08,12144
2016-04-09,12678
2016-04-10,13008
2016-04-11,13008
2016-04-12,13588
2016-04-13,13355
2016-04-14,12687
2016-04-15,12052
2016-04-16,11527
2016-04-17,10963
2016-04-18,10946
2016-04-19,10831
2016-04-20,10718
2016-04-21,10940
2016-04-22,10940
2016-04-23,11194
2016-04-24,11061
2016-04-25,10997
2016-04-26,10710
2016-04-27,10447
2016-04-28,10248
2016-04-29,10153
2016-04-30,9867
2016-05-01,9649
2016-05-02,9285
2016-05-03,9495
2016-05-04,9377
2016-05-05,9130
2016-05-06,9130
2016-05-07,8994
2016-05-08,8701
2016-05-09,8474
2016-05-10,8179
2016-05-11,7919
2016-05-12,7939
2016-05-13,7702
2016-05-14,7589
2016-05-15,7630
2016-05-16,7806
2016-05-17,8197
2016-05-18,8295
2016-05-19,8375
2016-05-22,8582
2016-05-23,8587
2016-05-24,8837
2016-05-25,9177
2016-05-26,9596
2016-05-27,9877
2016-05-28,9877
2016-05-29,9729
2016-05-30,9729
2016-05-31,9295
2016-06-01,8850
2016-06-02,8407
2016-06-03,8047
2016-06-04,7717
2016-06-05,7683
2016-06-06,7436
2016-06-07,7436
2016-06-08,7394
2016-06-09,7087
2016-06-10,6779
2016-06-11,6732
2016-06-12,6736
2016-06-13,6746
2016-06-14,6638
2016-06-15,6810
2016-06-16,6568
2016-06-17,6327
2016-06-18,6018
2016-06-19,5880
2016-06-20,5721
2016-06-21,5739
2016-06-22,5663
2016-06-23,5735
2016-06-24,5917
2016-06-25,5908
2016-06-26,5948
2016-06-27,6017
2016-06-28,6067
2016-06-29,6249
2016-06-30,6504
2016-07-01,6810
2016-07-02,7038
2016-07-03,7275
2016-07-04,7477
2016-07-05,7851
2016-07-06,8152
2016-07-07,8555
2016-07-08,8959
2016-07-09,9320
2016-07-10,9612
2016-07-11,10083
2016-07-12,10382
2016-07-13,10611
2016-07-14,10454
2016-07-15,9970
