date_obj,Tooth%20half%20of%20key price
2015-03-26,20645
2015-03-27,20645
2015-03-28,20881
2015-03-29,20497
2015-03-30,20522
2015-03-31,20417
2015-04-01,19830
2015-04-02,20100
2015-04-03,20128
2015-04-04,20333
2015-04-05,20338
2015-04-06,20558
2015-04-07,20797
2015-04-08,20851
2015-04-09,20517
2015-04-10,20273
2015-04-11,20283
2015-04-12,20032
2015-04-13,19399
2015-04-14,18441
2015-04-15,17751
2015-04-16,17311
2015-04-17,16947
2015-04-18,16792
2015-04-19,16585
2015-04-20,16543
2015-04-21,16071
2015-04-22,15393
2015-04-23,15340
2015-04-24,16042
2015-04-25,16754
2015-04-26,16874
2015-04-27,17194
2015-04-28,18027
2015-04-29,18929
2015-04-30,19549
2015-05-01,19632
2015-05-02,20201
2015-05-03,21152
2015-05-04,21568
2015-05-05,22469
2015-05-06,22731
2015-05-07,23064
2015-05-08,23005
2015-05-09,22932
2015-05-10,22444
2015-05-11,22731
2015-05-12,22923
2015-05-13,23041
2015-05-14,23551
2015-05-15,23964
2015-05-16,23820
2015-05-17,24222
2015-05-18,24112
2015-05-19,23084
2015-05-20,22499
2015-05-21,22407
2015-05-22,22503
2015-05-23,21699
2015-05-24,21051
2015-05-25,21293
2015-05-26,21660
2015-05-27,22613
2015-05-28,23224
2015-05-29,23492
2015-05-30,23370
2015-05-31,23263
2015-06-01,23402
2015-06-02,23433
2015-06-03,22979
2015-06-04,22894
2015-06-05,22942
2015-06-06,22348
2015-06-07,22364
2015-06-08,22746
2015-06-09,22839
2015-06-10,23008
2015-06-11,23061
2015-06-12,22867
2015-06-13,22617
2015-06-14,22473
2015-06-15,22568
2015-06-16,22405
2015-06-17,22444
2015-06-18,22740
2015-06-19,22658
2015-06-20,22287
2015-06-21,21433
2015-06-22,21512
2015-06-23,21100
2015-06-24,21170
2015-06-25,21572
2015-06-26,21628
2015-06-27,21815
2015-06-28,21872
2015-06-29,22145
2015-06-30,22388
2015-07-01,22138
2015-07-02,21616
2015-07-03,21193
2015-07-04,20973
2015-07-05,21149
2015-07-06,21646
2015-07-07,21545
2015-07-08,21861
2015-07-09,21930
2015-07-10,22268
2015-07-11,22647
2015-07-12,22500
2015-07-13,22132
2015-07-14,22247
2015-07-15,22382
2015-07-16,22586
2015-07-17,22870
2015-07-18,22838
2015-07-19,22373
2015-07-20,22364
2015-07-21,22481
2015-07-22,22569
2015-07-23,22725
2015-07-24,22900
2015-07-25,23044
2015-07-26,23221
2015-07-27,23598
2015-07-28,23841
2015-07-29,24230
2015-07-30,23696
2015-07-31,24068
2015-08-01,23737
2015-08-02,24060
2015-08-03,24677
2015-08-04,25057
2015-08-05,25046
2015-08-06,25302
2015-08-07,25496
2015-08-08,26550
2015-08-09,26073
2015-08-10,26227
2015-08-11,25642
2015-08-12,25562
2015-08-13,25546
2015-08-14,25747
2015-08-15,25201
2015-08-16,24902
2015-08-17,25471
2015-08-18,25798
2015-08-19,25966
2015-08-20,25265
2015-08-21,25452
2015-08-22,25475
2015-08-23,25649
2015-08-24,25877
2015-08-25,25890
2015-08-26,25849
2015-08-27,26209
2015-08-28,25884
2015-08-29,25032
2015-08-30,26081
2015-08-31,26196
2015-09-01,25644
2015-09-02,25687
2015-09-03,25439
2015-09-04,25155
2015-09-05,25653
2015-09-06,25668
2015-09-07,25795
2015-09-08,25772
2015-09-09,25106
2015-09-10,25253
2015-09-11,25330
2015-09-12,25470
2015-09-13,25758
2015-09-14,25691
2015-09-15,25660
2015-09-16,25664
2015-09-17,24890
2015-09-18,23837
2015-09-19,23924
2015-09-20,24130
2015-09-21,24542
2015-09-22,24677
2015-09-23,24853
2015-09-24,24986
2015-09-25,25033
2015-09-27,25068
2015-09-28,25247
2015-09-29,25314
2015-09-30,25449
2015-10-05,25234
2015-10-06,25920
