date_obj,Armadyl%20crozier price
2015-03-26,41519
2015-03-27,41519
2015-03-28,39443
2015-03-29,37999
2015-03-30,36860
2015-03-31,35804
2015-04-01,35804
2015-04-02,34457
2015-04-03,33532
2015-04-04,32382
2015-04-05,32382
2015-04-06,30983
2015-04-07,29486
2015-04-08,29486
2015-04-09,28240
2015-04-10,27006
2015-04-11,25776
2015-04-12,25116
2015-04-13,24041
2015-04-14,24041
2015-04-15,22961
2015-04-16,22943
2015-04-17,23061
2015-04-18,22867
2015-04-19,22479
2015-04-20,22479
2015-04-21,22194
2015-04-22,22194
2015-04-23,21587
2015-04-24,20838
2015-04-25,20220
2015-04-26,19866
2015-04-27,19756
2015-04-28,19233
2015-04-29,19233
2015-04-30,19335
2015-05-01,19444
2015-05-02,20152
2015-05-03,20836
2015-05-04,21682
2015-05-05,21826
2015-05-06,21555
2015-05-07,21552
2015-05-08,21757
2015-05-09,22151
2015-05-10,22600
2015-05-11,22600
2015-05-12,22390
2015-05-13,22390
2015-05-14,21512
2015-05-15,21512
2015-05-16,20536
2015-05-17,20226
2015-05-18,20049
2015-05-19,20049
2015-05-20,19930
2015-05-21,19930
2015-05-22,19754
2015-05-23,19488
2015-05-24,18873
2015-05-25,18453
2015-05-26,18156
2015-05-27,17534
2015-05-28,17424
2015-05-29,17429
2015-05-30,17277
2015-05-31,17277
2015-06-01,16714
2015-06-02,16714
2015-06-03,16095
2015-06-04,16095
2015-06-05,15652
2015-06-06,15368
2015-06-07,15368
2015-06-08,14918
2015-06-09,14918
2015-06-10,14396
2015-06-11,14396
2015-06-12,14186
2015-06-13,14186
2015-06-14,13513
2015-06-15,13513
2015-06-16,13467
2015-06-17,13467
2015-06-18,13383
2015-06-19,13568
2015-06-20,13707
2015-06-21,13707
2015-06-22,13475
2015-06-23,13515
2015-06-24,12986
2015-06-25,12986
2015-06-26,12474
2015-06-27,12474
2015-06-28,12413
2015-06-29,12413
2015-06-30,12744
2015-07-01,12759
2015-07-02,12759
2015-07-03,12600
2015-07-04,12835
