date_obj,Fremennik%20red%20cloak price
2015-03-04,9511
2015-03-05,9511
2015-03-06,9511
2015-03-07,9511
2015-03-08,9511
2015-03-09,9511
2015-03-10,9053
2015-03-11,9053
2015-03-12,9053
2015-03-13,9053
2015-03-14,9053
2015-03-15,9053
2015-03-16,9053
2015-03-17,8600
2015-03-18,8600
2015-03-19,8600
2015-03-20,8600
2015-03-21,8600
2015-03-22,8600
2015-03-23,8600
2015-03-24,8230
2015-03-25,8230
2015-03-26,8230
2015-03-27,8230
2015-03-28,8230
2015-03-29,8230
2015-03-30,7854
2015-03-31,7854
2015-04-01,7854
2015-04-02,7854
2015-04-03,7854
2015-04-04,7854
2015-04-05,7461
2015-04-06,7461
2015-04-07,7461
2015-04-08,7461
2015-04-09,7461
2015-04-10,7461
2015-04-11,7100
2015-04-12,7100
2015-04-13,7100
2015-04-14,7100
2015-04-15,7100
2015-04-16,7100
2015-04-17,6750
2015-04-18,6750
2015-04-19,6750
2015-04-20,6750
2015-04-21,6750
2015-04-22,6750
2015-04-23,6750
2015-04-24,6412
2015-04-25,6412
2015-04-26,6412
2015-04-27,6412
2015-04-28,6412
2015-04-29,6412
2015-04-30,6093
2015-05-01,6093
2015-05-02,6093
2015-05-03,6093
2015-05-04,6093
2015-05-05,6093
2015-05-06,5790
2015-05-07,5790
2015-05-08,5790
2015-05-09,5790
2015-05-10,5790
2015-05-11,5790
2015-05-12,5790
2015-05-13,5736
2015-05-14,5736
2015-05-15,5736
2015-05-16,5736
2015-05-17,5736
2015-05-18,5736
2015-05-19,5736
2015-05-20,5736
2015-05-21,5500
2015-05-22,5500
2015-05-23,5500
2015-05-24,5500
2015-05-25,5500
2015-05-26,5500
2015-05-27,5500
2015-05-28,5320
2015-05-29,5320
2015-05-30,5320
2015-05-31,5320
2015-06-01,5108
2015-06-02,5108
2015-06-03,5108
2015-06-04,5108
2015-06-05,5108
2015-06-06,4920
2015-06-07,4920
2015-06-08,4920
2015-06-09,4920
2015-06-10,4800
2015-06-11,4800
2015-06-12,4800
2015-06-13,4800
2015-06-14,4800
2015-06-15,4668
2015-06-16,4668
2015-06-17,4668
2015-06-18,4668
2015-06-19,4435
2015-06-20,4435
2015-06-21,4435
2015-06-22,4435
2015-06-23,4258
