date_obj,Fire%20battlestaff price
2015-03-26,9558
2015-03-27,9558
2015-03-28,9624
2015-03-29,9721
2015-03-30,9766
2015-03-31,9735
2015-04-01,9723
2015-04-02,9707
2015-04-03,9745
2015-04-04,9639
2015-04-05,9587
2015-04-06,9632
2015-04-07,9664
2015-04-08,9634
2015-04-09,9662
2015-04-10,9487
2015-04-11,9219
2015-04-12,9256
2015-04-13,9432
2015-04-14,9509
2015-04-15,9432
2015-04-16,9611
2015-04-17,9643
2015-04-18,9691
2015-04-19,9677
2015-04-20,9721
2015-04-21,9782
2015-04-22,9810
2015-04-23,9795
2015-04-24,9845
2015-04-25,9743
2015-04-26,9822
2015-04-27,9773
2015-04-28,9696
2015-04-29,9696
2015-04-30,9728
2015-05-01,9643
2015-05-02,9609
2015-05-03,9622
2015-05-04,9675
2015-05-05,9653
2015-05-06,9649
2015-05-07,9489
2015-05-08,9442
2015-05-09,9412
2015-05-10,9496
2015-05-11,9357
2015-05-12,9493
2015-05-13,9660
2015-05-14,9745
2015-05-15,9730
2015-05-16,9667
2015-05-17,9657
2015-05-18,9539
2015-05-19,9510
2015-05-20,9379
2015-05-21,9338
2015-05-22,9330
2015-05-23,9488
2015-05-24,9307
2015-05-25,9214
2015-05-26,9196
2015-05-27,9212
2015-05-28,9311
2015-05-29,9333
2015-05-30,9261
2015-05-31,9285
2015-06-01,9315
2015-06-02,9605
2015-06-03,9483
2015-06-04,9265
2015-06-05,9270
2015-06-06,9241
2015-06-07,9365
2015-06-08,9395
2015-06-09,9442
2015-06-10,9450
2015-06-11,9546
2015-06-12,9575
2015-06-13,9549
2015-06-14,9578
2015-06-15,9703
2015-06-16,9578
2015-06-17,9731
2015-06-18,9784
2015-06-19,9775
2015-06-20,9631
2015-06-21,9408
2015-06-22,9382
2015-06-23,9536
2015-06-24,9576
2015-06-25,9680
2015-06-26,9445
2015-06-27,9516
2015-06-28,9532
2015-06-29,9534
2015-06-30,9675
2015-07-01,9690
2015-07-02,9480
2015-07-03,9462
2015-07-04,9515
2015-07-05,9595
2015-07-06,9494
2015-07-07,9481
2015-07-08,9502
2015-07-09,9428
2015-07-10,9503
2015-07-11,9545
2015-07-12,9452
2015-07-13,9451
2015-07-14,9526
2015-07-15,9542
2015-07-16,9752
2015-07-17,9725
2015-07-18,9729
2015-07-19,9533
2015-07-20,9440
2015-07-21,9581
2015-07-22,9579
2015-07-23,9731
2015-07-24,9617
2015-07-25,9253
2015-07-26,9235
2015-07-27,9264
2015-07-28,9418
2015-07-29,9459
2015-07-30,9314
2015-07-31,9476
2015-08-01,9436
2015-08-02,9310
2015-08-03,9459
2015-08-04,9394
2015-08-05,9363
2015-08-06,9403
2015-08-07,9407
2015-08-08,9427
2015-08-09,9382
2015-08-10,9349
2015-08-11,9410
2015-08-12,9487
2015-08-13,9493
2015-08-14,9624
2015-08-15,9648
2015-08-16,9759
2015-08-17,9721
2015-08-18,9669
2015-08-19,9629
2015-08-20,9738
2015-08-21,9617
2015-08-22,9592
2015-08-23,9461
2015-08-24,9439
2015-08-25,9439
2015-08-26,9432
2015-08-27,9363
2015-08-28,9351
2015-08-29,9349
2015-08-30,9274
2015-08-31,9338
2015-09-01,9306
2015-09-02,9217
2015-09-03,9273
2015-09-04,9345
2015-09-05,9378
2015-09-06,9401
2015-09-07,9379
2015-09-08,9276
2015-09-09,9334
2015-09-10,9442
2015-09-11,9435
2015-09-12,9392
2015-09-13,9464
2015-09-14,9590
2015-09-15,9416
2015-09-16,9394
2015-09-17,9475
2015-09-18,9448
2015-09-19,9500
2015-09-20,9433
2015-09-21,9539
2015-09-22,9526
2015-09-23,9558
2015-09-24,9493
2015-09-25,9454
2015-09-27,9575
2015-09-28,9567
2015-09-29,9440
2015-09-30,9448
2015-10-05,9246
2015-10-06,9376
2015-10-07,9453
2015-10-08,9560
2015-10-09,9581
2015-10-10,9596
2015-10-11,9687
2015-10-12,9579
2015-10-13,9703
2015-10-14,9689
2015-10-15,9762
2015-10-16,9683
2015-10-17,9256
2015-10-18,9335
2015-10-19,9519
2015-10-20,9681
2015-10-22,9657
2015-10-23,9607
2015-10-24,9397
2015-10-25,9353
2015-10-26,9467
2015-10-27,9439
2015-10-29,9390
2015-10-30,9419
2015-10-31,9468
2015-11-01,9462
2015-11-02,9561
2015-11-03,9551
2015-11-04,9593
2015-11-05,9729
2015-11-06,9738
2015-11-07,9792
2015-11-08,9703
2015-11-09,9749
2015-11-10,9710
2015-11-11,9776
2015-11-12,9812
2015-11-13,9626
2015-11-14,9516
2015-11-15,9527
2015-11-16,9506
2015-11-17,9409
2015-11-18,9439
2015-11-19,9525
2015-11-20,9440
2015-11-21,9125
2015-11-22,9337
2015-11-23,9561
2015-11-24,9527
2015-11-25,9544
2015-11-26,9414
2015-11-27,9375
2015-11-28,9518
2015-11-29,9713
2015-11-30,9634
2015-12-01,9724
2015-12-02,9693
2015-12-03,9647
2015-12-04,9584
2015-12-05,9553
2015-12-06,9614
2015-12-07,9483
2015-12-08,9473
2015-12-09,9523
2015-12-10,9400
2015-12-11,9326
2015-12-12,9441
2015-12-13,9486
2015-12-14,9500
2015-12-15,9628
2015-12-16,9628
2015-12-17,9490
2015-12-18,9588
2015-12-19,9598
2015-12-20,9580
2015-12-21,9722
2015-12-22,9547
2015-12-23,9518
2015-12-24,9542
2015-12-25,9592
2015-12-26,9648
2015-12-27,9706
2015-12-28,9754
2015-12-29,9836
2015-12-30,9835
2015-12-31,9864
2016-01-01,9898
2016-01-02,9810
2016-01-03,9701
2016-01-04,9586
2016-01-05,9578
2016-01-06,9396
2016-01-07,9418
2016-01-08,9317
2016-01-09,9402
2016-01-10,9501
2016-01-11,9517
2016-01-12,9513
2016-01-13,9423
2016-01-14,9445
2016-01-15,9410
2016-01-16,9405
2016-01-17,9553
2016-01-18,9466
2016-01-19,9371
2016-01-20,9304
2016-01-21,9274
2016-01-22,9445
2016-01-23,9441
2016-01-24,9348
2016-01-25,9348
2016-01-26,9253
2016-01-27,9438
2016-01-28,9472
2016-01-29,9404
2016-01-30,9326
2016-01-31,9430
2016-02-01,9466
2016-02-02,9478
2016-02-03,9639
2016-02-04,9592
2016-02-05,9442
2016-02-06,9368
2016-02-07,9328
2016-02-08,9308
2016-02-09,9338
2016-02-10,9324
2016-02-11,9191
2016-02-12,9124
2016-02-13,9165
2016-02-14,9164
2016-02-15,9209
2016-02-16,9187
2016-02-17,9159
2016-02-18,9234
2016-02-19,9348
2016-02-20,9317
2016-02-21,9285
2016-02-22,9159
2016-02-23,9178
2016-02-24,9203
2016-02-25,9235
2016-02-26,9226
2016-02-27,9364
2016-02-28,9405
2016-02-29,9363
2016-03-01,9239
2016-03-02,9296
2016-03-03,9239
2016-03-04,9378
2016-03-05,9323
2016-03-06,9245
2016-03-07,9292
2016-03-08,9368
2016-03-09,9487
2016-03-10,9365
2016-03-11,9448
2016-03-12,9442
2016-03-13,9305
2016-03-14,9336
2016-03-15,9593
2016-03-16,9650
2016-03-17,9529
2016-03-18,9413
2016-03-19,9450
2016-03-20,9586
2016-03-21,9448
2016-03-22,9479
2016-03-23,9423
2016-03-24,9514
2016-03-25,9562
2016-03-26,9570
2016-03-27,9600
2016-03-28,9603
2016-03-29,9549
2016-03-30,9537
2016-03-31,9590
2016-04-01,9537
2016-04-02,9373
2016-04-03,9467
2016-04-04,9398
2016-04-05,9369
2016-04-06,9302
2016-04-07,9399
2016-04-08,9395
2016-04-09,9439
2016-04-10,9235
2016-04-11,9222
2016-04-12,9219
2016-04-13,9441
2016-04-14,9576
2016-04-15,9519
2016-04-16,9538
2016-04-17,9568
2016-04-18,9588
2016-04-19,9577
2016-04-20,9495
2016-04-21,9350
2016-04-22,9509
2016-04-23,9519
2016-04-24,9584
2016-04-25,9524
2016-04-26,9357
2016-04-27,9159
2016-04-28,9191
2016-04-29,9156
2016-04-30,9169
2016-05-01,9097
2016-05-02,9137
2016-05-03,9143
2016-05-04,9067
2016-05-05,9058
2016-05-06,9098
2016-05-07,9133
2016-05-08,9137
2016-05-09,9161
2016-05-10,9061
2016-05-11,9059
2016-05-12,9115
2016-05-13,9175
2016-05-14,9170
2016-05-15,9166
2016-05-16,9127
2016-05-17,9077
2016-05-18,9147
2016-05-19,9111
2016-05-22,9088
2016-05-23,9137
2016-05-24,9179
2016-05-25,9135
2016-05-26,9141
2016-05-27,9168
2016-05-28,9143
2016-05-29,9151
2016-05-30,9114
2016-05-31,9166
2016-06-01,9189
2016-06-02,9228
2016-06-03,9243
2016-06-04,9295
2016-06-05,9147
2016-06-06,9148
2016-06-07,9127
2016-06-08,9135
2016-06-09,9157
2016-06-10,9253
2016-06-11,9242
2016-06-12,9189
2016-06-13,9202
2016-06-14,9181
2016-06-15,9163
2016-06-16,9264
2016-06-17,9174
2016-06-18,9156
2016-06-19,9151
2016-06-20,9164
2016-06-21,9190
2016-06-22,9143
2016-06-23,9173
2016-06-24,9145
2016-06-25,9156
2016-06-26,9182
2016-06-27,9239
2016-06-28,9164
2016-06-29,9182
2016-06-30,9225
2016-07-01,9353
2016-07-02,9225
2016-07-03,9149
2016-07-04,9157
2016-07-05,9173
2016-07-06,9160
2016-07-07,9127
2016-07-08,9176
2016-07-09,9135
2016-07-10,9141
2016-07-11,9117
2016-07-12,9143
2016-07-13,9177
2016-07-14,9250
2016-07-15,9264
2016-07-16,9224
2016-07-17,9126
2016-07-18,9251
2016-07-23,9127
2016-07-24,9096
2016-07-25,9142
2016-07-26,9185
2016-07-27,9159
2016-07-28,9266
2016-07-29,9311
2016-07-30,9315
2016-07-31,9257
2016-08-01,9238
2016-08-02,9207
2016-08-03,9239
2016-08-04,9195
2016-08-05,9186
2016-08-06,9242
2016-08-07,9326
2016-08-08,9291
2016-08-09,9310
2016-08-10,9242
2016-08-11,9323
2016-08-12,9319
2016-08-13,9285
2016-08-14,9283
2016-08-15,9374
2016-08-16,9376
2016-08-17,9408
2016-08-18,9284
2016-08-19,9247
2016-08-20,9195
2016-08-21,9134
2016-08-22,9150
2016-08-23,9181
2016-08-24,9194
2016-08-25,9218
2016-08-26,9258
2016-08-28,9207
2016-08-31,9212
2016-09-01,9283
2016-09-02,9293
2016-09-03,9236
2016-09-04,9273
2016-09-05,9325
2016-09-06,9267
2016-09-07,9192
2016-09-08,9181
2016-09-09,9218
2016-09-10,9154
2016-09-11,9116
2016-09-12,9122
2016-09-13,9151
2016-09-14,9137
2016-09-15,9159
2016-09-16,9110
2016-09-17,9098
2016-09-18,9083
2016-09-19,9093
2016-09-20,9109
2016-09-21,9103
2016-09-22,9120
2016-09-23,9153
2016-09-24,9157
2016-09-25,9194
2016-09-26,9195
2016-09-27,9223
2016-09-28,9197
2016-09-29,9201
2016-09-30,9245
2016-10-01,9312
2016-10-02,9261
2016-10-03,9219
2016-10-04,9153
2016-10-05,9165
2016-10-06,9211
2016-10-07,9174
2016-10-08,9192
2016-10-09,9156
2016-10-10,9154
2016-10-11,9151
2016-10-12,9125
2016-10-13,9163
2016-10-14,9185
2016-10-15,9138
2016-10-16,9144
2016-10-17,9160
2016-10-18,9357
2016-10-19,9324
2016-10-20,9275
2016-10-21,9218
2016-10-22,9241
2016-10-23,9246
2016-10-24,9188
2016-10-25,9150
2016-10-26,9169
2016-10-27,9210
2016-10-28,9216
2016-10-29,9210
2016-10-30,9193
2016-10-31,9307
2016-11-01,9237
2016-11-02,9325
2016-11-03,9177
2016-11-04,9254
2016-11-05,9191
2016-11-06,9147
2016-11-07,9164
2016-11-08,9175
2016-11-09,9306
2016-11-10,9326
2016-11-11,9235
2016-11-12,9243
2016-11-13,9189
2016-11-14,9213
2016-11-15,9330
2016-12-07,9168
2016-12-08,9155
2016-12-09,9124
2016-12-10,9125
2016-12-11,9123
2016-12-12,9110
2016-12-13,9136
2016-12-14,9142
2016-12-15,9136
2016-12-16,9141
2016-12-17,9139
2016-12-18,9121
2016-12-19,9168
2016-12-20,9184
2016-12-21,9188
2016-12-22,9160
2016-12-23,9147
2016-12-24,9140
2016-12-25,9165
2016-12-26,9162
2016-12-27,9146
2016-12-28,9122
2016-12-29,9141
2016-12-30,9118
2016-12-31,9129
2017-01-01,9108
2017-01-02,9105
2017-01-03,9076
2017-01-04,9089
2017-01-05,9089
2017-01-06,9071
2017-01-07,9102
2017-01-08,9138
2017-01-09,9127
2017-01-10,9137
2017-01-11,9167
2017-01-12,9192
2017-01-13,9148
2017-01-14,9119
2017-01-15,9124
2017-01-16,9197
2017-01-17,9257
2017-01-18,9182
2017-01-19,9212
2017-01-20,9157
2017-01-21,9134
2017-01-22,9109
2017-01-23,9120
2017-01-27,9115
2017-01-28,9109
2017-01-29,9110
2017-01-30,9121
2017-01-31,9155
2017-02-01,9140
2017-02-02,9123
2017-02-03,9126
2017-02-04,9115
2017-02-05,9140
2017-02-06,9128
2017-02-07,9148
2017-02-08,9134
2017-02-09,9141
2017-02-10,9152
2017-02-11,9147
2017-02-12,9088
2017-02-13,9126
2017-02-14,9116
2017-02-15,9105
2017-02-16,9096
2017-02-18,9116
2017-02-19,9118
2017-02-20,9113
2017-02-21,9097
2017-02-22,9087
2017-02-23,9108
2017-02-24,9091
2017-02-25,9094
2017-02-26,9111
2017-02-27,9090
2017-02-28,9107
2017-03-01,9141
2017-03-02,9111
2017-03-03,9108
2017-03-04,9147
2017-03-05,9120
2017-03-06,9122
2017-03-07,9137
2017-03-08,9134
2017-03-09,9101
2017-03-10,9130
2017-03-11,9111
2017-03-12,9136
2017-03-13,9137
2017-03-14,9164
2017-03-15,9134
2017-03-16,9149
2017-03-17,9106
