date_obj,Adamant%20kiteshield%20(g) price
2015-03-26,30187
2015-03-27,30187
2015-03-28,30187
2015-03-29,30187
2015-03-30,29673
2015-03-31,29673
2015-04-01,29673
2015-04-02,29673
2015-04-03,30255
2015-04-04,30255
2015-04-05,30255
2015-04-06,30255
2015-04-07,30221
2015-04-08,30221
2015-04-09,30221
2015-04-10,30221
2015-04-11,30260
2015-04-12,30260
2015-04-13,30260
2015-04-14,30260
2015-04-15,30441
2015-04-16,30441
2015-04-17,30441
2015-04-18,30441
2015-04-19,30603
2015-04-20,30603
2015-04-21,30603
2015-04-22,30603
2015-04-23,30312
2015-04-24,30312
2015-04-25,30312
2015-04-26,30312
2015-04-27,29988
2015-04-28,29988
2015-04-29,29988
2015-04-30,29988
2015-05-01,29724
2015-05-02,29724
2015-05-03,29724
2015-05-04,29724
2015-05-05,28614
2015-05-06,28614
2015-05-07,28614
2015-05-08,27542
2015-05-09,27542
2015-05-10,27542
2015-05-11,27542
2015-05-12,26640
2015-05-13,26640
2015-05-14,26640
2015-05-15,26640
2015-05-16,25689
2015-05-17,25689
2015-05-18,25689
2015-05-19,24884
2015-05-20,24884
2015-05-21,24884
2015-05-22,24884
2015-05-23,24884
2015-05-24,24163
2015-05-25,24163
2015-05-26,24163
2015-05-27,24163
2015-05-28,23411
2015-05-29,23411
2015-05-30,22496
2015-05-31,22496
2015-06-01,21459
2015-06-02,21459
2015-06-03,21459
2015-06-04,20548
2015-06-05,20548
2015-06-06,20548
2015-06-07,19951
2015-06-08,19951
2015-06-09,19951
2015-06-10,19772
2015-06-11,19772
2015-06-12,19772
2015-06-13,19744
2015-06-14,19744
2015-06-15,19744
2015-06-16,19724
2015-06-17,19724
2015-06-18,19724
2015-06-19,19675
2015-06-20,19675
2015-06-21,19675
2015-06-22,19633
2015-06-23,19633
2015-06-24,19633
2015-06-25,19329
2015-06-26,19329
2015-06-27,19329
2015-06-28,19359
2015-06-29,19359
2015-06-30,19359
2015-07-01,19603
2015-07-02,19603
2015-07-03,19603
2015-07-04,20232
2015-07-05,20232
2015-07-06,20232
2015-07-07,20393
2015-07-08,20393
2015-07-09,20393
2015-07-10,21259
2015-07-11,21259
2015-07-12,21259
2015-07-13,22185
2015-07-14,22185
2015-07-15,22185
2015-07-16,22185
2015-07-17,22500
2015-07-18,22500
2015-07-19,22500
2015-07-20,22883
2015-07-21,22883
2015-07-22,22883
2015-07-23,23594
2015-07-24,23594
2015-07-25,23594
2015-07-26,24631
2015-07-27,24631
2015-07-28,24631
2015-07-29,24345
2015-07-30,24345
2015-07-31,24345
2015-08-01,24345
2015-08-02,24041
2015-08-03,24041
2015-08-04,24041
2015-08-05,23874
2015-08-06,23874
2015-08-07,23874
2015-08-08,23476
2015-08-09,23476
2015-08-10,22709
2015-08-11,22709
2015-08-12,22709
2015-08-13,22886
2015-08-14,22886
2015-08-15,22886
2015-08-16,22777
2015-08-17,22777
2015-08-18,22777
2015-08-19,22764
2015-08-20,22764
2015-08-21,22764
2015-08-22,22738
2015-08-23,22738
2015-08-24,22738
2015-08-25,22738
2015-08-26,22445
2015-08-27,22445
2015-08-28,22445
2015-08-29,21454
2015-08-30,21454
2015-08-31,21454
2015-09-01,20946
2015-09-02,20946
2015-09-03,20946
2015-09-04,20967
2015-09-05,20967
2015-09-06,20967
2015-09-07,20967
2015-09-08,20669
2015-09-09,20669
2015-09-10,20669
2015-09-11,19910
2015-09-12,19910
2015-09-13,19910
2015-09-14,19123
2015-09-15,19123
2015-09-16,19123
2015-09-17,18239
2015-09-18,18239
2015-09-19,18239
2015-09-20,18137
2015-09-21,18137
2015-09-22,18137
2015-09-23,17998
2015-09-24,17998
2015-09-25,17998
2015-09-27,17997
2015-09-28,17997
2015-09-29,17997
2015-09-30,17614
2015-10-05,17451
2015-10-06,17451
2015-10-07,18032
2015-10-08,18032
2015-10-09,18032
2015-10-10,18161
2015-10-11,18161
2015-10-12,18161
2015-10-13,18161
2015-10-14,17919
2015-10-15,17919
2015-10-16,17919
2015-10-17,18230
2015-10-18,18230
2015-10-19,18230
2015-10-20,18578
2015-10-22,18578
2015-10-23,18578
2015-10-24,19045
2015-10-25,19045
2015-10-26,19045
2015-10-27,19457
2015-10-28,19457
2015-10-29,19457
2015-10-30,19457
2015-10-31,19949
2015-11-01,19949
2015-11-02,19949
2015-11-03,19949
2015-11-04,19684
2015-11-05,19684
2015-11-06,19684
2015-11-07,19184
2015-11-08,19184
2015-11-09,19184
2015-11-10,19184
2015-11-11,19992
2015-11-12,19992
2015-11-13,19992
2015-11-14,19992
2015-11-15,20530
2015-11-16,20530
2015-11-17,20530
2015-11-18,20530
2015-11-19,21171
2015-11-20,21171
2015-11-21,21171
2015-11-22,21346
2015-11-23,21346
2015-11-24,21346
2015-11-25,21764
2015-11-26,21764
2015-11-27,21764
2015-11-28,21764
2015-11-29,21978
2015-11-30,21978
2015-12-01,21978
2015-12-02,22015
2015-12-03,22015
2015-12-04,22015
2015-12-05,22015
2015-12-06,22840
2015-12-07,22840
2015-12-08,22840
2015-12-09,22475
2015-12-10,22475
2015-12-11,22475
2015-12-12,22475
2015-12-13,22661
2015-12-14,22661
2015-12-15,22661
2015-12-16,22803
2015-12-17,22803
2015-12-18,22803
2015-12-19,22803
2015-12-20,22418
2015-12-21,22418
2015-12-22,22418
2015-12-23,21945
2015-12-24,21945
2015-12-25,21945
2015-12-26,21945
2015-12-27,21558
2015-12-28,21558
2015-12-29,21558
2015-12-30,21193
2015-12-31,21193
2016-01-01,21193
2016-01-02,21193
2016-01-03,21124
2016-01-04,21124
2016-01-05,21124
2016-01-06,21697
2016-01-07,21697
2016-01-08,21697
2016-01-09,21697
2016-01-10,22452
2016-01-11,22452
2016-01-12,22452
2016-01-13,23185
2016-01-14,23185
2016-01-15,23185
2016-01-16,24225
2016-01-17,24225
2016-01-18,24225
2016-01-19,24225
2016-01-20,25359
2016-01-21,25359
2016-01-22,25359
2016-01-23,25153
2016-01-24,25153
2016-01-25,25153
2016-01-26,24866
2016-01-27,24866
2016-01-28,24866
2016-01-29,24523
2016-01-30,24523
2016-01-31,24523
2016-02-01,24578
2016-02-02,24578
2016-02-03,24578
2016-02-04,23813
2016-02-05,23813
2016-02-06,23813
2016-02-07,23084
2016-02-08,23084
2016-02-09,23084
2016-02-10,22749
2016-02-11,22749
2016-02-12,22749
2016-02-13,22722
2016-02-14,22722
2016-02-15,22722
2016-02-16,22937
2016-02-17,22937
2016-02-18,22937
2016-02-19,23296
2016-02-20,23296
2016-02-21,23085
2016-02-22,23085
2016-02-23,23085
2016-02-24,22903
2016-02-25,22903
2016-02-26,22903
2016-02-27,22460
2016-02-28,22460
2016-02-29,22460
2016-03-01,22081
2016-03-02,22081
2016-03-03,22081
2016-03-04,23047
2016-03-05,23047
2016-03-06,24097
2016-03-07,24097
2016-03-08,24097
2016-03-09,25149
2016-03-10,25149
2016-03-11,25149
2016-03-12,26325
2016-03-13,26325
2016-03-14,26325
2016-03-15,27470
2016-03-16,27470
2016-03-17,27470
2016-03-18,28313
2016-03-19,28313
2016-03-20,28313
2016-03-21,28308
2016-03-22,28308
2016-03-23,28308
2016-03-24,28028
2016-03-25,28028
2016-03-26,28028
2016-03-27,28965
2016-03-28,28965
2016-03-29,28883
2016-03-30,28883
2016-03-31,28883
2016-04-01,28883
2016-04-02,29679
2016-04-03,29679
2016-04-04,29679
2016-04-05,29682
2016-04-06,29682
2016-04-07,29682
2016-04-08,30136
2016-04-09,30136
2016-04-10,30971
2016-04-11,30971
2016-04-12,30971
2016-04-13,30971
2016-04-14,31220
2016-04-15,31220
2016-04-16,31220
2016-04-17,30717
2016-04-18,30717
2016-04-19,30717
2016-04-20,29874
2016-04-21,29874
2016-04-22,29874
2016-04-23,28919
2016-04-24,28919
2016-04-25,28919
2016-04-26,27669
2016-04-27,27669
2016-04-28,27440
2016-04-29,27440
2016-04-30,27440
2016-05-01,26725
2016-05-02,26725
2016-05-03,25949
2016-05-04,25949
2016-05-05,25645
2016-05-06,25645
2016-05-07,25645
2016-05-08,25053
2016-05-09,25053
2016-05-10,24856
2016-05-11,24856
2016-05-12,24856
2016-05-13,24019
2016-05-14,24019
2016-05-15,23408
2016-05-16,23408
2016-05-17,22651
2016-05-18,22651
2016-05-19,22038
2016-05-21,22038
2016-05-22,21532
2016-05-23,21532
2016-05-24,20713
2016-05-25,20713
2016-05-26,20116
2016-05-27,20116
2016-05-28,19705
2016-05-29,19705
2016-05-30,19175
2016-05-31,19175
2016-06-01,19173
2016-06-02,19173
2016-06-03,19173
2016-06-04,19738
2016-06-05,19738
2016-06-06,20565
2016-06-07,20565
2016-06-08,20565
2016-06-09,21270
2016-06-10,21270
2016-06-11,21931
2016-06-12,21931
2016-06-13,21931
2016-06-14,22414
2016-06-15,22414
2016-06-16,22414
2016-06-17,22901
2016-06-18,22901
2016-06-19,22901
2016-06-20,23131
2016-06-21,23131
2016-06-22,23649
2016-06-23,23649
2016-06-24,23649
2016-06-25,23897
2016-06-26,23897
2016-06-27,23897
2016-06-28,24173
2016-06-29,24173
2016-06-30,24173
2016-07-01,24564
2016-07-02,24564
2016-07-03,24564
2016-07-04,24672
2016-07-05,24672
2016-07-06,24672
2016-07-07,24451
2016-07-08,24451
2016-07-09,23493
2016-07-10,23493
2016-07-11,22318
2016-07-12,22318
2016-07-13,22318
2016-07-14,21698
2016-07-15,21698
2016-07-16,21175
2016-07-17,21175
2016-07-18,21300
2016-07-23,21812
2016-07-24,20989
2016-07-25,20989
2016-07-26,20989
2016-07-27,19952
2016-07-28,19952
2016-07-29,19753
2016-07-30,19753
2016-07-31,19753
2016-08-01,19014
2016-08-02,19014
2016-08-03,18107
2016-08-04,18107
2016-08-05,18107
2016-08-06,17436
2016-08-07,17436
2016-08-08,17436
2016-08-09,16771
2016-08-10,16771
2016-08-11,16771
2016-08-12,16519
2016-08-13,16519
2016-08-14,16519
2016-08-15,15943
2016-08-16,15943
2016-08-17,15943
2016-08-18,15241
2016-08-19,15241
2016-08-20,14517
2016-08-21,14517
2016-08-22,14517
2016-08-23,14055
2016-08-24,14055
2016-08-25,14055
2016-08-26,14370
2016-08-28,14162
2016-08-31,13884
2016-09-01,13884
2016-09-02,13884
2016-09-03,14064
2016-09-04,14064
2016-09-05,14564
2016-09-06,14564
2016-09-07,14564
2016-09-08,15186
2016-09-09,15186
2016-09-10,15186
2016-09-11,15944
2016-09-12,15944
2016-09-13,15944
2016-09-14,16613
2016-09-15,16613
2016-09-16,16613
2016-09-17,17347
2016-09-18,17347
2016-09-19,17347
2016-09-20,18140
2016-09-21,18140
2016-09-22,18140
2016-09-23,18938
2016-09-24,18938
2016-09-25,18938
2016-09-26,18938
2016-09-27,19808
2016-09-28,19808
2016-09-29,19808
2016-09-30,20709
2016-10-01,20709
2016-10-02,20709
2016-10-03,20709
2016-10-04,21344
2016-10-05,21344
2016-10-06,21344
2016-10-07,21049
2016-10-08,21049
2016-10-09,21049
2016-10-10,21069
2016-10-11,21069
2016-10-12,21069
2016-10-13,21069
2016-10-14,21994
2016-10-15,21994
2016-10-16,21994
2016-10-17,22934
2016-10-18,22934
2016-10-19,22934
2016-10-20,22934
2016-10-21,23468
2016-10-22,23468
2016-10-23,23468
2016-10-24,23623
2016-10-25,23623
2016-10-26,23623
2016-10-27,23888
2016-10-28,23888
2016-10-29,23888
2016-10-30,24452
2016-10-31,24452
2016-11-01,24452
2016-11-02,24022
2016-11-03,24022
2016-11-04,24022
2016-11-05,24022
2016-11-06,22820
2016-11-07,22820
