date_obj,Rune%20sq%20shield price
2015-03-26,23867
2015-03-27,23867
2015-03-28,23867
2015-03-29,23659
2015-03-30,23659
2015-03-31,23540
2015-04-01,23540
2015-04-02,23540
2015-04-03,23554
2015-04-04,23554
2015-04-05,23594
2015-04-06,23594
2015-04-07,23438
2015-04-08,23438
2015-04-09,23438
2015-04-10,23467
2015-04-11,23467
2015-04-12,23888
2015-04-13,23888
2015-04-14,24189
2015-04-15,24189
2015-04-16,24471
2015-04-17,24471
2015-04-18,24656
2015-04-19,24656
2015-04-20,24656
2015-04-21,24481
2015-04-22,24481
2015-04-23,24642
2015-04-24,24642
2015-04-25,24642
2015-04-26,24673
2015-04-27,24673
2015-04-28,24804
2015-04-29,24804
2015-04-30,24804
2015-05-01,24626
2015-05-02,24626
2015-05-03,24626
2015-05-04,24053
2015-05-05,24053
2015-05-06,24296
2015-05-07,24296
2015-05-08,24293
2015-05-09,24293
2015-05-10,24152
2015-05-11,24152
2015-05-12,24199
2015-05-13,24199
2015-05-14,24207
2015-05-15,24207
2015-05-16,24207
2015-05-17,24606
2015-05-18,24606
2015-05-19,24737
2015-05-20,24737
2015-05-21,24737
2015-05-22,24878
2015-05-23,24878
2015-05-24,24822
2015-05-25,24822
2015-05-26,25010
2015-05-27,25010
2015-05-28,24664
2015-05-29,24664
2015-05-30,24553
2015-05-31,24553
2015-06-01,24415
2015-06-02,24415
2015-06-03,24139
2015-06-04,24139
2015-06-05,23988
2015-06-06,24093
2015-06-07,24093
2015-06-08,24115
2015-06-09,24183
2015-06-10,24337
2015-06-11,24337
2015-06-12,24511
2015-06-13,24623
2015-06-14,24623
2015-06-15,24591
2015-06-16,24747
2015-06-17,24747
2015-06-18,24749
2015-06-19,24749
2015-06-20,24847
2015-06-21,24847
2015-06-22,24430
2015-06-23,24430
2015-06-24,24300
2015-06-25,24300
2015-06-26,24243
2015-06-27,24243
2015-06-28,24552
2015-06-29,24552
2015-06-30,24979
2015-07-01,24895
2015-07-02,24895
2015-07-03,24599
2015-07-04,24599
2015-07-05,24352
2015-07-06,24352
2015-07-07,24231
2015-07-08,24751
2015-07-09,24751
2015-07-10,25017
2015-07-11,25017
2015-07-12,25082
2015-07-13,24903
2015-07-14,24903
2015-07-15,24984
2015-07-16,24984
2015-07-17,25071
2015-07-18,25071
2015-07-19,25090
2015-07-20,25119
2015-07-21,25119
2015-07-22,24977
2015-07-23,24977
2015-07-24,24953
2015-07-25,24953
2015-07-26,24833
2015-07-27,24833
2015-07-28,24865
2015-07-29,24932
2015-07-30,24932
2015-07-31,24982
2015-08-01,24982
2015-08-02,24989
2015-08-03,24989
2015-08-04,24796
2015-08-05,24527
2015-08-06,24527
2015-08-07,24182
2015-08-08,24186
2015-08-09,24399
2015-08-10,24106
2015-08-11,24131
2015-08-12,24131
2015-08-13,24309
2015-08-14,24541
2015-08-15,24541
2015-08-16,24666
2015-08-17,24896
2015-08-18,24896
2015-08-19,24969
2015-08-20,24969
2015-08-21,24972
2015-08-22,24972
2015-08-23,24835
2015-08-24,24351
2015-08-25,24351
2015-08-26,24419
2015-08-27,24289
2015-08-28,24289
2015-08-29,24189
2015-08-30,24189
2015-08-31,24108
2015-09-01,24124
2015-09-02,24124
2015-09-03,24281
2015-09-04,24482
2015-09-05,24482
2015-09-06,24501
2015-09-07,24501
2015-09-08,24625
2015-09-09,24625
2015-09-10,24516
2015-09-11,24516
2015-09-12,24516
2015-09-13,24228
2015-09-14,24228
2015-09-15,23780
