date_obj,Sapphire%20glacialis%20(item) price
2015-03-05,700
2015-03-06,700
2015-03-07,700
2015-03-08,700
2015-03-09,700
2015-03-10,700
2015-03-11,700
2015-03-12,700
2015-03-13,700
2015-03-14,700
2015-03-15,700
2015-03-16,700
2015-03-17,700
2015-03-18,700
2015-03-19,700
2015-03-20,700
2015-03-21,700
2015-03-22,700
2015-03-23,700
2015-03-24,700
2015-03-25,700
2015-03-26,700
2015-03-27,700
2015-03-28,700
2015-03-29,700
2015-03-30,700
2015-03-31,700
2015-04-01,700
2015-04-02,700
2015-04-03,700
2015-04-04,700
2015-04-05,700
2015-04-06,700
2015-04-07,700
2015-04-08,700
2015-04-09,700
2015-04-10,700
2015-04-11,700
2015-04-12,700
2015-04-13,700
2015-04-14,700
2015-04-15,700
2015-04-16,700
2015-04-17,700
2015-04-18,700
2015-04-19,700
2015-04-20,700
2015-04-21,700
2015-04-22,700
2015-04-23,700
2015-04-24,700
2015-04-25,700
2015-04-26,700
2015-04-27,700
2015-04-28,700
2015-04-29,700
2015-04-30,700
2015-05-01,700
2015-05-02,700
2015-05-03,700
2015-05-04,700
2015-05-05,700
2015-05-06,700
2015-05-07,700
2015-05-08,700
2015-05-09,700
2015-05-10,700
2015-05-11,700
2015-05-12,700
2015-05-13,700
2015-05-14,700
2015-05-15,700
2015-05-16,700
2015-05-17,700
2015-05-18,700
2015-05-19,700
2015-05-20,700
2015-05-21,700
2015-05-22,700
2015-05-23,700
2015-05-24,700
2015-05-25,700
2015-05-26,700
2015-05-27,700
2015-05-28,714
2015-05-29,714
2015-05-30,714
2015-05-31,714
2015-06-01,714
2015-06-02,714
2015-06-03,714
2015-06-04,714
2015-06-05,714
2015-06-06,714
2015-06-07,714
2015-06-08,714
2015-06-09,714
2015-06-10,714
2015-06-11,714
2015-06-12,714
2015-06-13,714
2015-06-14,714
2015-06-15,714
2015-06-16,714
2015-06-17,714
2015-06-18,714
2015-06-19,714
2015-06-20,714
2015-06-21,714
2015-06-22,714
2015-06-23,714
2015-06-24,714
2015-06-25,714
2015-06-26,714
2015-06-27,714
2015-06-28,714
2015-06-29,714
2015-06-30,714
2015-07-01,714
2015-07-02,714
2015-07-03,714
2015-07-04,714
2015-07-05,714
2015-07-06,714
2015-07-07,714
2015-07-08,714
2015-07-09,714
2015-07-10,714
2015-07-11,714
2015-07-12,714
2015-07-13,714
2015-07-14,714
2015-07-15,714
2015-07-16,714
2015-07-17,714
2015-07-18,714
2015-07-19,714
2015-07-20,714
2015-07-21,714
2015-07-22,714
2015-07-23,714
2015-07-24,714
2015-07-25,714
2015-07-26,714
2015-07-27,714
2015-07-28,714
2015-07-29,714
2015-07-30,714
2015-07-31,714
2015-08-01,714
2015-08-02,714
2015-08-03,714
2015-08-04,714
2015-08-05,714
2015-08-06,714
2015-08-07,714
2015-08-08,714
2015-08-09,714
2015-08-10,714
2015-08-11,714
2015-08-12,714
2015-08-13,714
2015-08-14,714
2015-08-15,714
