date_obj,Meat%20pizza price
2015-03-26,4581
2015-03-27,4357
2015-03-28,4357
2015-03-29,4357
2015-03-30,4357
2015-03-31,4144
2015-04-01,4144
2015-04-02,4144
2015-04-03,4144
2015-04-04,4144
2015-04-05,3939
2015-04-06,3939
2015-04-07,3939
2015-04-08,3939
2015-04-09,3939
2015-04-10,3745
2015-04-11,3745
2015-04-12,3745
2015-04-13,3745
2015-04-14,3745
2015-04-15,3560
2015-04-16,3560
2015-04-17,3560
2015-04-18,3560
2015-04-19,3383
2015-04-20,3383
2015-04-21,3383
2015-04-22,3383
2015-04-23,3383
2015-04-24,3217
2015-04-25,3217
2015-04-26,3217
2015-04-27,3217
2015-04-28,3062
2015-04-29,3062
2015-04-30,3062
2015-05-01,3062
2015-05-02,2918
2015-05-03,2918
2015-05-04,2918
2015-05-05,2918
2015-05-06,2918
2015-05-07,2783
2015-05-08,2783
2015-05-09,2783
2015-05-10,2783
2015-05-11,2783
2015-05-12,2647
2015-05-13,2647
2015-05-14,2647
2015-05-15,2647
2015-05-16,2647
2015-05-17,2518
2015-05-18,2518
2015-05-19,2518
2015-05-20,2518
2015-05-21,2518
2015-05-22,2396
2015-05-23,2396
2015-05-24,2396
2015-05-25,2396
2015-05-26,2277
2015-05-27,2277
2015-05-28,2167
2015-05-29,2167
2015-05-30,2061
2015-05-31,2061
2015-06-01,1961
2015-06-02,1961
2015-06-03,1961
2015-06-04,1865
2015-06-05,1865
2015-06-06,1778
2015-06-07,1778
2015-06-08,1778
2015-06-09,1694
2015-06-10,1694
2015-06-11,1694
2015-06-12,1621
2015-06-13,1621
2015-06-14,1542
2015-06-15,1542
2015-06-16,1542
2015-06-17,1466
2015-06-18,1466
2015-06-19,1466
2015-06-20,1392
2015-06-21,1392
2015-06-22,1392
2015-06-23,1324
2015-06-24,1324
2015-06-25,1324
2015-06-26,1258
2015-06-27,1258
2015-06-28,1258
2015-06-29,1197
2015-06-30,1197
2015-07-01,1197
2015-07-02,1146
2015-07-03,1146
2015-07-04,1092
2015-07-05,1092
2015-07-06,1092
2015-07-07,1047
2015-07-08,1047
2015-07-09,1047
2015-07-10,995
2015-07-11,995
2015-07-12,995
2015-07-13,995
2015-07-14,955
2015-07-15,955
2015-07-16,955
2015-07-17,909
2015-07-18,909
2015-07-19,909
2015-07-20,884
2015-07-21,884
2015-07-22,874
2015-07-23,874
2015-07-24,874
2015-07-25,850
2015-07-26,850
2015-07-27,850
2015-07-28,831
2015-07-29,831
2015-07-30,831
2015-07-31,791
2015-08-01,791
2015-08-02,791
2015-08-03,751
2015-08-04,751
2015-08-05,751
2015-08-06,735
2015-08-07,735
2015-08-08,735
2015-08-09,716
2015-08-10,716
2015-08-11,716
2015-08-12,695
2015-08-13,695
2015-08-14,695
2015-08-15,667
2015-08-16,667
2015-08-17,667
2015-08-18,646
2015-08-19,646
2015-08-20,646
2015-08-21,633
2015-08-22,633
2015-08-23,633
2015-08-24,633
2015-08-25,633
2015-08-26,633
2015-08-27,637
2015-08-28,637
2015-08-29,637
2015-08-30,643
2015-08-31,643
2015-09-01,643
2015-09-02,638
2015-09-03,638
2015-09-04,638
2015-09-05,646
2015-09-06,646
2015-09-07,646
2015-09-08,639
2015-09-09,639
2015-09-10,639
2015-09-11,623
2015-09-12,623
2015-09-13,623
2015-09-14,622
2015-09-15,622
2015-09-16,622
2015-09-17,629
2015-09-18,629
2015-09-19,629
2015-09-20,629
2015-09-21,636
2015-09-22,636
2015-09-23,636
2015-09-24,636
2015-09-25,636
2015-09-27,622
2015-09-28,622
2015-09-29,622
2015-09-30,611
2015-10-05,603
2015-10-06,603
2015-10-07,603
