date_obj,Zamorak%20godsword price
2015-03-26,3399293
2015-03-27,3399293
2015-03-28,3547163
2015-03-29,3547163
2015-03-30,3547163
2015-03-31,3657473
2015-04-01,3657473
2015-04-02,3657473
2015-04-03,3657473
2015-04-04,3766952
2015-04-05,3766952
2015-04-06,3766952
2015-04-07,3766952
2015-04-08,3847950
2015-04-09,3847950
2015-04-10,3847950
2015-04-11,3918128
2015-04-12,3918128
2015-04-13,3918128
2015-04-14,3918128
2015-04-15,4029676
2015-04-16,4029676
2015-04-17,4200690
2015-04-18,4200690
2015-04-19,4387207
2015-04-20,4387207
2015-04-21,4387207
2015-04-22,4571865
2015-04-23,4571865
2015-04-24,4758821
2015-04-25,4758821
2015-04-26,4758821
2015-04-27,4947302
2015-04-28,4947302
2015-04-29,4947302
2015-04-30,5100958
2015-05-01,5100958
2015-05-02,5100958
2015-05-03,5100958
2015-05-04,5337704
2015-05-05,5337704
2015-05-06,5337704
2015-05-07,5337704
2015-05-08,5451321
2015-05-09,5451321
2015-05-10,5451321
2015-05-11,5451321
2015-05-12,5522059
2015-05-13,5522059
2015-05-14,5522059
2015-05-15,5522059
2015-05-16,5303314
2015-05-17,5303314
2015-05-18,5303314
2015-05-19,5040966
2015-05-20,5040966
2015-05-21,5040966
2015-05-22,5040966
2015-05-23,5040966
2015-05-24,4802601
2015-05-25,4802601
2015-05-26,4802601
2015-05-27,4802601
2015-05-28,4649544
2015-05-29,4649544
2015-05-30,4517385
2015-05-31,4517385
2015-06-01,4485011
2015-06-02,4485011
2015-06-03,4485011
2015-06-04,4568548
2015-06-05,4568548
2015-06-06,4664402
2015-06-07,4664402
2015-06-08,4598885
2015-06-09,4598885
2015-06-10,4549319
2015-06-11,4549319
2015-06-12,4549319
2015-06-13,4423631
2015-06-14,4423631
2015-06-15,4304024
2015-06-16,4304024
2015-06-17,4117384
2015-06-18,4117384
2015-06-19,4170495
2015-06-20,4170495
2015-06-21,4144486
2015-06-22,4144486
2015-06-23,4043470
2015-06-24,4043470
