date_obj,Mud%20pie price
2015-03-26,650
2015-03-27,650
2015-03-28,650
2015-03-29,650
2015-03-30,650
2015-03-31,650
2015-04-01,650
2015-04-02,650
2015-04-03,650
2015-04-04,653
2015-04-05,653
2015-04-06,653
2015-04-07,653
2015-04-08,653
2015-04-09,653
2015-04-10,653
2015-04-11,653
2015-04-12,653
2015-04-13,653
2015-04-14,653
2015-04-15,653
2015-04-16,653
2015-04-17,653
2015-04-18,653
2015-04-19,653
2015-04-20,653
2015-04-21,653
2015-04-22,653
2015-04-23,653
2015-04-24,653
2015-04-25,653
2015-04-26,653
2015-04-27,653
2015-04-28,653
2015-04-29,653
2015-04-30,653
2015-05-01,653
2015-05-02,653
2015-05-03,653
2015-05-04,653
2015-05-05,653
2015-05-06,653
2015-05-07,653
2015-05-08,653
2015-05-09,653
2015-05-10,653
2015-05-11,653
2015-05-12,653
2015-05-13,653
2015-05-14,653
2015-05-15,653
2015-05-16,653
2015-05-17,653
2015-05-18,653
2015-05-19,665
2015-05-20,665
2015-05-21,665
2015-05-22,665
2015-05-23,665
2015-05-24,665
2015-05-25,665
2015-05-26,665
2015-05-27,665
2015-05-28,665
2015-05-29,665
2015-05-30,665
2015-05-31,665
2015-06-01,665
2015-06-02,665
2015-06-03,665
2015-06-04,665
2015-06-05,665
2015-06-06,665
2015-06-07,665
2015-06-08,665
2015-06-09,665
2015-06-10,665
2015-06-11,665
2015-06-12,665
2015-06-13,665
2015-06-14,665
2015-06-15,665
2015-06-16,665
2015-06-17,665
2015-06-18,665
2015-06-19,665
2015-06-20,665
2015-06-21,665
2015-06-22,665
2015-06-23,665
2015-06-24,674
2015-06-25,674
2015-06-26,674
2015-06-27,674
2015-06-28,674
2015-06-29,674
2015-06-30,674
2015-07-01,674
2015-07-02,674
2015-07-03,674
2015-07-04,674
2015-07-05,674
2015-07-06,674
2015-07-07,674
2015-07-08,674
2015-07-09,674
2015-07-10,674
2015-07-11,674
2015-07-12,674
2015-07-13,674
2015-07-14,674
2015-07-15,674
2015-07-16,674
2015-07-17,674
2015-07-18,674
2015-07-19,674
2015-07-20,674
2015-07-21,674
2015-07-22,674
2015-07-23,674
2015-07-24,674
2015-07-25,674
2015-07-26,674
2015-07-27,674
2015-07-28,674
2015-07-29,674
2015-07-30,674
2015-07-31,674
2015-08-01,674
2015-08-02,701
2015-08-03,701
2015-08-04,701
2015-08-05,701
2015-08-06,701
2015-08-07,701
2015-08-08,701
2015-08-09,701
2015-08-10,701
2015-08-11,701
2015-08-12,701
2015-08-13,701
2015-08-14,701
2015-08-15,701
2015-08-16,701
2015-08-17,701
2015-08-18,701
2015-08-19,701
2015-08-20,701
2015-08-21,701
2015-08-22,701
2015-08-23,701
2015-08-24,701
2015-08-25,701
2015-08-26,701
2015-08-27,701
2015-08-28,701
2015-08-29,701
2015-08-30,701
2015-08-31,701
2015-09-01,701
2015-09-02,701
2015-09-03,701
2015-09-04,727
2015-09-05,727
2015-09-06,727
2015-09-07,727
2015-09-08,727
2015-09-09,727
2015-09-10,727
2015-09-11,727
2015-09-12,727
2015-09-13,727
2015-09-14,727
2015-09-15,727
2015-09-16,727
2015-09-17,727
2015-09-18,727
2015-09-19,727
2015-09-20,727
2015-09-21,727
2015-09-22,727
2015-09-23,727
2015-09-24,727
2015-09-25,727
2015-09-27,727
2015-09-28,727
2015-09-29,727
2015-09-30,727
2015-10-05,761
2015-10-06,761
2015-10-07,761
2015-10-08,761
2015-10-09,800
2015-10-10,800
2015-10-11,800
2015-10-12,800
2015-10-13,800
2015-10-14,800
2015-10-15,800
2015-10-16,800
2015-10-17,800
2015-10-18,800
2015-10-19,800
2015-10-20,800
2015-10-22,839
2015-10-23,839
2015-10-24,839
2015-10-25,839
2015-10-26,839
2015-10-27,839
2015-10-29,839
2015-10-30,839
2015-10-31,839
2015-11-01,839
2015-11-02,839
2015-11-03,839
2015-11-04,839
2015-11-05,839
2015-11-06,839
2015-11-07,873
2015-11-08,873
2015-11-09,873
2015-11-10,873
2015-11-11,873
2015-11-12,873
2015-11-13,873
2015-11-14,873
2015-11-15,873
2015-11-16,873
2015-11-17,873
2015-11-18,873
2015-11-19,873
2015-11-20,873
2015-11-21,873
2015-11-22,873
2015-11-23,873
2015-11-24,873
2015-11-25,873
2015-11-26,917
2015-11-27,917
2015-11-28,917
2015-11-29,917
2015-11-30,917
2015-12-01,917
2015-12-02,917
2015-12-03,917
2015-12-04,917
2015-12-05,917
2015-12-06,917
2015-12-07,917
2015-12-08,917
2015-12-09,917
2015-12-10,963
2015-12-11,963
2015-12-12,963
2015-12-13,963
2015-12-14,963
2015-12-15,963
2015-12-16,963
2015-12-17,963
2015-12-18,963
2015-12-19,963
2015-12-20,963
2015-12-21,963
2015-12-22,963
2015-12-23,963
2015-12-24,963
2015-12-25,963
2015-12-26,963
2015-12-27,1008
2015-12-28,1008
2015-12-29,1008
2015-12-30,1008
2015-12-31,1008
2016-01-01,1008
2016-01-02,1008
2016-01-03,1008
2016-01-04,1008
2016-01-05,1008
2016-01-06,1008
