date_obj,Steel%20platebody price
2015-03-26,967
2015-03-27,967
2015-03-28,976
2015-03-29,966
2015-03-30,964
2015-03-31,978
2015-04-01,964
2015-04-02,982
2015-04-03,988
2015-04-04,988
2015-04-05,972
2015-04-06,977
2015-04-07,984
2015-04-08,967
2015-04-09,982
2015-04-10,986
2015-04-11,974
2015-04-12,967
2015-04-13,976
2015-04-14,989
2015-04-15,988
2015-04-16,974
2015-04-17,968
2015-04-18,965
2015-04-19,970
2015-04-20,982
2015-04-21,972
2015-04-22,963
2015-04-23,968
2015-04-24,966
2015-04-25,974
2015-04-26,975
2015-04-27,981
2015-04-28,979
2015-04-29,979
2015-04-30,978
2015-05-01,982
2015-05-02,970
2015-05-03,987
2015-05-04,994
2015-05-05,971
2015-05-06,978
2015-05-07,976
2015-05-08,977
2015-05-09,971
2015-05-10,968
2015-05-11,961
2015-05-12,966
2015-05-13,963
2015-05-14,973
2015-05-15,974
2015-05-16,976
2015-05-17,967
2015-05-18,976
2015-05-19,986
2015-05-20,989
2015-05-21,990
2015-05-22,992
2015-05-23,977
2015-05-24,976
2015-05-25,972
2015-05-26,964
2015-05-27,986
2015-05-28,999
2015-05-29,995
2015-05-30,996
2015-05-31,984
2015-06-01,988
2015-06-02,978
2015-06-03,988
2015-06-04,986
2015-06-05,996
2015-06-06,1016
2015-06-07,1012
2015-06-08,1004
2015-06-09,1023
2015-06-10,1023
2015-06-11,1036
2015-06-12,1041
2015-06-13,1038
2015-06-14,1042
2015-06-15,1032
2015-06-16,1022
2015-06-17,1014
2015-06-18,1024
2015-06-19,1014
2015-06-20,1014
2015-06-21,986
2015-06-22,998
2015-06-23,1019
2015-06-24,1019
2015-06-25,1023
2015-06-26,1011
2015-06-27,1020
2015-06-28,992
2015-06-29,986
2015-06-30,997
2015-07-01,1009
2015-07-02,996
2015-07-03,1002
2015-07-04,992
2015-07-05,989
2015-07-06,971
2015-07-07,992
2015-07-08,991
2015-07-09,1013
2015-07-10,999
2015-07-11,992
2015-07-12,987
2015-07-13,985
2015-07-14,981
2015-07-15,988
2015-07-16,987
2015-07-17,988
2015-07-18,986
2015-07-19,981
2015-07-20,997
2015-07-21,1007
2015-07-22,1009
2015-07-23,1009
2015-07-24,1009
2015-07-25,1007
2015-07-26,1004
2015-07-27,1005
2015-07-28,1008
2015-07-29,1011
2015-07-30,1008
2015-07-31,1013
2015-08-01,1008
2015-08-02,998
2015-08-03,1012
2015-08-04,1002
2015-08-05,1002
2015-08-06,1019
2015-08-07,1011
2015-08-08,1020
2015-08-09,1013
2015-08-10,1016
2015-08-11,1011
2015-08-12,1000
2015-08-13,1007
2015-08-14,1010
2015-08-15,1006
2015-08-16,1008
2015-08-17,995
2015-08-18,991
2015-08-19,998
2015-08-20,1002
2015-08-21,1001
2015-08-22,1008
2015-08-23,1014
2015-08-24,1008
2015-08-25,996
2015-08-26,1009
2015-08-27,1006
2015-08-28,1007
2015-08-29,1014
2015-08-30,1005
2015-08-31,1009
