date_obj,Mystic%20air%20staff price
2015-03-26,33144
2015-03-27,33144
2015-03-28,33144
2015-03-29,33144
2015-03-30,31565
2015-03-31,31565
2015-04-01,31565
2015-04-02,31565
2015-04-03,30194
2015-04-04,30194
2015-04-05,30194
2015-04-06,28778
2015-04-07,28778
2015-04-08,28778
2015-04-09,28778
2015-04-10,27630
2015-04-11,27630
2015-04-12,27630
2015-04-13,26755
2015-04-14,26755
2015-04-15,26755
2015-04-16,26755
2015-04-17,26883
2015-04-18,26883
2015-04-19,26883
2015-04-20,26883
2015-04-21,27102
2015-04-22,27102
2015-04-23,27102
2015-04-24,27102
2015-04-25,26643
2015-04-26,26643
2015-04-27,26643
2015-04-28,26052
2015-04-29,26052
2015-04-30,26052
2015-05-01,26224
2015-05-02,26224
2015-05-03,26224
2015-05-04,26224
2015-05-05,26183
2015-05-06,26183
2015-05-07,26183
2015-05-08,26183
2015-05-09,26114
2015-05-10,26114
2015-05-11,26114
2015-05-12,26114
2015-05-13,26383
2015-05-14,26383
2015-05-15,26383
2015-05-16,26383
2015-05-17,26293
2015-05-18,26293
2015-05-19,26293
2015-05-20,26293
2015-05-21,26470
2015-05-22,26470
2015-05-23,26470
2015-05-24,26693
2015-05-25,26693
2015-05-26,26693
2015-05-27,26721
2015-05-28,26721
2015-05-29,26721
2015-05-30,26279
2015-05-31,26279
2015-06-01,26195
2015-06-02,26195
2015-06-03,26195
2015-06-04,26580
2015-06-05,26580
2015-06-06,26816
2015-06-07,26816
2015-06-08,26816
2015-06-09,26693
2015-06-10,26693
2015-06-11,26693
2015-06-12,26613
2015-06-13,26613
2015-06-14,26364
2015-06-15,26364
2015-06-16,26364
2015-06-17,26467
2015-06-18,26467
2015-06-19,27004
2015-06-20,27004
2015-06-21,26654
2015-06-22,26654
2015-06-23,26468
2015-06-24,26468
2015-06-25,26468
2015-06-26,26436
2015-06-27,26436
2015-06-28,26520
2015-06-29,26520
2015-06-30,26520
2015-07-01,26356
2015-07-02,26356
2015-07-03,26356
2015-07-04,26578
2015-07-05,26578
2015-07-06,26578
2015-07-07,26586
2015-07-08,26586
2015-07-09,26586
2015-07-10,26668
2015-07-11,26668
2015-07-12,26668
2015-07-13,26561
2015-07-14,26561
2015-07-15,26575
2015-07-16,26575
2015-07-17,26669
2015-07-18,26669
2015-07-19,26835
2015-07-20,26835
2015-07-21,27089
2015-07-22,27089
2015-07-23,26811
2015-07-24,26811
2015-07-25,26579
2015-07-26,26579
2015-07-27,26131
2015-07-28,26131
2015-07-29,26525
2015-07-30,26525
2015-07-31,26525
2015-08-01,26587
