date_obj,Studded%20body price
2015-03-26,875
2015-03-27,875
2015-03-28,831
2015-03-29,798
2015-03-30,758
2015-03-31,720
2015-04-01,720
2015-04-02,684
2015-04-03,667
2015-04-04,650
2015-04-05,619
2015-04-06,588
2015-04-07,575
2015-04-08,575
2015-04-09,568
2015-04-10,555
2015-04-11,547
2015-04-12,542
2015-04-13,539
2015-04-14,539
2015-04-15,521
2015-04-16,500
2015-04-17,490
2015-04-18,470
2015-04-19,458
2015-04-20,458
2015-04-21,456
2015-04-22,445
2015-04-23,436
2015-04-24,435
2015-04-25,427
2015-04-26,423
2015-04-27,425
2015-04-28,417
2015-04-29,417
2015-04-30,405
2015-05-01,402
2015-05-02,402
2015-05-03,402
2015-05-04,411
2015-05-05,425
2015-05-06,430
2015-05-07,445
2015-05-08,458
2015-05-09,468
2015-05-10,490
2015-05-11,490
2015-05-12,485
2015-05-13,484
2015-05-14,486
2015-05-15,470
2015-05-16,470
2015-05-17,465
2015-05-18,489
2015-05-19,494
2015-05-20,494
2015-05-21,485
2015-05-22,498
2015-05-23,512
2015-05-24,526
2015-05-25,523
2015-05-26,507
2015-05-27,507
2015-05-28,503
2015-05-29,485
2015-05-30,476
2015-05-31,479
2015-06-01,459
2015-06-02,459
2015-06-03,453
2015-06-04,459
2015-06-05,458
2015-06-06,458
2015-06-07,467
2015-06-08,468
2015-06-09,472
2015-06-10,460
2015-06-11,447
2015-06-12,433
2015-06-13,444
2015-06-14,443
2015-06-15,442
2015-06-16,453
2015-06-17,464
2015-06-18,470
2015-06-19,477
2015-06-20,480
2015-06-21,485
2015-06-22,476
2015-06-23,486
2015-06-24,488
2015-06-25,488
2015-06-26,475
2015-06-27,475
2015-06-28,470
2015-06-29,474
2015-06-30,480
2015-07-01,476
2015-07-02,476
2015-07-03,475
2015-07-04,479
2015-07-05,465
2015-07-06,474
2015-07-07,479
2015-07-08,480
2015-07-09,480
2015-07-10,486
2015-07-11,485
2015-07-12,474
2015-07-13,461
2015-07-14,445
2015-07-15,442
2015-07-16,435
2015-07-17,444
2015-07-18,452
2015-07-19,464
2015-07-20,474
2015-07-21,485
2015-07-22,495
2015-07-23,495
2015-07-24,489
2015-07-25,484
2015-07-26,471
2015-07-27,469
2015-07-28,456
2015-07-29,452
2015-07-30,454
2015-07-31,455
2015-08-01,453
2015-08-02,447
2015-08-03,463
2015-08-04,477
2015-08-05,473
2015-08-06,471
2015-08-07,473
2015-08-08,458
2015-08-09,453
2015-08-10,433
2015-08-11,421
2015-08-12,421
2015-08-13,411
2015-08-14,411
2015-08-15,393
2015-08-16,387
2015-08-17,387
2015-08-18,385
2015-08-19,389
2015-08-20,382
2015-08-21,389
2015-08-22,400
2015-08-23,409
2015-08-24,421
2015-08-25,421
2015-08-26,424
2015-08-27,441
2015-08-28,463
2015-08-29,487
2015-08-30,487
2015-08-31,505
2015-09-01,528
2015-09-02,528
2015-09-03,532
2015-09-04,554
2015-09-05,554
2015-09-06,581
2015-09-07,600
2015-09-08,629
2015-09-09,660
2015-09-10,676
2015-09-11,671
2015-09-12,698
2015-09-13,718
2015-09-14,733
2015-09-15,735
2015-09-16,735
2015-09-17,717
2015-09-18,717
2015-09-19,692
2015-09-20,664
2015-09-21,630
2015-09-22,606
2015-09-23,583
2015-09-24,583
2015-09-25,556
2015-09-27,518
2015-09-28,500
2015-09-29,491
2015-09-30,479
2015-10-05,452
2015-10-06,440
2015-10-07,429
2015-10-08,420
2015-10-09,412
2015-10-10,412
2015-10-11,398
2015-10-12,381
2015-10-13,381
2015-10-14,383
2015-10-15,385
2015-10-16,401
2015-10-17,401
2015-10-18,403
2015-10-19,417
2015-10-20,426
