date_obj,Barley%20seed price
2015-03-05,80
2015-03-06,80
2015-03-07,80
2015-03-08,76
2015-03-09,76
2015-03-10,76
2015-03-11,76
2015-03-12,72
2015-03-13,72
2015-03-14,72
2015-03-15,68
2015-03-16,68
2015-03-17,68
2015-03-18,64
2015-03-19,64
2015-03-20,64
2015-03-21,64
2015-03-22,60
2015-03-23,60
2015-03-24,60
2015-03-25,60
2015-03-26,57
2015-03-27,57
2015-03-28,57
2015-03-29,54
2015-03-30,54
2015-03-31,54
2015-04-01,51
2015-04-02,51
2015-04-03,51
2015-04-04,48
2015-04-05,48
2015-04-06,48
2015-04-07,48
2015-04-08,45
2015-04-09,45
2015-04-10,45
2015-04-11,42
2015-04-12,42
2015-04-13,42
2015-04-14,42
2015-04-15,39
2015-04-16,39
2015-04-17,39
2015-04-18,39
2015-04-19,37
2015-04-20,37
2015-04-21,37
2015-04-22,37
2015-04-23,35
2015-04-24,35
2015-04-25,35
2015-04-26,35
2015-04-27,33
2015-04-28,33
2015-04-29,33
2015-04-30,33
2015-05-01,31
2015-05-02,31
2015-05-03,31
2015-05-04,31
2015-05-05,29
2015-05-06,29
2015-05-07,29
2015-05-08,29
2015-05-09,27
2015-05-10,27
2015-05-11,27
2015-05-12,27
2015-05-13,25
2015-05-14,25
2015-05-15,25
2015-05-16,25
2015-05-17,23
2015-05-18,23
2015-05-19,23
2015-05-20,23
2015-05-21,23
2015-05-22,21
2015-05-23,21
2015-05-24,21
2015-05-25,21
2015-05-26,19
2015-05-27,19
2015-05-28,19
2015-05-29,18
2015-05-30,18
2015-05-31,18
2015-06-01,17
2015-06-02,17
2015-06-03,17
2015-06-04,17
2015-06-05,16
2015-06-06,16
2015-06-07,16
2015-06-08,16
2015-06-09,15
2015-06-10,15
2015-06-11,15
2015-06-12,15
2015-06-13,14
2015-06-14,14
2015-06-15,14
2015-06-16,14
2015-06-17,13
2015-06-18,13
2015-06-19,13
2015-06-20,13
2015-06-21,12
2015-06-22,12
2015-06-23,12
2015-06-24,11
2015-06-25,11
2015-06-26,11
2015-06-27,11
2015-06-28,10
2015-06-29,10
2015-06-30,10
2015-07-01,10
2015-07-02,9
2015-07-03,9
2015-07-04,9
2015-07-05,8
2015-07-06,8
2015-07-07,8
2015-07-08,8
2015-07-09,7
2015-07-10,7
2015-07-11,7
2015-07-12,7
2015-07-13,6
2015-07-14,6
2015-07-15,6
2015-07-16,6
2015-07-17,5
2015-07-18,5
2015-07-19,5
2015-07-20,5
2015-07-21,4
2015-07-22,4
2015-07-23,4
2015-07-24,3
2015-07-25,3
2015-07-26,3
2015-07-27,3
2015-07-28,2
2015-07-29,2
2015-07-30,2
2015-07-31,2
2015-08-01,1
2015-08-02,1
2015-08-03,1
2015-08-04,1
2015-08-05,1
2015-08-06,1
2015-08-07,1
2015-08-08,1
2015-08-09,1
2015-08-10,1
2015-08-11,1
2015-08-12,1
2015-08-13,1
2015-08-14,1
2015-08-15,1
2015-08-16,1
2015-08-17,1
2015-08-18,1
2015-08-19,1
2015-08-20,1
2015-08-21,1
2015-08-22,1
2015-08-23,1
2015-08-24,1
2015-08-25,1
2015-08-26,1
2015-08-27,1
2015-08-28,1
2015-08-29,1
2015-08-30,1
2015-08-31,1
2015-09-02,1
2015-09-07,1
2015-09-08,1
2015-09-10,1
2015-09-14,1
2015-09-16,1
2015-09-22,1
2015-09-23,1
2015-09-24,1
2015-09-25,1
2015-09-27,1
2015-09-28,1
2015-09-29,1
2015-09-30,1
2015-10-05,1
2015-10-06,1
2015-10-07,1
2015-10-08,1
2015-10-09,1
2015-10-10,1
2015-10-11,1
2015-10-12,1
2015-10-13,1
2015-10-14,1
2015-10-15,1
2015-10-16,1
2015-10-17,1
2015-10-18,1
2015-10-19,1
2015-10-20,1
2015-10-22,1
2015-10-23,1
2015-10-24,1
2015-10-25,1
2015-10-26,1
2015-10-27,1
2015-10-28,1
2015-10-29,1
2015-10-30,1
2015-10-31,1
2015-11-01,1
2015-11-02,1
2015-11-03,1
2015-11-04,1
2015-11-05,1
2015-11-06,1
2015-11-07,1
2015-11-08,1
2015-11-09,1
2015-11-10,1
2015-11-11,1
2015-11-12,1
2015-11-13,1
2015-11-14,1
2015-11-15,1
2015-11-16,1
2015-11-17,1
2015-11-18,1
2015-11-19,1
2015-11-20,1
2015-11-21,1
2015-11-22,1
2015-11-23,1
2015-11-24,1
2015-11-25,1
2015-11-26,1
2015-11-27,1
2015-11-28,1
2015-11-29,1
2015-11-30,1
2015-12-01,1
2015-12-02,1
2015-12-03,1
2015-12-04,1
2015-12-05,1
2015-12-06,1
2015-12-07,1
2015-12-08,1
2015-12-09,1
2015-12-10,1
2015-12-11,1
2015-12-12,1
2015-12-13,1
2015-12-14,1
2015-12-15,1
2015-12-16,1
2015-12-17,1
2015-12-18,1
2015-12-19,1
2015-12-20,1
2015-12-21,1
2015-12-22,1
