date_obj,Mystic%20robe%20top%20(dusk) price
2019-01-10,91500
2019-01-11,95607
2019-01-12,100388
2019-01-13,105408
2019-01-14,110679
2019-01-15,116213
2019-01-16,122024
2019-01-17,128126
2019-01-18,134533
2019-01-19,141260
2019-01-20,148323
2019-01-21,155098
2019-01-22,162853
2019-01-23,170996
2019-01-24,179219
2019-01-25,188180
2019-01-26,197589
2019-01-27,207469
2019-01-28,217843
2019-01-29,228736
2019-01-30,240173
2019-01-31,251600
2019-02-01,264180
2019-02-02,275575
2019-02-03,289354
2019-02-04,289354
2019-02-05,302955
2019-02-06,302955
2019-02-07,317861
2019-02-08,317437
2019-02-09,331361
2019-02-10,336472
2019-02-11,353181
2019-02-12,353181
2019-02-13,368585
2019-02-14,368585
2019-02-15,363117
2019-02-16,357724
2019-02-17,346074
2019-02-18,328818
2019-02-19,313233
2019-02-20,302109
2019-02-21,293668
2019-02-22,291469
2019-02-23,285139
2019-02-24,278350
2019-02-25,268716
2019-02-26,267078
2019-02-27,263752
2019-02-28,263752
2019-03-01,258370
2019-03-02,251399
2019-03-03,251697
2019-03-04,258611
2019-03-05,259871
2019-03-06,257729
2019-03-07,261261
2019-03-08,261261
2019-03-09,269432
2019-03-10,282746
2019-03-11,296033
2019-03-12,306433
2019-03-13,306433
2019-03-14,309196
2019-03-15,309196
2019-03-16,304342
2019-03-17,295729
2019-03-18,295729
2019-03-19,291904
2019-03-20,299566
2019-03-21,299566
2019-03-22,302745
2019-03-23,315734
2019-03-24,315734
2019-03-25,331521
2019-03-26,346646
2019-03-27,346646
2019-03-28,352901
2019-03-29,343904
2019-03-30,343904
2019-03-31,327666
2019-04-01,318340
2019-04-02,318340
2019-04-03,326405
2019-04-04,326405
2019-04-05,331166
2019-04-06,331166
2019-04-07,323227
2019-04-08,323227
2019-04-09,325342
2019-04-10,325342
2019-04-11,335466
2019-04-12,335466
2019-04-13,340278
2019-04-14,340278
2019-04-15,346775
2019-04-16,346775
2019-04-17,351638
2019-04-18,351638
2019-04-19,351031
2019-04-20,351031
2019-04-21,352355
2019-04-22,352355
2019-04-23,338708
2019-04-24,338708
2019-04-25,323053
2019-04-26,309601
2019-04-27,309601
2019-04-28,295671
2019-04-29,295671
2019-04-30,286279
2019-05-01,286279
2019-05-02,272297
2019-05-03,259896
2019-05-04,253620
2019-05-05,253620
2019-05-06,262621
2019-05-07,262621
2019-05-08,262975
2019-05-09,262975
2019-05-10,260087
2019-05-11,260087
2019-05-12,248387
2019-05-13,236251
2019-05-14,236251
2019-05-15,227093
2019-05-16,227093
2019-05-17,223618
2019-05-18,214361
2019-05-19,214361
2019-05-20,206462
2019-05-21,206462
2019-05-22,205523
2019-05-23,205523
2019-05-24,201152
2019-05-25,201152
2019-05-26,195790
2019-05-27,204727
2019-05-28,204727
2019-05-29,210802
2019-05-30,210802
2019-05-31,211166
2019-06-01,211166
2019-06-02,219133
2019-06-03,219133
2019-06-04,220179
2019-06-05,220179
2019-06-06,221046
2019-06-07,221046
2019-06-08,229889
2019-06-09,229889
2019-06-10,236507
2019-06-11,236507
2019-06-12,245161
2019-06-13,245161
2019-06-14,257420
2019-06-15,257420
2019-06-16,263533
2019-06-17,263533
2019-06-18,259328
2019-06-19,259328
2019-06-20,255283
2019-06-21,255283
2019-06-22,254811
2019-06-23,254811
2019-06-24,243657
2019-06-25,243657
2019-06-26,236194
2019-06-27,239623
2019-06-28,239623
2019-06-29,245269
2019-06-30,247828
2019-07-01,247828
2019-07-02,248636
2019-07-03,248636
2019-07-04,246842
2019-07-05,246842
2019-07-06,244836
2019-07-07,244836
2019-07-08,236215
2019-07-09,236215
2019-07-10,231447
2019-07-11,231447
2019-07-12,230121
2019-07-13,230121
2019-07-14,230470
2019-07-15,230470
2019-07-16,234326
2019-07-17,234326
2019-07-18,235259
2019-07-19,235259
2019-07-20,243644
2019-07-21,243644
2019-07-22,248830
2019-07-23,248830
2019-07-24,237734
2019-07-25,237734
2019-07-26,227144
2019-07-27,227144
2019-07-28,216490
2019-07-29,216490
2019-07-30,213118
2019-07-31,213118
2019-08-01,221663
2019-08-02,221663
2019-08-03,231634
2019-08-04,231634
2019-08-05,229199
2019-08-06,229199
2019-08-07,222812
2019-08-08,222812
2019-08-09,222812
2019-08-10,213290
2019-08-11,213290
2019-08-12,204791
2019-08-13,204791
2019-08-14,200273
2019-08-15,200273
2019-08-16,207445
2019-08-17,207445
2019-08-18,213462
2019-08-19,213462
2019-08-20,219578
2019-08-21,219578
2019-08-22,220019
2019-08-23,220019
2019-08-24,216190
2019-08-24,216190
2019-08-25,216190
2019-08-25,216190
2019-08-26,210011
2019-08-26,210011
2019-08-27,210011
2019-08-27,210011
2019-08-28,204759
2019-08-29,204759
2019-08-30,203188
2019-08-31,203188
2019-09-01,205393
2019-09-02,205393
2019-09-03,205393
2019-09-04,208677
2019-09-05,208677
2019-09-06,208677
2019-09-07,198853
2019-09-08,198853
2019-09-09,191408
2019-09-10,191408
2019-09-11,189811
2019-09-12,189811
2019-09-13,189811
2019-09-14,192638
2019-09-15,192638
2019-09-16,196141
2019-09-17,196141
2019-09-18,194731
2019-09-19,194731
2019-09-20,194731
2019-09-21,197114
2019-09-22,197114
2019-09-23,196264
2019-09-24,196264
2019-09-25,189039
2019-09-26,189039
2019-09-27,189727
2019-09-28,189727
2019-09-29,186101
2019-09-30,186101
2019-10-01,179558
2019-10-02,179558
2019-10-03,179558
2019-10-04,177828
2019-10-05,177828
2019-10-06,182545
2019-10-07,182545
2019-10-08,185724
2019-10-09,185724
2019-10-10,185724
2019-10-11,186933
2019-10-12,186933
2019-10-13,195915
2019-10-14,195915
2019-10-15,203876
2019-10-16,203876
2019-10-17,203876
2019-10-18,198640
2019-10-19,198640
2019-10-20,192919
2019-10-21,192919
2019-10-22,194794
2019-10-23,194794
2019-10-24,188314
2019-10-25,188314
2019-10-26,184738
2019-10-27,184738
2019-10-28,186971
2019-10-29,186971
2019-10-30,186971
2019-10-31,180009
2019-11-01,180009
2019-11-02,182123
2019-11-03,182123
2019-11-04,190137
2019-11-05,190137
2019-11-06,190137
2019-11-07,188569
2019-11-08,188569
2019-11-09,183758
2019-11-10,183758
2019-11-11,182681
2019-11-12,182681
2019-11-13,182681
2019-11-14,184819
2019-11-15,184819
2019-11-16,192419
2019-11-17,192419
2019-11-18,193060
2019-11-19,193060
2019-11-20,193060
2019-11-21,190844
2019-11-22,190844
2019-11-23,191502
2019-11-24,191502
2019-11-25,184021
2019-11-26,184021
2019-11-27,184021
2019-11-28,177010
2019-11-29,177010
2019-11-30,170856
2019-12-01,170856
2019-12-02,170527
2019-12-03,170527
2019-12-04,166244
2019-12-05,166244
2019-12-06,166244
2019-12-07,165253
2019-12-08,165253
2019-12-09,168649
2019-12-10,168649
2019-12-11,165188
2019-12-12,165188
2019-12-13,165188
2019-12-14,158082
2019-12-15,158082
2019-12-16,151777
2019-12-17,151777
2019-12-18,149879
2019-12-19,149879
2019-12-20,150154
2019-12-21,150154
2019-12-22,156983
2019-12-23,156983
2019-12-24,158360
2019-12-25,158360
2019-12-26,154020
2019-12-27,154020
2019-12-28,150120
2019-12-29,150120
2019-12-30,150590
2019-12-31,150590
2020-01-01,153251
2020-01-02,153251
2020-01-03,156081
2020-01-04,156081
2020-01-05,155839
2020-01-06,155839
2020-01-07,153147
2020-01-08,153147
2020-01-09,153147
2020-01-10,149522
2020-01-11,149522
2020-01-12,147707
2020-01-13,147707
2020-01-14,147707
2020-01-15,149161
2020-01-16,149161
2020-01-17,150426
2020-01-18,150426
2020-01-19,151997
2020-01-20,151997
2020-01-21,153635
2020-01-22,153635
2020-01-23,153802
2020-01-24,153802
2020-01-25,158219
2020-01-26,158219
2020-01-27,162724
2020-01-28,162724
2020-01-29,159212
2020-01-30,159212
2020-01-31,161807
2020-02-01,161807
2020-02-02,168008
2020-02-03,168008
2020-02-04,169986
2020-02-05,169986
2020-02-06,162634
2020-02-07,162634
2020-02-08,162313
2020-02-09,162313
2020-02-10,165756
2020-02-11,165756
2020-02-12,163749
2020-02-13,163749
2020-02-14,156138
2020-02-15,156138
2020-02-16,155606
2020-02-17,155606
2020-02-18,160433
2020-02-19,160433
2020-02-20,155445
2020-02-21,155445
2020-02-22,150449
2020-02-23,150449
2020-02-24,144978
2020-02-25,144978
2020-02-26,148884
2020-02-27,148884
2020-02-28,149945
2020-02-29,149945
2020-03-01,153489
2020-03-02,153489
2020-03-03,153330
2020-03-04,153330
2020-03-05,148782
2020-03-06,148782
2020-03-07,147151
2020-03-08,147151
2020-03-09,148460
2020-03-10,148460
2020-03-11,155883
2020-03-12,155883
2020-03-13,158869
2020-03-14,158869
2020-03-15,155922
2020-03-16,155922
2020-03-17,158804
2020-03-18,158804
2020-03-19,165816
2020-03-20,170380
2020-03-21,170380
2020-03-22,165526
2020-03-23,165526
2020-03-24,169175
2020-03-25,169175
2020-03-26,164476
2020-03-27,164476
2020-03-28,167528
2020-03-29,174583
2020-03-30,181161
2020-03-31,181161
2020-04-01,182385
2020-04-02,187307
2020-04-03,187307
2020-04-04,181395
2020-04-05,181395
2020-04-06,180520
2020-04-07,180520
2020-04-08,181329
2020-04-09,181329
2020-04-10,181853
2020-04-11,179806
2020-04-12,187401
2020-04-13,187401
2020-04-14,191202
2020-04-15,184601
2020-04-16,184601
2020-04-17,181612
2020-04-18,184807
2020-04-19,175905
2020-04-20,175198
2020-04-21,175198
2020-04-22,173867
2020-04-23,173867
2020-04-24,172249
2020-04-25,172249
2020-04-26,179154
2020-04-27,184641
2020-04-28,183526
2020-04-29,183526
2020-04-30,181262
2020-05-01,181262
2020-05-02,174775
2020-05-03,171697
2020-05-04,171697
2020-05-05,166023
2020-05-06,171310
2020-05-07,171310
2020-05-08,173136
2020-05-09,175751
2020-05-10,176389
2020-05-11,176389
2020-05-12,179267
2020-05-13,181388
