date_obj,Bone%20dagger price
2015-03-26,11411
2015-03-27,11411
2015-03-28,10840
2015-03-29,10840
2015-03-30,10298
2015-03-31,10298
2015-04-01,10298
2015-04-02,9783
2015-04-03,9783
2015-04-04,9313
2015-04-05,9313
2015-04-06,8903
2015-04-07,8903
2015-04-08,8903
2015-04-09,8457
2015-04-10,8457
2015-04-11,8034
2015-04-12,8034
2015-04-13,7636
2015-04-14,7636
2015-04-15,7265
2015-04-16,7265
2015-04-17,6909
2015-04-18,6909
2015-04-19,6567
2015-04-20,6567
2015-04-21,6567
2015-04-22,6238
2015-04-23,6238
2015-04-24,5926
2015-04-25,5926
2015-04-26,5926
2015-04-27,5629
2015-04-28,5629
2015-04-29,5629
2015-04-30,5347
2015-05-01,5347
2015-05-02,5182
2015-05-03,5182
2015-05-04,4922
2015-05-05,4922
2015-05-06,4783
2015-05-07,4783
2015-05-08,4629
2015-05-09,4629
2015-05-10,4576
2015-05-11,4576
2015-05-12,4399
2015-05-13,4399
2015-05-14,4257
2015-05-15,4257
2015-05-16,4257
2015-05-17,4044
2015-05-18,4044
2015-05-19,3841
2015-05-20,3841
2015-05-21,3841
2015-05-22,3673
2015-05-23,3673
2015-05-24,3603
2015-05-25,3603
2015-05-26,3462
2015-05-27,3462
2015-05-28,3515
2015-05-29,3515
2015-05-30,3443
2015-05-31,3443
2015-06-01,3472
2015-06-02,3472
2015-06-03,3472
2015-06-04,3537
2015-06-05,3537
2015-06-06,3580
2015-06-07,3580
2015-06-08,3556
2015-06-09,3556
2015-06-10,3597
2015-06-11,3597
2015-06-12,3597
2015-06-13,3499
2015-06-14,3499
2015-06-15,3499
2015-06-16,3396
2015-06-17,3396
2015-06-18,3433
2015-06-19,3433
2015-06-20,3476
2015-06-21,3476
2015-06-22,3495
2015-06-23,3495
2015-06-24,3477
2015-06-25,3477
2015-06-26,3347
2015-06-27,3347
2015-06-28,3412
2015-06-29,3412
2015-06-30,3412
2015-07-01,3307
2015-07-02,3307
2015-07-03,3362
2015-07-04,3362
2015-07-05,3196
2015-07-06,3196
2015-07-07,3043
2015-07-08,3043
2015-07-09,2951
2015-07-10,2951
2015-07-11,3022
2015-07-12,3022
2015-07-13,3047
2015-07-14,3047
2015-07-15,3006
2015-07-16,3006
2015-07-17,3036
2015-07-18,3036
2015-07-19,3036
2015-07-20,3138
2015-07-21,3138
2015-07-22,3029
2015-07-23,3029
2015-07-24,2919
2015-07-25,2919
2015-07-26,2777
2015-07-27,2777
2015-07-28,2740
2015-07-29,2740
2015-07-30,2773
2015-07-31,2773
2015-08-01,2773
2015-08-02,2749
2015-08-03,2749
2015-08-04,2749
2015-08-05,2723
2015-08-06,2723
2015-08-07,2793
2015-08-08,2793
2015-08-09,2826
2015-08-10,2826
2015-08-11,2788
2015-08-12,2788
2015-08-13,2788
2015-08-14,2789
2015-08-15,2789
2015-08-16,2789
2015-08-17,2870
2015-08-18,2870
2015-08-19,2768
2015-08-20,2768
2015-08-21,2644
2015-08-22,2644
2015-08-23,2584
2015-08-24,2584
2015-08-25,2584
2015-08-26,2624
2015-08-27,2624
2015-08-28,2677
2015-08-29,2677
2015-08-30,2794
