date_obj,Wolf%20bones price
2015-03-26,537
2015-03-27,537
2015-03-28,519
2015-03-29,519
2015-03-30,495
2015-03-31,495
2015-04-01,476
2015-04-02,476
2015-04-03,462
2015-04-04,443
2015-04-05,443
2015-04-06,422
2015-04-07,422
2015-04-08,401
2015-04-09,401
2015-04-10,385
2015-04-11,385
2015-04-12,372
2015-04-13,372
2015-04-14,361
2015-04-15,361
2015-04-16,355
2015-04-17,355
2015-04-18,351
2015-04-19,351
2015-04-20,362
2015-04-21,362
2015-04-22,358
2015-04-23,358
2015-04-24,357
2015-04-25,357
2015-04-26,374
2015-04-27,374
2015-04-28,393
2015-04-29,393
2015-04-30,408
2015-05-01,408
2015-05-02,408
2015-05-03,408
2015-05-04,403
2015-05-05,403
2015-05-06,393
2015-05-07,393
2015-05-08,393
2015-05-09,393
2015-05-10,379
2015-05-11,379
2015-05-12,376
2015-05-13,376
2015-05-14,394
2015-05-15,394
2015-05-16,413
2015-05-17,422
2015-05-18,422
2015-05-19,415
2015-05-20,415
2015-05-21,415
2015-05-22,399
2015-05-23,399
2015-05-24,386
2015-05-25,386
2015-05-26,372
2015-05-27,372
2015-05-28,357
2015-05-29,357
2015-05-30,351
2015-05-31,351
2015-06-01,342
2015-06-02,342
2015-06-03,350
2015-06-04,350
2015-06-05,354
2015-06-06,363
2015-06-07,363
2015-06-08,362
2015-06-09,362
2015-06-10,362
2015-06-11,362
2015-06-12,363
2015-06-13,354
2015-06-14,354
2015-06-15,352
2015-06-16,352
2015-06-17,349
2015-06-18,363
2015-06-19,363
2015-06-20,364
2015-06-21,364
2015-06-22,356
2015-06-23,356
2015-06-24,349
2015-06-25,349
2015-06-26,342
2015-06-27,342
2015-06-28,336
2015-06-29,336
2015-06-30,331
2015-07-01,331
2015-07-02,330
2015-07-03,324
2015-07-04,324
2015-07-05,332
2015-07-06,332
2015-07-07,347
2015-07-08,347
2015-07-09,351
2015-07-10,359
2015-07-11,359
2015-07-12,363
2015-07-13,363
2015-07-14,373
2015-07-15,373
2015-07-16,392
2015-07-17,406
2015-07-18,406
2015-07-19,410
2015-07-20,429
2015-07-21,429
2015-07-22,440
2015-07-23,440
2015-07-24,436
2015-07-25,436
2015-07-26,426
2015-07-27,426
2015-07-28,418
2015-07-29,413
2015-07-30,413
2015-07-31,417
2015-08-01,417
2015-08-02,411
2015-08-03,411
2015-08-04,408
2015-08-05,420
2015-08-06,420
2015-08-07,407
2015-08-08,407
2015-08-09,409
2015-08-10,409
