date_obj,White%20berries price
2016-01-24,953
2016-01-25,924
2016-01-26,924
2016-01-27,948
2016-01-28,948
2016-01-29,931
2016-01-30,931
2016-01-31,906
2016-02-01,900
2016-02-02,900
2016-02-03,940
2016-02-04,940
2016-02-05,986
2016-02-06,993
2016-02-07,993
2016-02-08,975
2016-02-09,975
2016-02-10,941
2016-02-11,941
2016-02-12,908
2016-02-13,863
2016-02-14,863
2016-02-15,830
2016-02-16,830
2016-02-17,846
2016-02-18,846
2016-02-19,818
2016-02-20,818
2016-02-21,824
2016-02-22,824
2016-02-23,819
2016-02-24,819
2016-02-25,818
2016-02-26,818
2016-02-27,793
2016-02-28,793
2016-02-29,779
2016-03-01,779
2016-03-02,798
2016-03-03,798
2016-03-04,800
2016-03-05,800
2016-03-06,802
2016-03-07,802
2016-03-08,786
2016-03-09,786
2016-03-10,782
2016-03-11,782
2016-03-12,788
2016-03-13,788
2016-03-14,794
2016-03-15,794
2016-03-16,805
2016-03-17,805
2016-03-18,811
2016-03-19,811
2016-03-20,816
2016-03-21,816
2016-03-22,802
2016-03-23,817
2016-03-24,817
2016-03-25,855
2016-03-26,884
2016-03-27,884
2016-03-28,880
2016-03-29,880
2016-03-30,895
2016-03-31,895
2016-04-01,874
2016-04-02,874
2016-04-03,857
2016-04-04,857
2016-04-05,873
2016-04-06,873
2016-04-07,856
2016-04-08,856
2016-04-09,828
2016-04-10,850
2016-04-11,850
2016-04-12,871
2016-04-13,871
2016-04-14,888
2016-04-15,889
2016-04-16,889
2016-04-17,853
2016-04-18,832
2016-04-19,832
2016-04-20,825
2016-04-21,825
2016-04-22,852
2016-04-23,852
2016-04-24,856
2016-04-25,842
2016-04-26,842
2016-04-27,871
2016-04-28,871
2016-04-29,904
2016-04-30,901
2016-05-01,901
2016-05-02,857
2016-05-03,854
2016-05-04,854
2016-05-05,883
2016-05-06,883
2016-05-07,866
2016-05-08,866
2016-05-09,890
2016-05-10,894
2016-05-11,894
2016-05-12,886
2016-05-13,901
2016-05-14,901
2016-05-15,890
2016-05-16,890
2016-05-17,935
2016-05-18,981
2016-05-19,981
2016-05-22,1080
2016-05-23,1105
2016-05-24,1160
2016-05-25,1160
2016-05-26,1129
2016-05-27,1163
2016-05-28,1163
2016-05-29,1158
2016-05-30,1158
2016-05-31,1101
2016-06-01,1050
2016-06-02,1056
2016-06-03,1056
2016-06-04,1102
2016-06-05,1102
2016-06-06,1150
2016-06-07,1150
2016-06-08,1156
2016-06-09,1126
2016-06-10,1075
2016-06-11,1075
2016-06-12,1047
2016-06-13,1047
2016-06-14,1035
2016-06-15,1035
2016-06-16,1084
2016-06-17,1114
2016-06-18,1114
2016-06-19,1129
2016-06-20,1126
2016-06-21,1109
2016-06-22,1081
2016-06-23,1103
2016-06-24,1103
2016-06-25,1109
2016-06-26,1109
2016-06-27,1111
2016-06-28,1161
2016-06-29,1129
