date_obj,Torag's%20platebody price
2015-03-26,201751
2015-03-27,201751
2015-03-28,209667
2015-03-29,213144
2015-03-30,218711
2015-03-31,213344
2015-04-01,209929
2015-04-02,211053
2015-04-03,220417
2015-04-04,227940
2015-04-05,235062
2015-04-06,232471
2015-04-07,237575
2015-04-08,235283
2015-04-09,236175
2015-04-10,238065
2015-04-11,237828
2015-04-12,237380
2015-04-13,236391
2015-04-14,236244
2015-04-15,233771
2015-04-16,232727
2015-04-17,236219
2015-04-18,240179
2015-04-19,243677
2015-04-20,242410
2015-04-21,244159
2015-04-22,245288
2015-04-23,243859
2015-04-24,244305
2015-04-25,246601
2015-04-26,247281
2015-04-27,250195
2015-04-28,249179
2015-04-29,248630
2015-04-30,244265
2015-05-01,247366
2015-05-02,246648
2015-05-03,245337
2015-05-04,246272
2015-05-05,247544
2015-05-06,248012
2015-05-07,248180
2015-05-08,246505
2015-05-09,247681
2015-05-10,245775
2015-05-11,241147
2015-05-12,241788
2015-05-13,237279
2015-05-14,239583
2015-05-15,241780
2015-05-16,242037
2015-05-17,239112
2015-05-18,234331
2015-05-19,229521
2015-05-20,227595
2015-05-21,224446
2015-05-22,220207
2015-05-23,226307
2015-05-24,234635
2015-05-25,240780
2015-05-26,248101
2015-05-27,248145
2015-05-28,246154
2015-05-29,250250
2015-05-30,255738
2015-05-31,253701
2015-06-01,253959
2015-06-02,252065
2015-06-03,250649
2015-06-04,253585
2015-06-05,258220
2015-06-06,256939
2015-06-07,256660
2015-06-08,259362
2015-06-09,265074
2015-06-10,270970
2015-06-11,270961
2015-06-12,264990
2015-06-13,265978
2015-06-14,267218
2015-06-15,262122
2015-06-16,256730
2015-06-17,260078
2015-06-18,263567
2015-06-19,260812
2015-06-20,253912
2015-06-21,254316
2015-06-22,258921
2015-06-23,258443
2015-06-24,255003
2015-06-25,253319
2015-06-26,256644
2015-06-27,262916
2015-06-28,272515
2015-06-29,275742
2015-06-30,270384
2015-07-01,268209
2015-07-02,261519
2015-07-03,271342
2015-07-04,283731
2015-07-05,296557
2015-07-06,309206
2015-07-07,303645
2015-07-08,318211
2015-07-09,321498
2015-07-10,314872
2015-07-11,311149
2015-07-12,303458
2015-07-13,295186
2015-07-14,290708
2015-07-15,280795
2015-07-16,274600
2015-07-17,269300
2015-07-18,259632
2015-07-19,256221
2015-07-20,254604
2015-07-21,250311
2015-07-22,254376
2015-07-23,256656
2015-07-24,263525
2015-07-25,262092
2015-07-26,255418
2015-07-27,260281
2015-07-28,267626
2015-07-29,273782
2015-07-30,267848
2015-07-31,261386
2015-08-01,255569
2015-08-02,244995
2015-08-03,233873
2015-08-04,225560
2015-08-05,225734
2015-08-06,233074
2015-08-07,238103
2015-08-08,247366
2015-08-09,257065
2015-08-10,247226
2015-08-11,237059
2015-08-12,231962
2015-08-13,225389
2015-08-14,226160
2015-08-15,231675
2015-08-16,234867
2015-08-17,239604
2015-08-18,243907
2015-08-19,238697
2015-08-20,239666
2015-08-21,248551
2015-08-22,260587
2015-08-23,266723
2015-08-24,258936
2015-08-25,254662
2015-08-26,252051
2015-08-27,257359
2015-08-28,266812
2015-08-29,272009
2015-08-30,284577
2015-08-31,288270
2015-09-01,297524
2015-09-02,301918
2015-09-03,305492
2015-09-04,303482
2015-09-05,296177
2015-09-06,284581
2015-09-07,272778
2015-09-08,261642
2015-09-09,249627
2015-09-10,248180
2015-09-11,259788
2015-09-12,266827
2015-09-13,272908
2015-09-14,273173
2015-09-15,267866
2015-09-16,267029
2015-09-17,259862
2015-09-18,254208
2015-09-19,247184
2015-09-20,241874
2015-09-21,238404
2015-09-22,244116
2015-09-23,246195
2015-09-24,256725
2015-09-25,254107
2015-09-27,255032
2015-09-28,267720
2015-09-29,280216
2015-09-30,288172
2015-10-05,290877
2015-10-06,282118
2015-10-07,277259
2015-10-08,274880
2015-10-09,269355
2015-10-10,280465
2015-10-11,285429
2015-10-12,281876
2015-10-13,291055
2015-10-14,281685
2015-10-15,272020
2015-10-16,265091
2015-10-17,264599
2015-10-18,260899
2015-10-19,260744
2015-10-20,263626
2015-10-22,286934
2015-10-23,298745
2015-10-24,297764
2015-10-25,290803
2015-10-26,283262
2015-10-27,284351
2015-10-29,276075
2015-10-30,275812
2015-10-31,273486
2015-11-01,273607
2015-11-02,283078
2015-11-03,294396
2015-11-04,291754
2015-11-05,283730
2015-11-06,272912
2015-11-07,262816
2015-11-08,256985
2015-11-09,258239
2015-11-10,265809
2015-11-11,264199
2015-11-12,265978
2015-11-13,272218
2015-11-14,269068
2015-11-15,264169
2015-11-16,262317
2015-11-17,263060
2015-11-18,268589
2015-11-19,271343
2015-11-20,277828
2015-11-21,282718
2015-11-22,280229
2015-11-23,279923
2015-11-24,286319
2015-11-25,277322
2015-11-26,278466
2015-11-27,276625
2015-11-28,275425
2015-11-29,270961
2015-11-30,275494
2015-12-01,283412
2015-12-02,292699
2015-12-03,299346
2015-12-04,303002
2015-12-05,300956
2015-12-06,295752
2015-12-07,291582
2015-12-08,305433
2015-12-09,310984
2015-12-10,311437
2015-12-11,307692
2015-12-13,300954
2015-12-14,300520
2015-12-15,301751
2015-12-16,302740
2015-12-17,307107
2015-12-18,308712
2015-12-19,320827
2015-12-20,324638
2015-12-21,324739
2015-12-22,325025
2015-12-23,315851
2015-12-24,318088
2015-12-25,321877
2015-12-26,322905
2015-12-27,317453
2015-12-28,313624
2015-12-29,308230
2015-12-30,296994
2015-12-31,288361
2016-01-01,279655
2016-01-02,274963
2016-01-03,266411
2016-01-04,260731
2016-01-05,263473
2016-01-06,275249
2016-01-07,288907
2016-01-08,297332
2016-01-09,296539
2016-01-10,294008
2016-01-11,293516
2016-01-12,290092
2016-01-13,301105
2016-01-14,290438
2016-01-15,300879
2016-01-16,314682
2016-01-17,319533
2016-01-18,306666
2016-01-19,301897
2016-01-20,296214
2016-01-21,299090
2016-01-22,305595
2016-01-23,312690
2016-01-24,310181
2016-01-25,306621
2016-01-26,299240
2016-01-27,298401
2016-01-28,297903
2016-01-29,290120
2016-01-30,289698
2016-01-31,284591
2016-02-01,289359
2016-02-02,290554
2016-02-03,283817
2016-02-04,286530
2016-02-05,287120
2016-02-06,281427
2016-02-07,277517
2016-02-08,274938
2016-02-09,268534
2016-02-10,272972
2016-02-11,274880
2016-02-12,277648
2016-02-13,279577
2016-02-14,279970
2016-02-15,279476
