date_obj,Young%20impling%20jar price
2015-03-26,8500
2015-03-27,8500
2015-03-28,8500
2015-03-29,8500
2015-03-30,8500
2015-03-31,8500
2015-04-01,8500
2015-04-02,8500
2015-04-03,8500
2015-04-04,8500
2015-04-05,8500
2015-04-06,8500
2015-04-07,8500
2015-04-08,8500
2015-04-09,8500
2015-04-10,8500
2015-04-11,8500
2015-04-12,8500
2015-04-13,8500
2015-04-14,8500
2015-04-15,8500
2015-04-16,8500
2015-04-17,8500
2015-04-18,8500
2015-04-19,8500
2015-04-20,8500
2015-04-21,8500
2015-04-22,8500
2015-04-23,8500
2015-04-24,8500
2015-04-25,8500
2015-04-26,8500
2015-04-27,8500
2015-04-28,8500
2015-04-29,8500
2015-04-30,8500
2015-05-01,8130
2015-05-02,8130
2015-05-03,8130
2015-05-04,8130
2015-05-05,8130
2015-05-06,8130
2015-05-07,8130
2015-05-08,8130
2015-05-09,8130
2015-05-10,8130
2015-05-11,8130
2015-05-12,8130
2015-05-13,8130
2015-05-14,8130
2015-05-15,8130
2015-05-16,8130
2015-05-17,8130
2015-05-18,8130
2015-05-19,8130
2015-05-20,8130
2015-05-21,8130
2015-05-22,8130
2015-05-23,8130
2015-05-24,8130
2015-05-25,8130
2015-05-26,8130
2015-05-27,8130
2015-05-28,8130
2015-05-29,8130
2015-05-30,8130
2015-05-31,8130
2015-06-01,8130
2015-06-02,8130
2015-06-03,8130
2015-06-04,8130
2015-06-05,8130
2015-06-06,8130
2015-06-07,8130
2015-06-08,8130
2015-06-09,8130
2015-06-10,8130
2015-06-11,8130
2015-06-12,8130
2015-06-13,8130
2015-06-14,8130
2015-06-15,7733
2015-06-16,7733
2015-06-17,7733
2015-06-18,7733
2015-06-19,7733
2015-06-20,7733
2015-06-21,7733
2015-06-22,7733
2015-06-23,7733
2015-06-24,7733
2015-06-25,7733
2015-06-26,7733
2015-06-27,7733
2015-06-28,7733
2015-06-29,7733
2015-06-30,7733
2015-07-01,7733
2015-07-02,7733
2015-07-03,7733
2015-07-04,7733
2015-07-05,7733
2015-07-06,7733
2015-07-07,7733
2015-07-08,7733
2015-07-09,7733
2015-07-10,7733
2015-07-11,7733
2015-07-12,7733
2015-07-13,7733
2015-07-14,7733
2015-07-15,7733
2015-07-16,7733
2015-07-17,7733
2015-07-18,7733
2015-07-19,7733
2015-07-20,7733
2015-07-21,7733
2015-07-22,7733
2015-07-23,7733
2015-07-24,7733
2015-07-25,7733
2015-07-26,7733
2015-07-27,7733
2015-07-28,7733
2015-07-29,7395
2015-07-30,7395
2015-07-31,7395
2015-08-01,7395
2015-08-02,7395
2015-08-03,7395
2015-08-04,7395
2015-08-05,7395
2015-08-06,7395
2015-08-07,7395
