date_obj,Leather%20boots price
2015-03-26,127
2015-03-27,121
2015-03-28,120
2015-03-29,117
2015-03-30,114
2015-03-31,111
2015-04-01,108
2015-04-02,104
2015-04-03,101
2015-04-04,99
2015-04-05,99
2015-04-06,98
2015-04-07,96
2015-04-08,94
2015-04-09,94
2015-04-10,94
2015-04-11,94
2015-04-12,93
2015-04-13,90
2015-04-14,87
2015-04-15,86
2015-04-16,86
2015-04-17,86
2015-04-18,85
2015-04-19,84
2015-04-20,85
2015-04-21,84
2015-04-22,84
2015-04-23,83
2015-04-24,83
2015-04-25,82
2015-04-26,82
2015-04-27,82
2015-04-28,80
2015-04-29,81
2015-04-30,80
2015-05-01,80
2015-05-02,79
2015-05-03,80
2015-05-04,80
2015-05-05,79
2015-05-06,78
2015-05-07,77
2015-05-08,77
2015-05-09,76
2015-05-10,75
2015-05-11,76
2015-05-12,77
2015-05-13,78
2015-05-14,78
2015-05-15,78
2015-05-16,78
2015-05-17,78
2015-05-18,78
2015-05-19,76
2015-05-20,75
2015-05-21,76
2015-05-22,77
2015-05-23,76
2015-05-24,74
2015-05-25,73
2015-05-26,72
2015-05-27,71
2015-05-28,70
2015-05-29,70
2015-05-30,69
2015-05-31,69
2015-06-01,69
2015-06-02,70
2015-06-03,70
2015-06-04,70
2015-06-05,68
2015-06-06,68
2015-06-07,67
2015-06-08,67
2015-06-09,68
2015-06-10,66
2015-06-11,65
2015-06-12,66
2015-06-13,68
2015-06-14,70
2015-06-15,70
2015-06-16,71
2015-06-17,71
2015-06-18,72
2015-06-19,72
2015-06-20,71
2015-06-21,69
2015-06-22,70
2015-06-23,72
2015-06-24,73
2015-06-25,75
2015-06-26,76
2015-06-27,76
2015-06-28,76
2015-06-29,75
2015-06-30,75
2015-07-01,74
2015-07-02,72
2015-07-03,73
2015-07-04,74
2015-07-05,73
2015-07-06,73
2015-07-07,73
2015-07-08,72
2015-07-09,71
2015-07-10,70
2015-07-11,70
2015-07-12,71
2015-07-13,72
2015-07-14,72
2015-07-15,72
2015-07-16,72
2015-07-17,73
2015-07-18,73
2015-07-19,73
2015-07-20,72
2015-07-21,73
2015-07-22,75
2015-07-23,77
2015-07-24,76
2015-07-25,76
2015-07-26,77
2015-07-27,78
2015-07-28,79
2015-07-29,80
2015-07-30,81
2015-07-31,81
2015-08-01,82
2015-08-02,84
2015-08-03,84
2015-08-04,83
2015-08-05,83
2015-08-06,83
2015-08-07,85
2015-08-08,86
2015-08-09,86
2015-08-10,85
2015-08-11,83
2015-08-12,83
2015-08-13,85
2015-08-14,87
2015-08-15,89
2015-08-16,90
2015-08-17,92
2015-08-18,92
2015-08-19,92
2015-08-20,92
2015-08-21,92
2015-08-22,92
2015-08-23,92
2015-08-24,90
2015-08-25,90
2015-08-26,91
2015-08-27,91
2015-08-28,91
2015-08-29,91
2015-08-30,90
2015-08-31,90
2015-09-01,90
2015-09-02,89
2015-09-03,91
2015-09-04,91
2015-09-05,92
2015-09-06,93
2015-09-07,92
2015-09-08,92
2015-09-09,90
2015-09-10,90
2015-09-11,90
2015-09-12,89
2015-09-13,88
2015-09-14,87
2015-09-15,86
2015-09-16,86
2015-09-17,87
2015-09-18,88
2015-09-19,88
2015-09-20,89
2015-09-21,89
2015-09-22,91
2015-09-23,92
2015-09-24,94
2015-09-25,93
2015-09-27,96
2015-09-28,95
2015-09-29,95
2015-09-30,96
2015-10-05,94
2015-10-06,93
2015-10-07,94
2015-10-08,93
2015-10-09,92
2015-10-10,87
2015-10-11,86
2015-10-12,87
2015-10-13,88
2015-10-14,87
2015-10-15,87
2015-10-16,88
2015-10-17,89
2015-10-18,91
2015-10-19,92
2015-10-20,91
2015-10-22,90
2015-10-23,90
2015-10-24,92
2015-10-25,92
2015-10-26,92
2015-10-27,93
2015-10-29,95
2015-10-30,97
2015-10-31,97
2015-11-01,94
2015-11-02,94
2015-11-03,95
2015-11-04,94
2015-11-05,94
2015-11-06,91
2015-11-07,92
2015-11-08,91
2015-11-09,92
