date_obj,Dragon%20armour%20set%20(sk) price
2018-01-03,25000000
2018-01-04,25000000
2018-01-05,25000000
2018-01-06,25000000
2018-01-07,25000000
2018-01-08,25000000
2018-01-09,25000000
2018-01-10,25000000
2018-01-11,25000000
2018-01-12,25000000
2018-01-13,25000000
2018-01-14,25000000
2018-01-15,25000000
2018-01-16,25000000
2018-01-17,25000000
2018-01-18,25000000
2018-01-19,25000000
2018-01-20,25000000
2018-01-21,25000000
2018-01-22,25000000
2018-01-23,25000000
2018-01-25,25715754
2018-01-26,25715754
2018-01-27,25715754
2018-01-28,25715754
2018-01-29,25715754
2018-01-30,25715754
2018-01-31,25715754
2018-02-01,25715754
2018-02-02,25715754
2018-02-03,25715754
2018-02-04,25715754
2018-02-05,25715754
2018-02-06,25715754
2018-02-07,25715754
2018-02-08,25715754
2018-02-09,25715754
2018-02-10,25715754
2018-02-11,25715754
2018-02-12,25715754
2018-02-13,25715754
2018-02-14,25715754
2018-02-15,25715754
2018-02-16,25715754
2018-02-17,25715754
2018-02-18,25715754
2018-02-19,25715754
2018-02-20,25715754
2018-02-21,26689918
2018-02-22,26689918
2018-02-23,26689918
2018-02-24,26689918
2018-02-25,26689918
2018-02-26,26689918
2018-02-27,26689918
2018-02-28,26689918
2018-03-01,26689918
2018-03-02,26689918
2018-03-03,26689918
2018-03-04,26689918
2018-03-05,26689918
2018-03-06,26689918
2018-03-07,26689918
2018-03-08,26689918
2018-03-09,26689918
2018-03-10,26689918
2018-03-11,26689918
2018-03-12,26689918
2018-03-13,26689918
2018-03-14,26689918
2018-03-15,26689918
2018-03-16,26689918
2018-03-17,26689918
2018-03-18,26689918
2018-03-19,26689918
2018-03-20,26689918
2018-03-21,26689918
2018-03-23,26689918
2018-03-24,26689918
2018-03-25,26689918
2018-03-26,26689918
2018-03-27,26689918
2018-03-28,26689918
2018-03-29,26689918
2018-03-30,26689918
2018-03-31,26689918
2018-04-01,26689918
2018-04-02,26689918
2018-04-03,26689918
2018-04-04,27743291
2018-04-05,27743291
2018-04-06,27743291
2018-04-07,27743291
2018-04-08,27743291
2018-04-09,27743291
2018-04-10,27743291
2018-04-11,27743291
2018-04-12,27743291
2018-04-13,27743291
2018-04-14,27743291
