date_obj,Dragon%20mace price
2015-03-26,34474
2015-03-27,34474
2015-03-28,33743
2015-03-29,32718
2015-03-30,32718
2015-03-31,33548
2015-04-01,33548
2015-04-02,34843
2015-04-03,34980
2015-04-04,34295
2015-04-05,34295
2015-04-06,33676
2015-04-07,33676
2015-04-08,34239
2015-04-09,34239
2015-04-10,34188
2015-04-11,33358
2015-04-12,33358
2015-04-13,32908
2015-04-14,32908
2015-04-15,33172
2015-04-16,33172
2015-04-17,33471
2015-04-18,34316
2015-04-19,34647
2015-04-20,34647
2015-04-21,33982
2015-04-22,33982
2015-04-23,33224
2015-04-24,33224
2015-04-25,33110
2015-04-26,33110
2015-04-27,33050
2015-04-28,32752
2015-04-29,32752
2015-04-30,32209
2015-05-01,32744
2015-05-02,33558
2015-05-03,33558
2015-05-04,32659
2015-05-05,32659
2015-05-06,32371
2015-05-07,32794
2015-05-08,32794
2015-05-09,32566
2015-05-10,32169
2015-05-11,32169
2015-05-12,32626
2015-05-13,32626
2015-05-14,32785
2015-05-15,32785
2015-05-16,32728
2015-05-17,32857
2015-05-18,33157
2015-05-19,33157
2015-05-20,33070
2015-05-21,33070
2015-05-22,32847
2015-05-23,32847
2015-05-24,32782
2015-05-25,33012
2015-05-26,33478
2015-05-27,33478
2015-05-28,33038
2015-05-29,33125
2015-05-30,34019
2015-05-31,33487
2015-06-01,32811
2015-06-02,32811
2015-06-03,33228
2015-06-04,34402
2015-06-05,34817
2015-06-06,33843
2015-06-07,32611
2015-06-08,32452
2015-06-09,32969
2015-06-10,33477
2015-06-11,33477
2015-06-12,34217
2015-06-13,34159
2015-06-14,33663
2015-06-15,33829
2015-06-16,33152
2015-06-17,32558
2015-06-18,32364
2015-06-19,32165
2015-06-20,32495
2015-06-21,32495
2015-06-22,33116
2015-06-23,33631
2015-06-24,33324
2015-06-25,33324
2015-06-26,32996
2015-06-27,32996
2015-06-28,33615
2015-06-29,33615
2015-06-30,33872
2015-07-01,33999
2015-07-02,33999
2015-07-03,34451
2015-07-04,33896
2015-07-05,33896
2015-07-06,33962
2015-07-07,34824
2015-07-08,34621
2015-07-09,34621
2015-07-10,34209
2015-07-11,34209
2015-07-12,33465
2015-07-13,32827
2015-07-14,32973
2015-07-15,34449
2015-07-16,34432
2015-07-17,33664
2015-07-18,33664
2015-07-19,34132
2015-07-20,34507
2015-07-21,35177
2015-07-22,33960
2015-07-23,33960
2015-07-24,33484
2015-07-25,34315
2015-07-26,33326
2015-07-27,32816
2015-07-28,31876
2015-07-29,31745
2015-07-30,32190
2015-07-31,32190
2015-08-01,32276
2015-08-02,32947
2015-08-03,33032
2015-08-04,33393
2015-08-05,33215
2015-08-06,33246
2015-08-07,33572
2015-08-08,33227
2015-08-09,32845
2015-08-10,31624
2015-08-11,31859
2015-08-12,31859
2015-08-13,32600
2015-08-14,32973
2015-08-15,32973
2015-08-16,33829
2015-08-17,35326
2015-08-18,35405
2015-08-19,35058
2015-08-20,34893
2015-08-21,33834
2015-08-22,32714
2015-08-23,32714
2015-08-24,31302
2015-08-25,31302
2015-08-26,31956
2015-08-27,32293
2015-08-28,32298
2015-08-29,32160
2015-08-30,32160
2015-08-31,32362
2015-09-01,31966
2015-09-02,31966
2015-09-03,32517
2015-09-04,32639
2015-09-05,32639
2015-09-06,33210
2015-09-07,34107
2015-09-08,34279
2015-09-09,32874
2015-09-10,32185
2015-09-11,33194
2015-09-12,33115
2015-09-13,34007
2015-09-14,33285
2015-09-15,33997
2015-09-16,33997
2015-09-17,33683
2015-09-18,34773
2015-09-19,35410
2015-09-20,36080
2015-09-21,34374
2015-09-22,32664
2015-09-23,33090
2015-09-24,33090
2015-09-25,34417
2015-09-27,34230
2015-09-28,34079
2015-09-29,33705
2015-09-30,33772
2015-10-05,33684
2015-10-06,33513
2015-10-07,33298
2015-10-08,33886
2015-10-09,34159
2015-10-10,34159
2015-10-11,34109
2015-10-12,33521
2015-10-13,33521
2015-10-14,32972
2015-10-15,34014
2015-10-16,34857
2015-10-17,34857
2015-10-18,34031
2015-10-19,32574
2015-10-20,32892
2015-10-22,33771
2015-10-23,33868
2015-10-24,33992
2015-10-25,33990
2015-10-26,33475
2015-10-27,33475
2015-10-29,33517
2015-10-30,33301
2015-10-31,33321
2015-11-01,33321
2015-11-02,32619
2015-11-03,33027
2015-11-04,33027
2015-11-05,34019
2015-11-06,34019
2015-11-07,33495
2015-11-08,33495
2015-11-09,33318
2015-11-10,33318
2015-11-11,33559
2015-11-12,33559
2015-11-13,33570
2015-11-14,33570
2015-11-15,33693
2015-11-16,33693
2015-11-17,33622
2015-11-18,33622
2015-11-19,33691
2015-11-20,34092
2015-11-21,34092
2015-11-22,33692
2015-11-23,33692
2015-11-24,32409
2015-11-25,31710
2015-11-26,31710
2015-11-27,32572
2015-11-28,33493
2015-11-29,33869
2015-11-30,33658
2015-12-01,33658
2015-12-02,33931
2015-12-03,35159
2015-12-04,35159
2015-12-05,35886
2015-12-06,34785
2015-12-07,34785
2015-12-08,34051
2015-12-09,33504
2015-12-10,33170
2015-12-11,32540
2015-12-12,33377
2015-12-13,34166
2015-12-14,34166
2015-12-15,34464
2015-12-16,34496
2015-12-17,34496
2015-12-18,35332
2015-12-19,35332
2015-12-20,34768
2015-12-21,34182
2015-12-22,34563
2015-12-23,33720
2015-12-24,34029
2015-12-25,34398
2015-12-26,34398
2015-12-27,33671
2015-12-28,33438
2015-12-29,33498
2015-12-30,33661
2015-12-31,33638
2016-01-01,33638
2016-01-02,33931
2016-01-03,33941
2016-01-04,33920
2016-01-05,34029
2016-01-06,33551
2016-01-07,34037
2016-01-08,33450
2016-01-09,33844
2016-01-10,33547
2016-01-11,33565
2016-01-12,33962
2016-01-13,34134
2016-01-14,33806
2016-01-15,33476
2016-01-16,33626
2016-01-17,33328
2016-01-18,33704
2016-01-19,33704
2016-01-20,33664
2016-01-21,34093
2016-01-22,33768
2016-01-23,34756
2016-01-24,34716
2016-01-25,34715
2016-01-26,33580
2016-01-27,33500
2016-01-28,33500
2016-01-29,33617
2016-01-30,33617
2016-01-31,33636
2016-02-01,33361
2016-02-02,33227
2016-02-03,33203
2016-02-04,33540
2016-02-05,32386
2016-02-06,32161
2016-02-07,32992
2016-02-08,33672
2016-02-09,34153
2016-02-10,34371
2016-02-11,33241
2016-02-12,32994
2016-02-13,33019
2016-02-14,33019
2016-02-15,33514
2016-02-16,33522
2016-02-17,33615
2016-02-18,33615
2016-02-19,33695
2016-02-20,34286
2016-02-21,34557
2016-02-22,34557
2016-02-23,35922
2016-02-24,35240
2016-02-25,33961
2016-02-26,33961
2016-02-27,33277
2016-02-28,32561
2016-02-29,32292
2016-03-01,32816
2016-03-02,32816
2016-03-03,32659
2016-03-04,32095
2016-03-05,32031
2016-03-06,31718
2016-03-07,31718
2016-03-08,32329
2016-03-09,33049
2016-03-10,32902
2016-03-11,32800
2016-03-12,33177
2016-03-13,33177
2016-03-14,32805
2016-03-15,32952
2016-03-16,33673
2016-03-17,32585
2016-03-18,32822
2016-03-19,32762
2016-03-20,32378
2016-03-21,32378
2016-03-22,33164
2016-03-23,33603
2016-03-24,33168
2016-03-25,33640
2016-03-26,34568
2016-03-27,34284
2016-03-28,33772
2016-03-29,33030
2016-03-30,33030
2016-03-31,33075
2016-04-01,32857
2016-04-02,33163
2016-04-03,33443
2016-04-04,33720
2016-04-05,34059
2016-04-06,33431
2016-04-07,32775
2016-04-08,32875
2016-04-09,32810
2016-04-10,33183
2016-04-11,33183
2016-04-12,33121
2016-04-13,33452
2016-04-14,33185
2016-04-15,33584
2016-04-16,33711
2016-04-17,33903
2016-04-18,34060
2016-04-19,34266
2016-04-20,34321
2016-04-21,34857
2016-04-22,34857
2016-04-23,35490
2016-04-24,34419
2016-04-25,33228
2016-04-26,32948
2016-04-27,32929
2016-04-28,32342
2016-04-29,31869
2016-04-30,31288
2016-05-01,31613
2016-05-02,31707
2016-05-03,32356
2016-05-04,32749
2016-05-05,33152
2016-05-06,33152
2016-05-07,32735
2016-05-08,32673
2016-05-09,33377
2016-05-10,32817
2016-05-11,32740
2016-05-12,33344
2016-05-13,33576
2016-05-14,33716
2016-05-15,34657
2016-05-16,32959
2016-05-17,32817
2016-05-18,33330
2016-05-19,33612
2016-05-22,33245
2016-05-23,32927
2016-05-24,33077
2016-05-25,33625
2016-05-26,33621
2016-05-27,33360
2016-05-28,33360
2016-05-29,33338
2016-05-30,33338
2016-05-31,33648
2016-06-01,33238
2016-06-02,33289
2016-06-03,33033
2016-06-04,33162
2016-06-05,33162
2016-06-06,33217
2016-06-07,33217
2016-06-08,33394
2016-06-09,33270
2016-06-10,33792
2016-06-11,34381
2016-06-12,34164
2016-06-13,34164
2016-06-14,33560
2016-06-15,33406
2016-06-16,33406
2016-06-17,33732
2016-06-18,33732
2016-06-19,33357
2016-06-20,32538
2016-06-21,32764
2016-06-22,33010
2016-06-23,32987
2016-06-24,32617
2016-06-25,32922
2016-06-26,32922
2016-06-27,33035
2016-06-28,32977
2016-06-29,32521
2016-06-30,32689
2016-07-01,33259
2016-07-02,33417
2016-07-03,33690
2016-07-04,33714
2016-07-05,33451
2016-07-06,32619
2016-07-07,32640
2016-07-08,32912
2016-07-09,32431
2016-07-10,32374
2016-07-11,31917
2016-07-12,32284
2016-07-13,32567
2016-07-14,32842
2016-07-15,33097
2016-07-16,33250
2016-07-17,33016
2016-07-18,32584
