date_obj,Dragonfire%20shield price
2015-03-26,16450510
2015-03-27,16450510
2015-03-28,16476096
2015-03-29,16601649
2015-03-30,16763645
2015-03-31,16939010
2015-04-01,16939010
2015-04-02,17112107
2015-04-03,17180555
2015-04-04,17380792
2015-04-05,17380792
2015-04-06,17238639
2015-04-07,16981298
2015-04-08,16981298
2015-04-09,16855434
2015-04-10,16945054
2015-04-11,17046948
2015-04-12,17156391
2015-04-13,17199035
2015-04-14,17199035
2015-04-15,17140458
2015-04-16,17110171
2015-04-17,17274333
2015-04-18,17579942
2015-04-19,17613690
2015-04-20,17613690
2015-04-21,17614730
2015-04-22,17614730
2015-04-23,17582001
2015-04-24,17688954
2015-04-25,17992906
2015-04-26,18507990
2015-04-27,18602006
2015-04-28,18428716
2015-04-29,18428716
2015-04-30,17881686
2015-05-01,17936105
2015-05-02,17953450
2015-05-03,17953450
2015-05-04,18019663
2015-05-05,17870646
2015-05-06,17756585
2015-05-07,17669055
2015-05-08,17799116
2015-05-09,17758445
2015-05-10,17955521
2015-05-11,17955521
2015-05-12,17860374
2015-05-13,17860374
2015-05-14,17730992
2015-05-15,17826612
2015-05-16,17826612
2015-05-17,18044209
2015-05-18,18047691
2015-05-19,17916063
2015-05-20,17916063
2015-05-21,17751545
2015-05-22,17381036
2015-05-23,17325631
2015-05-24,17466194
2015-05-25,17558869
2015-05-26,17643179
2015-05-27,17814711
2015-05-28,17853706
2015-05-29,17919507
2015-05-30,17883733
2015-05-31,17755942
2015-06-01,17548260
2015-06-02,17548260
2015-06-03,17602505
2015-06-04,17581736
2015-06-05,17785497
2015-06-06,17992700
2015-06-07,18351336
2015-06-08,18598785
2015-06-09,18694579
2015-06-10,18640407
2015-06-11,18424540
2015-06-12,17986205
2015-06-13,17668700
2015-06-14,17517740
2015-06-15,17487898
2015-06-16,17310498
2015-06-17,17444125
2015-06-18,17422287
2015-06-19,17327178
2015-06-20,17210815
2015-06-21,17046513
2015-06-22,16702950
2015-06-23,16515161
2015-06-24,16467058
2015-06-25,16299995
2015-06-26,16490740
2015-06-27,17101698
2015-06-28,17106679
2015-06-29,17132794
2015-06-30,17221905
2015-07-01,17290317
2015-07-02,17290317
2015-07-03,17354172
2015-07-04,17310131
2015-07-05,17288360
2015-07-06,17179278
2015-07-07,17146379
2015-07-08,17114227
2015-07-09,17188351
2015-07-10,17191351
2015-07-11,17251545
2015-07-12,17300858
2015-07-13,17187528
2015-07-14,17171814
2015-07-15,17114684
2015-07-16,17141047
2015-07-17,17297279
2015-07-18,17382284
2015-07-19,17532470
2015-07-20,17597050
2015-07-21,17552141
2015-07-22,17557924
2015-07-23,17557924
2015-07-24,17832531
2015-07-25,17942776
2015-07-26,18036459
2015-07-27,18081497
2015-07-28,17847023
2015-07-29,17552893
2015-07-30,17580552
2015-07-31,17482117
2015-08-01,17599508
2015-08-02,17729387
2015-08-03,17982744
2015-08-04,18032810
2015-08-05,18193658
2015-08-06,18126932
2015-08-07,18087332
2015-08-08,18172713
2015-08-09,18286422
2015-08-10,18204356
2015-08-11,18191812
2015-08-12,18129857
2015-08-13,18223731
2015-08-14,18391815
2015-08-15,18674864
2015-08-16,18841299
2015-08-17,18814473
2015-08-18,18722795
2015-08-19,18609064
2015-08-20,18732211
2015-08-21,18964462
2015-08-22,19074086
2015-08-23,19271882
2015-08-24,19180114
2015-08-25,19180114
2015-08-26,19208208
2015-08-27,19225117
2015-08-28,18990943
2015-08-29,18901422
2015-08-30,18703530
2015-08-31,18470558
2015-09-01,18377165
2015-09-02,18319545
2015-09-03,18312929
2015-09-04,18467891
2015-09-05,18567612
2015-09-06,18502659
2015-09-07,18607114
2015-09-08,18578078
2015-09-09,18574611
2015-09-10,18470998
2015-09-11,18553149
2015-09-12,18920842
2015-09-13,18947404
2015-09-14,19098510
2015-09-15,19086068
2015-09-16,19023759
2015-09-17,18972702
2015-09-18,19085085
2015-09-19,19126208
2015-09-20,19027910
2015-09-21,19032293
2015-09-22,18955179
2015-09-23,18761809
2015-09-24,18430075
2015-09-25,17926591
2015-09-27,17473870
2015-09-28,17603417
2015-09-29,17829719
2015-09-30,18175139
2015-10-05,18033917
2015-10-06,17795605
2015-10-07,17783026
2015-10-08,17699325
2015-10-09,17219253
2015-10-10,17181749
2015-10-11,17009863
2015-10-12,16939617
2015-10-13,16970133
2015-10-14,16944586
2015-10-15,16912848
2015-10-16,17043847
