date_obj,Polished%20buttons price
2015-03-26,37
2015-03-27,37
2015-03-28,39
2015-03-29,39
2015-03-30,41
2015-03-31,44
2015-04-01,47
2015-04-02,50
2015-04-03,53
2015-04-04,56
2015-04-05,59
2015-04-06,62
2015-04-07,66
2015-04-08,70
2015-04-09,74
2015-04-10,78
2015-04-11,82
2015-04-12,87
2015-04-13,92
2015-04-14,97
2015-04-15,102
2015-04-16,108
2015-04-17,114
2015-04-18,120
2015-04-19,126
2015-04-20,126
2015-04-21,133
2015-04-22,140
2015-04-23,147
2015-04-24,155
2015-04-25,163
2015-04-26,172
2015-04-27,181
2015-04-28,191
2015-04-29,191
2015-04-30,201
2015-05-01,210
2015-05-02,221
2015-05-03,221
2015-05-04,233
2015-05-05,244
2015-05-06,257
2015-05-07,270
2015-05-08,284
2015-05-09,290
2015-05-10,304
2015-05-11,304
2015-05-12,319
2015-05-13,334
2015-05-14,349
2015-05-15,367
2015-05-16,382
2015-05-17,400
2015-05-18,414
2015-05-19,425
2015-05-20,425
2015-05-21,446
2015-05-22,460
2015-05-23,461
2015-05-24,469
2015-05-25,473
2015-05-26,481
2015-05-27,478
2015-05-28,478
2015-05-29,487
2015-05-30,496
2015-05-31,502
2015-06-01,517
2015-06-02,524
2015-06-03,526
2015-06-04,536
2015-06-05,530
2015-06-06,522
2015-06-07,527
2015-06-08,535
2015-06-09,542
2015-06-10,549
2015-06-11,565
2015-06-12,588
2015-06-13,600
2015-06-14,612
2015-06-15,621
2015-06-16,625
2015-06-17,637
2015-06-18,645
2015-06-19,654
2015-06-20,657
2015-06-21,666
2015-06-22,681
2015-06-23,691
2015-06-24,710
2015-06-25,721
2015-06-26,731
2015-06-27,740
2015-06-28,746
2015-06-29,746
2015-06-30,756
2015-07-01,777
2015-07-02,777
2015-07-03,789
2015-07-04,796
2015-07-05,802
2015-07-06,819
2015-07-07,820
2015-07-08,845
2015-07-09,852
2015-07-10,882
2015-07-11,893
2015-07-12,897
2015-07-13,896
2015-07-14,918
2015-07-15,936
2015-07-16,942
2015-07-17,937
2015-07-18,949
2015-07-19,950
2015-07-20,942
2015-07-21,936
2015-07-22,955
2015-07-23,955
2015-07-24,986
2015-07-25,996
2015-07-26,995
2015-07-27,1010
2015-07-28,1039
2015-07-29,1061
2015-07-30,1080
2015-07-31,1072
2015-08-01,1056
2015-08-02,1053
2015-08-03,1055
2015-08-04,1047
2015-08-05,1007
2015-08-06,1005
2015-08-07,982
2015-08-08,964
2015-08-09,956
2015-08-10,949
2015-08-11,959
2015-08-12,951
2015-08-13,935
2015-08-14,942
2015-08-15,946
2015-08-16,929
2015-08-17,916
2015-08-18,929
2015-08-19,950
2015-08-20,933
2015-08-21,936
2015-08-22,919
2015-08-23,937
2015-08-24,910
2015-08-25,910
2015-08-26,921
2015-08-27,896
2015-08-28,893
2015-08-29,900
2015-08-30,912
2015-08-31,923
2015-09-01,921
2015-09-02,921
2015-09-03,916
2015-09-04,910
2015-09-05,911
2015-09-06,916
2015-09-07,907
2015-09-08,905
2015-09-09,916
2015-09-10,912
2015-09-11,921
2015-09-12,930
2015-09-13,948
2015-09-14,935
2015-09-15,929
2015-09-16,911
2015-09-17,877
2015-09-18,879
2015-09-19,867
2015-09-20,856
2015-09-21,851
2015-09-22,851
2015-09-23,849
2015-09-24,849
2015-09-25,850
2015-09-27,823
2015-09-28,830
2015-09-29,834
2015-09-30,838
2015-10-05,837
2015-10-06,834
2015-10-07,797
2015-10-08,807
2015-10-09,810
2015-10-10,810
2015-10-11,817
2015-10-12,810
2015-10-13,810
2015-10-14,816
2015-10-15,816
2015-10-16,800
2015-10-17,800
2015-10-18,809
2015-10-19,807
2015-10-20,827
2015-10-22,842
2015-10-23,865
2015-10-24,895
2015-10-25,935
2015-10-26,974
2015-10-27,996
2015-10-29,1046
2015-10-30,1079
2015-10-31,1101
2015-11-01,1105
2015-11-02,1130
2015-11-03,1146
2015-11-04,1173
2015-11-05,1201
2015-11-06,1250
2015-11-07,1263
2015-11-08,1297
2015-11-09,1337
2015-11-10,1382
2015-11-11,1406
2015-11-12,1433
2015-11-13,1455
2015-11-14,1466
2015-11-15,1477
2015-11-16,1503
2015-11-17,1538
2015-11-18,1586
2015-11-19,1603
2015-11-20,1539
2015-11-21,1539
2015-11-22,1523
2015-11-23,1523
2015-11-24,1528
2015-11-25,1502
2015-11-26,1502
2015-11-27,1473
2015-11-28,1428
2015-11-29,1387
2015-11-30,1353
2015-12-01,1359
2015-12-02,1331
2015-12-03,1298
2015-12-04,1280
2015-12-05,1248
2015-12-06,1192
2015-12-07,1141
2015-12-08,1139
2015-12-09,1119
2015-12-10,1105
2015-12-11,1105
2015-12-12,1091
2015-12-13,1086
2015-12-14,1086
2015-12-15,1078
2015-12-16,1033
2015-12-17,1031
2015-12-18,1040
2015-12-19,1057
2015-12-20,1045
2015-12-21,1053
2015-12-22,1057
2015-12-23,1046
2015-12-24,1057
2015-12-25,1018
2015-12-26,1001
2015-12-27,1005
2015-12-28,997
2015-12-29,1004
2015-12-30,993
2015-12-31,979
2016-01-01,947
2016-01-02,957
2016-01-03,964
2016-01-04,967
2016-01-05,993
2016-01-06,1028
2016-01-07,1042
2016-01-08,1019
2016-01-09,1002
2016-01-10,1003
2016-01-11,1006
2016-01-12,1012
2016-01-13,1005
2016-01-14,996
2016-01-15,986
2016-01-16,979
2016-01-17,957
2016-01-18,947
2016-01-19,943
2016-01-20,925
2016-01-21,941
2016-01-22,941
2016-01-23,956
2016-01-24,952
2016-01-25,949
2016-01-26,966
2016-01-27,961
2016-01-28,961
2016-01-29,972
2016-01-30,969
2016-01-31,959
2016-02-01,933
2016-02-02,910
2016-02-03,906
2016-02-04,890
2016-02-05,867
2016-02-06,850
2016-02-07,870
2016-02-08,878
2016-02-09,896
2016-02-10,896
2016-02-11,911
2016-02-12,930
2016-02-13,934
2016-02-14,958
2016-02-15,961
2016-02-16,955
2016-02-17,978
2016-02-18,984
2016-02-19,988
2016-02-20,981
2016-02-21,987
2016-02-22,987
2016-02-23,987
2016-02-24,1017
2016-02-25,1028
2016-02-26,1046
2016-02-27,1042
2016-02-28,1045
2016-02-29,1048
2016-03-01,1069
2016-03-02,1085
2016-03-03,1080
2016-03-04,1081
2016-03-05,1095
2016-03-06,1088
2016-03-07,1065
2016-03-08,1055
2016-03-09,1072
2016-03-10,1087
2016-03-11,1094
2016-03-12,1094
2016-03-13,1104
2016-03-14,1127
2016-03-15,1136
2016-03-16,1100
2016-03-17,1101
2016-03-18,1066
2016-03-19,1028
2016-03-20,1009
2016-03-21,984
2016-03-22,940
2016-03-23,897
2016-03-24,882
2016-03-25,851
2016-03-26,819
2016-03-27,800
2016-03-28,761
2016-03-29,724
2016-03-30,701
2016-03-31,680
2016-04-01,664
2016-04-02,648
2016-04-03,640
2016-04-04,641
2016-04-05,651
2016-04-06,660
2016-04-07,680
2016-04-08,695
2016-04-09,700
2016-04-10,710
2016-04-11,710
2016-04-12,714
2016-04-14,716
2016-04-15,707
2016-04-16,707
2016-04-17,695
2016-04-18,676
2016-04-19,665
2016-04-20,636
2016-04-21,623
2016-04-22,610
2016-04-23,606
2016-04-24,612
2016-04-25,595
2016-04-26,597
2016-04-27,595
2016-04-28,584
2016-04-29,584
2016-04-30,586
2016-05-01,588
2016-05-02,597
2016-05-03,607
2016-05-04,625
2016-05-05,640
2016-05-06,640
2016-05-07,652
2016-05-08,665
2016-05-09,685
2016-05-10,700
2016-05-11,713
2016-05-12,724
2016-05-13,744
2016-05-14,755
2016-05-15,769
2016-05-16,800
2016-05-17,806
2016-05-18,830
2016-05-19,861
2016-05-22,888
2016-05-23,918
2016-05-24,939
2016-05-25,968
2016-05-26,974
2016-05-27,986
2016-05-28,1000
2016-05-29,1006
2016-05-30,1010
2016-05-31,997
2016-06-01,983
2016-06-02,995
2016-06-03,986
2016-06-04,985
2016-06-05,989
2016-06-06,998
2016-06-07,1013
2016-06-08,1000
2016-06-09,1001
2016-06-10,1012
2016-06-11,1020
2016-06-12,1007
2016-06-13,980
2016-06-14,960
2016-06-15,928
2016-06-16,908
2016-06-17,890
2016-06-18,887
2016-06-19,888
2016-06-20,897
2016-06-21,921
2016-06-22,919
2016-06-23,941
2016-06-24,948
2016-06-25,947
2016-06-26,965
2016-06-27,976
2016-06-28,982
2016-06-29,978
2016-06-30,996
2016-07-01,1010
2016-07-02,1013
2016-07-03,998
2016-07-04,985
2016-07-05,964
2016-07-06,921
2016-07-07,874
2016-07-08,830
2016-07-09,788
2016-07-10,748
2016-07-11,714
2016-07-12,679
2016-07-13,645
2016-07-14,616
2016-07-15,589
2016-07-16,568
2016-07-17,545
2016-07-18,520
2016-07-23,410
2016-07-24,392
2016-07-25,380
2016-07-26,375
2016-07-27,369
2016-07-28,368
2016-07-29,364
2016-07-30,357
2016-07-31,343
2016-08-01,339
2016-08-02,333
2016-08-03,326
2016-08-04,326
2016-08-05,325
2016-08-06,327
2016-08-07,317
2016-08-08,310
2016-08-09,306
2016-08-10,309
2016-08-11,310
2016-08-12,314
2016-08-13,316
2016-08-14,316
2016-08-15,316
2016-08-16,319
2016-08-17,319
2016-08-18,325
2016-08-19,335
2016-08-20,348
2016-08-21,360
2016-08-22,372
2016-08-23,376
2016-08-24,383
2016-08-25,379
2016-08-26,379
2016-08-28,373
2016-08-31,383
2016-09-01,388
2016-09-02,388
2016-09-03,392
2016-09-04,397
2016-09-05,402
